Cluster Name,RA_J2000,Dec_J2000,Z,Gal_Long,Gal_Lat,PSZ2,M_500,ACT name,ACTDR5,M500Cal,VISTA,DECam,SPLUS,Comments
Abell2744,003.578,-30.389,0.308,008.897,-81.239,33,9.83,J0014.3-3022,89,13.082,GCAV,DR9,SPLUS obs,"Outside eROSITA, HST Frontier Field, JWST, MeerKAT"
Abell0370,039.960,-01.585,0.373,173.004,-53.570,1287,7.645,J0239.8-0134        ,1068,9.239,GCAV,DR9,,"Outside eROSITA, HST Frontier Field, JWST"
PSZ2 G277.76-51.74,043.596,-58.964,0.438,277.752,-51.731,1287,9.693,J0254.3-5857,1169,7.996,GCAV,DR9,SPLUS obs,SPT-Cl J0254-5857
MACS J0416.1-2403,064.041,-24.066,0.397,221.087,-44.054,993,0.0,J0416.1-2404,1556,10.524,GCAV,DR9,,"CLASH-VLT, HST Frontier Field, JWST"
PSZ2 G201.50-27.31,073.546,-03.015,0.5377,201.497,-27.329,913,8.304,J0454.2-0300,1677,12.119,GCAV,DR9,,MS 0451
MACS J0553.4-3342,088.363,-33.715,0.43,239.291,-26.002,1077,8.772,J0553.4-3342,1838,15.4,GCAV,DR9,,MUSE
RXC J0600.1-2007,090.071,-20.104,0.46,225.915,-19.983,1016,10.731,J0600.2-2007,1851,13.624,GCAV,DR10 edge,,MUSE
PSZ2 G284.97-23.69,110.839,-73.439,0.39,284.978,-23.694,1324,8.393,outside ACT,0,,GCAV,DR10,,"SMACS J0723.3-7327, MUSE JWST"
Abell1300,172.977,-19.928,0.306,278.582,+39.154,1292,8.970,outside ACT,0,,GCAV,DR10,SPLUS obs,MUSE Foex+2017
PSZ2 G286.98+32.90,177.705,-28.077,0.39,286.985,+32.911,1341,14.692,outside ACT,0,,GCAV,DR10,,
RXC J1347.5-1144,206.877,-11.753,0.4516,324.037,+48.808,1526,11.029,outside ACT,0,,GCAV,DR10,SPLUS obs,CLASH-VLT Foex+2017
RXC J1514.9-1523,228.742,-15.386,0.2226,346.584,+35.048,1616,8.861,outside ACT,0,,GCAV,DR10,,
RXC J2248.7-4431,342.181,-44.529,0.3475,349.483,-59.933,1627,11.359,J2248.8-4431,3808,18.973,GCAV,DR9,SPLUS obs,CLASH-VLT MeerKAT Frontier Field
Abell 0209,022.973,-13.613,0.2088,159.878,-73.508,766,8.464,J0131.8-1336,573,7.625,P107,DR9,,Outside eROSITA CLASH-VLT MeerKAT
MACS J1931.8-2638,292.957,-26.576,0.352,012.576,-20.093,42,6.97,J1931.8-2634,3376,4.955,P107,DR10 edge,,Outside eROSITA CLASH-VLT
MACS J2140.2-2339,325.062,-23.661,0.313,026.489,-46.937,0,0,J2140.2-2339,3586,5.282,P107,DR10,SPLUS obs,Outside eROSITA CLASH-VLT
RXC J2031.8-4037,307.965,-40.621,0.341,000.775,-35.699,4,10.487,J2031.8-4037,3415,10.487,P107,DR9,,SMACS J2031.8 Outside eROSITA MUSE
PSZ2 G337.12-66.02,353.774,-45.709,0.547,337.118,-66.024,1572,7.121,J2335.1-4544,4042,6,P107,DR9,SPLUS obs,
MACS J0329.7-0211,052.423,-02.196,0.450,186.444,-44.675,0,5.56,J0329.6-0211,1348,7.837,P108,DR9,,CLASH-VLT
PSZ2 G205.93-39.46,064.406,-11.896,0.443,205.937,-39.462,931,12.250,J0417.5-1154,1560,15.765,P108,DR9,,"MeerKAT, MUSE, JWST"
PSZ2 G262.73-40.92,069.579,-54.318,0.421,262.729,-40.938,1210,7.461,J0438.2-5419,1620,10.655,P108,DR9,SPLUS obs,
PSZ2 G241.11-28.68,085.738,-35.984,0.420,241.112,-28.681,1089,7.361,J0542.9-3559,1807,7.122,P108,DR9,,
PSZ2 G271.18-30.95,087.326,-62.083,0.3755,271.192,-30.964,1260,7.373,Outside ACT,0,,P108,DR10,,MUSE
ClG 0657-56 Bullet cluster,104.629,-55.947,0.2965,266.025,-21.247,1232,13.100,J0658.5-5557,1901,16.061,P108,DR10,,MeerKAT Foex+2017
PSZ2 G243.15-73.84,029.763,-34.235,0.41,243.150,-73.848,1102,8.086,J0159.0-3413,745,9.063,P109,DR9,SPLUS obs,"WAVES, MUSE"
