Cluster Name,RA_J2000,Dec_J2000,Z,Gal_Long,Gal_Lat,Lx,VST,AAOzs,DECam,SPLUS,SPLUS comments,Comments
A0085,010.458,-09.302,0.056,115.232,-72.030,5.631,Y,359,DR10,2021B,,LoVoCCS MeerKAT X-COP HIFLUGCS
A0133,015.674,-21.882,0.057,149.550,-84.162,1.617,N,0,DR10,SPLUS obs,,MeerKAT HIFLUGCS
A0500,069.716,-22.100,0.067,220.556,-38.490,0.720,Y,478,DR9,2020B,,
A0548b,086.366,-25.916,0.044,230.469,-25.248,0.150,N,0,DR9,2021B,,MeerKAT
A0754,137.133,-09.616,0.054,239.185,+24.707,4.080,Y,423,DR10,2021B,,LoVoCCS
A0780,139.525,-12.083,0.057,242.915,+25.101,3.380,N,0,DR10,2021B,,Hydra A LoVoCCS Girardi+2022
A0957,153.408,+00.916,0.045,240.931,+43.981,0.400,Y,154,DR9,SPLUS not obs,6 SPLUS-main tiles need observing,
A0970,154.391,-10.666,0.059,253.075,+36.897,0.770,Y,136,DR10,SPLUS obs,,
A1069,159.929,-08.683,0.062,256.585,+42.035,0.480,Y,496,DR9,SPLUS obs,,
A1631a,193.216,-15.400,0.047,303.441,+47.470,0.370,Y,673,DR10,SPLUS obs,,
A1644,194.295,-17.400,0.048,304.885,+45.449,1.800,N,0,DR10,SPLUS obs,,LoVoCCS X-COP HIFLUGCS
A1736,201.795,-27.200,0.046,312.641,+34.996,1.210,N,0,DR10,Shapley,,LoVoCCS HIFLUGCS
A2717,000.804,-35.933,0.050,349.301,-76.488,0.520,Y,610,DR9,SPLUS partial,2 SPLUS-main tiles need observing,
A3128,052.562,-52.533,0.059,264.685,-51.117,1.080,Y,584,DR9,SPLUS obs,,LoVoCCS
A3158,055.787,-53.650,0.059,265.050,-48.894,2.710,Y,621,DR9,SPLUS obs,,ACT-detected LoVoCCS MeerKAT X-COP HIFLUGCS
A3164,056.454,-57.033,0.061,269.436,-47.164,0.750,N,0,DR9,SPLUS obs,,
A3266,067.804,-61.450,0.054,272.143,-40.153,3.140,Y,877,DR9,2021B,,ASKAP LoVoCCS MeerKAT X-COP HIFLUGCS
A3376,090.170,-40.033,0.046,246.505,-26.294,1.270,Y,519,DR9,2020B,,MeerKAT HIFLUGCS
A3395,096.900,-54.433,0.050,263.215,-25.129,1.430,Y,652,DR9,2021B,,LoVoCCS MeerKAT HIFLUGCS
A3490,176.333,-34.433,0.070,287.736,+26.480,0.880,N,0,DR10,NO,Cristobal Sifón SPLUS 2022B target,
A3497,180.016,-31.383,0.061,290.246,+30.219,0.740,N,0,DR10,NO,,
A3528S,193.645,-29.383,0.053,303.753,+33.483,0.680,Y,627,DR10,Shapley,,LoVoCCS
A3528N,193.500,-28.850,0.053,303.608,+34.018,1.010,Y,627,DR10,Shapley,,LoVoCCS
A3530,193.900,-30.333,0.054,303.997,+32.529,0.440,Y,530,DR10,Shapley,,
A3532,194.337,-30.350,0.056,304.444,+32.504,1.440,Y,250,DR10,Shapley,,LoVoCCS
A3556,201.029,-31.666,0.049,311.017,+30.691,0.480,Y,625,DR10,Shapley,,
A3558,201.987,-31.483,0.048,311.988,+30.745,3.200,Y,706,DR10,Shapley,,LoVoCCS MeerKAT HIFLUGCS
A3560,202.970,-33.233,0.047,312.586,+28.879,0.670,Y,580,DR10,Shapley,,
A3562,203.395,-31.666,0.050,313.322,+30.353,1.700,N,0,DR10,Shapley,,MeerKAT HIFLUGCS
A3667,303.112,-56.816,0.053,340.879,-33.383,4.470,Y,687,DR9,2021B,,ACT-detected LoVoCCS MeerKAT HIFLUGCS
A3716,312.875,-52.716,0.045,345.555,-39.233,0.520,Y,609,DR9,NO,Yara Jaffe SPLUS 2022B target,
A3809,326.745,-43.883,0.063,356.096,-49.531,1.150,Y,695,DR9,SPLUS obs,,
A4059,359.250,-34.759,0.048,356.414,-76.080,1.580,Y,686,DR10,SPLUS obs,LoVoCCS HIFLUGCS,
S0041,006.385,-33.047,0.049,344.773,-81.854,0.537,N,0,DR9,SPLUS partial,3 SPLUS-main tiles need observing,
A3094,047.854,-26.800,0.068,220.674,-58.925,0.362,N,0,DR9,NO,,
A3122,050.577,-41.359,0.064,247.581,-56.069,0.642,N,0,DR9,SPLUS obs,,
A3223,062.067,-30.894,0.060,230.151,-47.144,0.722,N,0,DR9,SPLUS partial,Partially outside SPLUS main survey,
J0413.9,063.487,-38.100,0.050,240.790,-46.521,0.789,N,0,DR9,SPLUS obs,,
A0496,068.410,-13.259,0.032,209.585,-36.485,2.054,N,0,DR9,NO,Cristobal Sifón SPLUS 2022B target,LoVoCCS HIFLUGCS
A3301,075.194,-38.678,0.054,242.415,-37.413,0.527,N,0,DR9,SPLUS partial,Partially outside SPLUS main survey,
A0536,076.910,-09.257,0.040,209.477,-27.212,0.196,N,0,DR10,NO,Cristobal Sifón SPLUS 2022B target,
S0560,090.201,-58.587,0.037,267.223,-29.393,0.000,N,0,DR9,NO,Cristobal Sifón SPLUS 2022B target,
A3391,096.595,-53.697,0.051,262.377,-25.148,1.261,N,085,DR9,2021B?,Yara Jaffe SPLUS 2022B target,MeerKAT HIFLUGCS
A3392,097.784,-35.489,0.055,243.456,-19.963,0.841,N,0,DR10 edge,NO,Cristobal Sifón SPLUS 2022B target,
PSZ2 G272.11-11.50,125.188,-57.134,0.061,272.110,-11.500,0.000,N,0,NO,SPLUS not obs,10 SPLUS-main tiles need observing,
PSZ2 G280.21+14.57,162.217,-43.830,0.058,280.214,+14.570,0.000,N,0,NO,SPLUS obs,,
