|                name |         ra |        dec |    z |  m500 |
| ACT-CL J0416.1-2404 |  64.038068 | -24.071339 | 0.40 | 10.52 |
| ACT-CL J0040.8-4407 |  10.206868 | -44.132455 | 0.35 | 10.29 |
| ACT-CL J0628.8-4143 |  97.208027 | -41.725821 | 0.18 |  9.03 |
| ACT-CL J2201.8-5956 | 330.468225 | -59.948716 | 0.10 |  8.67 |
| ACT-CL J1258.7-0145 | 194.675175 |  -1.765377 | 0.08 |  8.05 |
| ACT-CL J0437.1+0043 |  69.289628 |   0.733108 | 0.29 |  7.71 |
| ACT-CL J0336.2-4037 |  54.070180 | -40.628237 | 0.17 |  7.53 |
| ACT-CL J0118.2-2658 |  19.552708 | -26.975372 | 0.23 |  7.49 |
| ACT-CL J0935.2+0048 | 143.808690 |   0.800777 | 0.36 |  7.48 |
| ACT-CL J0114.7-4123 |  18.676202 | -41.395365 | 0.38 |  7.04 |
| ACT-CL J0304.2-4921 |  46.061046 | -49.357601 | 0.39 |  6.91 |
| ACT-CL J0525.8-4715 |  81.454837 | -47.254046 | 0.19 |  6.82 |
| ACT-CL J0354.5-3745 |  58.649155 | -37.750973 | 0.25 |  6.80 |
| ACT-CL J0845.4+0327 | 131.369150 |   3.462576 | 0.33 |  6.69 |
| ACT-CL J1331.1+0100 | 202.797559 |   1.005058 | 0.35 |  6.53 |
| ACT-CL J0042.1-2832 |  10.528810 | -28.533392 | 0.11 |  6.49 |
| ACT-CL J0857.8+0310 | 134.464010 |   3.178078 | 0.20 |  6.45 |
| ACT-CL J1259.3-0410 | 194.849235 |  -4.182439 | 0.08 |  6.38 |
| ACT-CL J0525.8-3035 |  81.473690 | -30.586679 | 0.20 |  6.35 |
| ACT-CL J0421.3-2022 |  65.342300 | -20.378787 | 0.39 |  6.21 |
