INDEX,AXES,CHANCES_FIELD,2MRS,z_LEGACY,LAMBDA,LEGACY,z,RA_X,DEC_X,Lx,eLx,M200c,eM200c,R200c_Mpc,R200c_deg
0,93230901,Fornax,1,-1.0,-1.0,0,0.0044999998062849045,54.71135,-35.40093,6.4519e+42,3.4171e+41,6.92e+13,2.32e+12,0.87,2.4995
1,93232401,Antlia,1,-1.0,-1.0,0,0.010400000028312206,157.35519,-35.40138,1.1764e+43,6.3869e+41,1.01e+14,3.48e+12,0.98,1.2341
2,93242801,A3526,1,-1.0,-1.0,0,0.01080000028014183,192.22251,-41.31311,7.6737e+43,1.6624e+42,3.36e+14,4.64e+12,1.46,1.7735
3,93222625,Hydra,1,-1.0,-1.0,0,0.014000000432133675,159.19658,-27.51791,5.1936e+43,1.6418e+42,2.61e+14,5.25e+12,1.34,1.2614
4,93223401,A3574,1,-1.0,-1.0,0,0.01600000075995922,207.27802,-30.32663,7.4056e+43,2.4872e+42,3.27e+14,6.99e+12,1.45,1.1921
5,93170401,A0194,1,-1.0,-1.0,0,0.01720000058412552,21.4606,-1.40234,7.4404e+42,7.2268e+41,7.51e+13,4.59e+12,0.89,0.6797
6,93173309,MKW4,1,-1.0,-1.0,0,0.020899999886751175,181.11895,1.90795,2.516e+43,1.52e+42,1.63e+14,6.24e+12,1.15,0.7272
7,93250301,A2870,1,0.023800000548362732,25.541040420532227,1,0.023399999365210533,17.4704,-45.8958,2.2089e+43,1.8174e+42,1.50e+14,7.78e+12,1.11,0.6327
8,93250301,A2877,1,0.023800000548362732,25.541040420532227,1,0.023399999365210533,17.4704,-45.8958,2.2089e+43,1.8174e+42,1.50e+14,7.78e+12,1.11,0.6327
9,93225827,A4038,1,0.7538999915122986,326.8267822265625,1,0.027799999341368675,356.9181,-28.14218,1.1123e+44,4.0686e+42,4.20e+14,9.78e+12,1.57,0.7540
10,93280903,A3389,1,-1.0,-1.0,0,0.02810000069439411,95.56809,-64.67731,2.303e+43,7.5885e+41,1.53e+14,3.22e+12,1.12,0.5332
11,93164001,MKW8,1,-1.0,-1.0,0,0.02810000069439411,220.21027,3.46729,2.747e+43,2.4263e+42,1.72e+14,9.56e+12,1.16,0.5536
12,93191301,A0496,1,0.0333000011742115,43.069007873535156,1,0.03269999846816063,68.39858,-13.23595,2.4228e+44,8.8937e+42,6.89e+14,1.61e+13,1.84,0.7591
13,93231308,A3341,1,0.03689999878406525,19.72889518737793,1,0.037300001829862595,81.36386,-31.57496,4.294e+43,3.0313e+42,2.27e+14,1.01e+13,1.27,0.4614
14,93271006,AS560,1,0.037300001829862595,10.45387077331543,1,0.03750000149011612,90.31789,-58.59858,1.1783e+43,9.3517e+41,9.91e+13,4.97e+12,0.97,0.3483
15,93233220,A3571,1,0.03920000046491623,69.50587463378906,1,0.039400000125169754,206.83605,-32.86714,4.6883e+44,1.2933e+43,1.05e+15,1.84e+13,2.12,0.7283
16,93221502,A0548,0,0.041099999099969864,39.224754333496094,1,0.041099999099969864,87.1205,-25.48333,5.3461e+43,3.3134e+42,3.83e+14,1.51e+13,1.51,0.5003
17,93170301,A0119,1,0.04450000077486038,84.07437896728516,1,0.04340000078082085,14.09652,-1.2869,1.6137e+44,7.6788e+42,5.27e+14,1.59e+13,1.68,0.5279
18,93170421,A0168,1,0.04529999941587448,32.51256561279297,1,0.043800000101327896,18.77347,0.32037,4.3868e+43,3.7478e+42,2.29e+14,1.23e+13,1.27,0.3963
19,93170406,A0147,0,0.04500000178813934,20.995058059692383,1,0.04500000178813934,17.03713,2.20808,2.2643e+43,3.0416e+42,2.20e+14,1.86e+13,1.26,0.3810
20,93172809,A0957,1,0.04520000144839287,32.52781677246094,1,0.04569999873638153,153.4519,-0.91429,4.5971e+43,3.983e+42,2.35e+14,1.29e+13,1.28,0.3841
21,93241401,A3376,0,0.04639999940991402,48.51502990722656,1,0.04639999940991402,90.44881,-40.03053,1.0438e+44,4.6841e+42,5.86e+14,1.68e+13,1.74,0.5131
22,93203419,A1644,1,0.04639999940991402,68.22445678710938,1,0.04809999838471413,194.32314,-17.3992,2.2581e+44,1.1317e+43,6.51e+14,2.07e+13,1.80,0.5132
