| CHANCES_FIELD | CHANCES_z | CHANCES_M200c | CHANCES_R200c_deg |     AXES | 2MRS | z_LEGACY | LAMBDA | LEGACY |      z |      RA_X |     DEC_X |        Lx |       eLx |     M200c |    eM200c | R200c_deg | CHANCES_DIST_deg | CHANCES_DIST_R200c | VPEC_kms |
|         A0085 |    0.0560 |     1.640e+15 |            0.6042 | 93190308 |    0 |   0.0736 |  16.82 |      1 | 0.0736 |  13.08682 |  -8.35705 | 2.747e+43 | 6.884e+42 | 2.353e+14 | 3.637e+13 |    0.2462 |           2.7763 |               4.59 |     4997 |
|         A0119 |    0.0434 |     5.270e+14 |            0.5279 | 93170306 |    0 |   0.0678 |  11.37 |      1 | 0.0678 |  14.02612 |   0.65866 | 2.114e+43 | 5.392e+42 | 1.998e+14 | 3.140e+13 |    0.2518 |           1.9468 |               3.69 |     7011 |
|         A0119 |    0.0434 |     5.270e+14 |            0.5279 | 93170314 |    0 |   0.1103 |  24.95 |      1 | 0.1103 |  11.53559 |  -0.85292 | 7.405e+43 | 1.741e+43 | 4.320e+14 | 6.280e+13 |    0.2073 |           2.5970 |               4.92 |    19222 |
|         A0119 |    0.0434 |     5.270e+14 |            0.5279 | 93170309 |    1 |  -1.0000 |  -1.00 |      0 | 0.0160 |  16.07449 |  -0.75861 | 1.673e+42 | 3.821e+41 | 2.794e+13 | 3.932e+12 |    0.5237 |           2.0470 |               3.88 |    -7873 |
|         A0147 |    0.0450 |     2.200e+14 |            0.3810 | 93170303 |    1 |  -1.0000 |  -1.00 |      0 | 0.0427 |  17.03786 |   2.21866 | 1.947e+43 | 2.638e+42 | 1.316e+14 | 1.115e+13 |    0.3369 |           0.0106 |               0.03 |     -660 |
|         A0151 |    0.0538 |     4.970e+14 |            0.4213 | 93200424 |    0 |   0.1022 |  25.54 |      1 | 0.1022 |  18.65449 | -16.24305 | 4.095e+43 | 1.133e+43 | 2.972e+14 | 5.050e+13 |    0.1962 |           1.5511 |               3.68 |    13769 |
|         A0194 |    0.0172 |     7.510e+13 |            0.6797 | 93170407 |    1 |  -1.0000 |  -1.00 |      0 | 0.0175 |  21.45023 |   1.80481 | 5.405e+42 | 5.887e+41 | 5.911e+13 | 4.044e+12 |    0.6158 |           3.2072 |               4.72 |       88 |
|         A0194 |    0.0172 |     7.510e+13 |            0.6797 | 93170421 |    1 |   0.0453 |  32.51 |      1 | 0.0438 |  18.77347 |   0.32037 | 4.387e+43 | 3.748e+42 | 2.212e+14 | 1.191e+13 |    0.3910 |           3.1917 |               4.70 |     7840 |
|         A0194 |    0.0172 |     7.510e+13 |            0.6797 | 93170432 |    1 |  -1.0000 |  -1.00 |      0 | 0.0261 |  20.55288 |  -0.96572 | 7.125e+42 | 1.117e+42 | 7.008e+13 | 6.845e+12 |    0.4401 |           1.0071 |               1.48 |     2623 |
|         A0548 |    0.0411 |     3.830e+14 |            0.5003 | 93221446 |    1 |   0.0389 |  14.85 |      1 | 0.0387 |  85.48569 | -26.13328 | 2.576e+43 | 2.461e+42 | 1.579e+14 | 9.498e+12 |    0.3931 |           1.6089 |               3.22 |     -691 |
|         A0548 |    0.0411 |     3.830e+14 |            0.5003 | 93221444 |    1 |   0.0429 |  27.78 |      1 | 0.0386 |  86.27201 | -25.98547 | 1.627e+43 | 1.963e+42 | 1.177e+14 | 8.902e+12 |    0.3573 |           0.9145 |               1.83 |     -720 |
|         A0754 |    0.0559 |     1.100e+15 |            0.5303 | 93192516 |    0 |   0.0926 |  24.02 |      1 | 0.0926 | 137.63589 | -10.60496 | 1.270e+44 | 1.429e+43 | 6.199e+14 | 4.397e+13 |    0.2745 |           1.0261 |               1.93 |    10420 |
|         A0780 |    0.0721 |     1.740e+15 |            0.4853 | 93192606 |    1 |  -1.0000 |  -1.00 |      0 | 0.0140 | 141.40188 | -12.46681 | 8.693e+41 | 2.834e+41 | 1.840e+13 | 3.643e+12 |    0.5199 |           1.8818 |               3.88 |   -16247 |
|         A0780 |    0.0721 |     1.740e+15 |            0.4853 | 93192516 |    0 |   0.0926 |  24.02 |      1 | 0.0926 | 137.63589 | -10.60496 | 1.270e+44 | 1.429e+43 | 6.199e+14 | 4.397e+13 |    0.2745 |           2.3906 |               4.93 |     5732 |
|         A0957 |    0.0457 |     2.350e+14 |            0.3841 | 93172801 |    0 |   0.2030 |  79.82 |      1 | 0.2030 | 152.75655 |  -2.02622 | 4.784e+44 | 9.156e+43 | 1.324e+15 | 1.577e+14 |    0.1756 |           1.3113 |               3.41 |    45096 |
|         A1069 |    0.0654 |     4.030e+14 |            0.3266 | 93192905 |    1 |  -1.0000 |  -1.00 |      0 | 0.0286 | 161.06120 |  -8.84413 | 4.059e+42 | 1.038e+42 | 4.879e+13 | 7.656e+12 |    0.3568 |           1.1350 |               3.48 |   -10355 |
|         A1644 |    0.0481 |     6.510e+14 |            0.5132 | 93203406 |    1 |   0.0464 |  54.75 |      1 | 0.0147 | 193.24511 | -15.28876 | 4.624e+42 | 6.712e+41 | 5.361e+13 | 4.858e+12 |    0.7076 |           2.3503 |               4.58 |    -9554 |
|         A2399 |    0.0582 |     3.670e+14 |            0.3536 | 93195939 |    0 |   0.0737 |  25.65 |      1 | 0.0737 | 328.55458 |  -8.57130 | 6.897e+43 | 1.447e+43 | 4.251e+14 | 5.535e+13 |    0.2994 |           1.0887 |               3.08 |     4391 |
|         A2415 |    0.0574 |     5.530e+14 |            0.4106 | 93185916 |    0 |   0.0566 |  18.83 |      1 | 0.0566 | 330.81308 |  -6.42944 | 3.273e+43 | 1.136e+43 | 2.669e+14 | 5.632e+13 |    0.3292 |           1.0156 |               2.47 |     -227 |
|         A2717 |    0.0488 |     8.200e+14 |            0.5466 | 93230130 |    0 |   0.1138 |  94.14 |      1 | 0.1138 |   1.48138 | -34.68636 | 2.417e+44 | 2.931e+43 | 9.212e+14 | 7.032e+13 |    0.2594 |           1.8625 |               3.41 |    18580 |
|         A2717 |    0.0488 |     8.200e+14 |            0.5466 | 93235531 |    0 |   0.0578 |  13.23 |      1 | 0.0578 | 357.87450 | -34.46237 | 2.189e+43 | 4.805e+42 | 2.059e+14 | 2.800e+13 |    0.2961 |           1.1388 |               2.08 |     2573 |
|         A2717 |    0.0488 |     8.200e+14 |            0.5466 | 93230102 |    0 |   0.0499 |  31.25 |      1 | 0.0499 |   0.80319 | -35.96290 | 5.615e+43 | 5.613e+42 | 3.795e+14 | 2.396e+13 |    0.4171 |           1.7811 |               3.26 |      314 |
|         A2870 |    0.0234 |     1.500e+14 |            0.6327 | 93250303 |    1 |  -1.0000 |  -1.00 |      0 | 0.0217 |  17.07226 | -46.87614 | 4.927e+42 | 1.032e+42 | 5.553e+13 | 7.186e+12 |    0.4888 |           1.0181 |               1.61 |     -498 |
|         A3266 |    0.0581 |     1.450e+15 |            0.5601 | 93280607 |    1 |  -1.0000 |  -1.00 |      0 | 0.0179 |  64.71222 | -60.86022 | 6.571e+41 | 1.878e+41 | 1.534e+13 | 2.677e+12 |    0.3847 |           1.6172 |               2.89 |   -11390 |
|         A3301 |    0.0543 |     2.600e+14 |            0.3367 | 93241214 |    1 |  -1.0000 |  -1.00 |      0 | 0.0029 |  75.97633 | -38.94850 | 4.157e+41 | 7.580e+40 | 1.157e+13 | 1.310e+12 |    2.1070 |           0.7081 |               2.10 |   -14616 |
|         A3341 |    0.0373 |     2.270e+14 |            0.4614 | 93221403 |    1 |   0.0362 |   7.89 |      1 | 0.0359 |  83.55900 | -30.62864 | 1.417e+43 | 2.242e+42 | 1.080e+14 | 1.064e+13 |    0.3731 |           2.1043 |               4.56 |     -405 |
|         A3376 |    0.0464 |     5.860e+14 |            0.5131 | 93241301 |    1 |  -1.0000 |  -1.00 |      0 | 0.0469 |  90.37129 | -40.00258 | 1.035e+44 | 4.790e+42 | 3.821e+14 | 1.123e+13 |    0.4389 |           0.0656 |               0.13 |      143 |
|         A3389 |    0.0281 |     1.530e+14 |            0.5332 | 93280904 |    0 |   0.0272 |   5.28 |      1 | 0.0272 |  96.42779 | -63.16904 | 5.706e+42 | 9.061e+41 | 8.886e+13 | 8.827e+12 |    0.4622 |           1.5549 |               2.92 |     -262 |
|         A3389 |    0.0281 |     1.530e+14 |            0.5332 | 93280911 |    1 |  -1.0000 |  -1.00 |      0 | 0.0461 |  90.62065 | -64.76098 | 9.025e+42 | 7.304e+41 | 8.025e+13 | 4.099e+12 |    0.2656 |           2.1139 |               3.96 |     5249 |
|         A3389 |    0.0281 |     1.530e+14 |            0.5332 | 93290819 |    1 |  -1.0000 |  -1.00 |      0 | 0.0369 |  92.22059 | -65.72745 | 4.221e+43 | 8.437e+41 | 2.170e+14 | 2.766e+12 |    0.4586 |           1.7529 |               3.29 |     2566 |
|         A3389 |    0.0281 |     1.530e+14 |            0.5332 | 93280906 |    1 |  -1.0000 |  -1.00 |      0 | 0.0267 |  91.27726 | -63.48930 | 4.128e+42 | 3.746e+41 | 4.939e+13 | 2.823e+12 |    0.3827 |           2.2193 |               4.16 |     -408 |
|         A3395 |    0.0548 |     7.410e+14 |            0.4731 | 93261201 |    0 |   0.1141 |  31.78 |      1 | 0.1141 |  94.23450 | -52.07036 | 1.455e+44 | 1.618e+43 | 6.647e+14 | 4.660e+13 |    0.2320 |           2.0984 |               4.44 |    16854 |
|         A3395 |    0.0548 |     7.410e+14 |            0.4731 | 93271110 |    0 |   0.2269 |  60.58 |      1 | 0.2269 |  99.81096 | -54.02981 | 1.017e+45 | 6.834e+43 | 2.105e+15 | 8.986e+13 |    0.1865 |           1.9602 |               4.14 |    48914 |
|         A3395 |    0.0548 |     7.410e+14 |            0.4731 | 93261218 |    0 |   0.0815 |  38.65 |      1 | 0.0815 |  97.43688 | -52.23585 | 3.972e+43 | 5.085e+42 | 2.963e+14 | 2.385e+13 |    0.2417 |           1.4915 |               3.15 |     7589 |
|         A3395 |    0.0548 |     7.410e+14 |            0.4731 | 93271105 |    1 |   0.0505 |  65.45 |      1 | 0.0489 |  96.80732 | -54.49082 | 1.525e+44 | 4.655e+42 | 4.889e+14 | 9.502e+12 |    0.4578 |           0.8727 |               1.84 |    -1677 |
|         A3395 |    0.0548 |     7.410e+14 |            0.4731 | 93271117 |    0 |   0.1212 |  31.58 |      1 | 0.1212 |  96.27330 | -55.36388 | 7.241e+43 | 8.975e+42 | 4.220e+14 | 3.291e+13 |    0.1888 |           1.7414 |               3.68 |    18872 |
|         A3497 |    0.0679 |     5.170e+14 |            0.3424 | 93232809 |    1 |   0.0689 |   9.54 |      1 | 0.0292 | 179.20102 | -32.24817 | 1.539e+43 | 2.418e+42 | 1.144e+14 | 1.121e+13 |    0.4650 |           1.0579 |               3.09 |   -10864 |
|         A3526 |    0.0108 |     3.360e+14 |            1.7735 | 93252820 |    0 |   0.0706 |  16.39 |      1 | 0.0706 | 203.37529 | -42.58015 | 5.380e+43 | 1.125e+43 | 3.633e+14 | 4.715e+13 |    0.2957 |           8.3849 |               4.73 |    17736 |
|         A3526 |    0.0108 |     3.360e+14 |            1.7735 | 93242915 |    0 |   0.2055 |  32.88 |      1 | 0.2055 | 194.05130 | -37.49070 | 1.669e+44 | 6.285e+43 | 6.717e+14 | 1.531e+14 |    0.1386 |           4.0750 |               2.30 |    57746 |
|         A3526 |    0.0108 |     3.360e+14 |            1.7735 | 93242911 |    1 |   0.0494 |  29.25 |      1 | 0.0508 | 196.62949 | -37.56200 | 7.272e+43 | 8.235e+42 | 3.040e+14 | 2.160e+13 |    0.3769 |           5.0636 |               2.86 |    11864 |
|         A3526 |    0.0108 |     3.360e+14 |            1.7735 | 93242817 |    0 |   0.2366 |  41.06 |      1 | 0.2366 | 191.05392 | -39.56250 | 7.699e+44 | 1.173e+44 | 1.745e+15 | 1.666e+14 |    0.1692 |           1.9635 |               1.11 |    66970 |
|         A3526 |    0.0108 |     3.360e+14 |            1.7735 | 93232920 |    0 |   0.0728 |  15.08 |      1 | 0.0728 | 189.95503 | -34.21674 | 3.882e+43 | 9.163e+42 | 2.940e+14 | 4.290e+13 |    0.2677 |           7.3185 |               4.13 |    18389 |
|         A3526 |    0.0108 |     3.360e+14 |            1.7735 | 93242908 |    0 |   0.0504 |  34.51 |      1 | 0.0504 | 199.79477 | -37.15446 | 2.008e+43 | 5.387e+42 | 1.959e+14 | 3.233e+13 |    0.3317 |           7.1854 |               4.05 |    11745 |
|         A3526 |    0.0108 |     3.360e+14 |            1.7735 | 93242901 |    1 |  -1.0000 |  -1.00 |      0 | 0.0095 | 195.67426 | -41.63104 | 1.689e+42 | 3.657e+41 | 2.825e+13 | 3.775e+12 |    0.8766 |           2.6056 |               1.47 |     -386 |
|         A3526 |    0.0108 |     3.360e+14 |            1.7735 | 93252501 |    1 |  -1.0000 |  -1.00 |      0 | 0.0336 | 182.63757 | -46.74505 | 3.005e+43 | 3.502e+42 | 1.750e+14 | 1.279e+13 |    0.4670 |           8.7641 |               4.94 |     6762 |
|         A3526 |    0.0108 |     3.360e+14 |            1.7735 | 93242821 |    1 |  -1.0000 |  -1.00 |      0 | 0.0127 | 188.99734 | -39.90034 | 3.231e+42 | 5.713e+41 | 4.269e+13 | 4.688e+12 |    0.7582 |           2.8266 |               1.59 |      564 |
