| INDEX |     AXES | CHANCES_FIELD | 2MRS | z_LEGACY | LAMBDA | LEGACY |      z |      RA_X |     DEC_X |       Lx |      eLx |    M200c |   eM200c | R200c_Mpc | R200c_deg |
|     0 | 93230901 |       Fornax  |    1 |  -1.0000 |   -1.0 |      0 | 0.0045 |  54.71135 | -35.40093 | 6.45e+42 | 3.42e+41 | 6.92e+13 | 2.32e+12 |      0.87 |    2.4995 |
|     1 | 93232401 |       Antlia  |    1 |  -1.0000 |   -1.0 |      0 | 0.0104 | 157.35519 | -35.40138 | 1.18e+43 | 6.39e+41 | 1.01e+14 | 3.48e+12 |      0.98 |    1.2341 |
|     2 | 93242801 |       A3526   |    1 |  -1.0000 |   -1.0 |      0 | 0.0108 | 192.22251 | -41.31311 | 7.67e+43 | 1.66e+42 | 3.36e+14 | 4.64e+12 |      1.46 |    1.7735 |
|     3 | 93222625 |       Hydra   |    1 |  -1.0000 |   -1.0 |      0 | 0.0140 | 159.19658 | -27.51791 | 5.19e+43 | 1.64e+42 | 2.61e+14 | 5.25e+12 |      1.34 |    1.2614 |
|     4 | 93223401 |       A3574   |    1 |  -1.0000 |   -1.0 |      0 | 0.0160 | 207.27802 | -30.32663 | 7.41e+43 | 2.49e+42 | 3.27e+14 | 6.99e+12 |      1.45 |    1.1921 |
|     5 | 93170401 |       A0194   |    1 |  -1.0000 |   -1.0 |      0 | 0.0172 |   21.4606 |  -1.40234 | 7.44e+42 | 7.23e+41 | 7.51e+13 | 4.59e+12 |      0.89 |    0.6797 |
|     6 | 93173309 |       MKW4    |    1 |  -1.0000 |   -1.0 |      0 | 0.0209 | 181.11895 |   1.90795 | 2.52e+43 | 1.52e+42 | 1.63e+14 | 6.24e+12 |      1.15 |    0.7272 |
|     7 | 93250301 |       A2870   |    1 |   0.0238 |   25.5 |      1 | 0.0234 |   17.4704 |  -45.8958 | 2.21e+43 | 1.82e+42 | 1.50e+14 | 7.78e+12 |      1.11 |    0.6327 |
|     8 | 93225827 |       A4038   |    1 |   0.7539 |  326.8 |      1 | 0.0278 |  356.9181 | -28.14218 | 1.11e+44 | 4.07e+42 | 4.20e+14 | 9.78e+12 |      1.57 |    0.7540 |
|     9 | 93280903 |       A3389   |    1 |  -1.0000 |   -1.0 |      0 | 0.0281 |  95.56809 | -64.67731 | 2.30e+43 | 7.59e+41 | 1.53e+14 | 3.22e+12 |      1.12 |    0.5332 |
|    10 | 93164001 |       MKW8    |    1 |  -1.0000 |   -1.0 |      0 | 0.0281 | 220.21027 |   3.46729 | 2.75e+43 | 2.43e+42 | 1.72e+14 | 9.56e+12 |      1.16 |    0.5536 |
|    11 | 93191301 |       A0496   |    1 |   0.0333 |   43.1 |      1 | 0.0327 |  68.39858 | -13.23595 | 2.42e+44 | 8.89e+42 | 6.89e+14 | 1.61e+13 |      1.84 |    0.7591 |
|    12 | 93231308 |       A3341   |    1 |   0.0369 |   19.7 |      1 | 0.0373 |  81.36386 | -31.57496 | 4.29e+43 | 3.03e+42 | 2.27e+14 | 1.01e+13 |      1.27 |    0.4614 |
|    13 | 93271006 |       AS560   |    1 |   0.0373 |   10.5 |      1 | 0.0375 |  90.31789 | -58.59858 | 1.18e+43 | 9.35e+41 | 9.91e+13 | 4.97e+12 |      0.97 |    0.3483 |
|    14 | 93233220 |       A3571   |    1 |   0.0392 |   69.5 |      1 | 0.0394 | 206.83605 | -32.86714 | 4.69e+44 | 1.29e+43 | 1.05e+15 | 1.84e+13 |      2.12 |    0.7283 |
|    15 | 93221502 |       A0548   |    0 |   0.0411 |   39.2 |      1 | 0.0411 |   87.1205 | -25.48333 | 5.35e+43 | 3.31e+42 | 3.83e+14 | 1.51e+13 |      1.51 |    0.5003 |
|    16 | 93170301 |       A0119   |    1 |   0.0445 |   84.1 |      1 | 0.0434 |  14.09652 |   -1.2869 | 1.61e+44 | 7.68e+42 | 5.27e+14 | 1.59e+13 |      1.68 |    0.5279 |
|    17 | 93170421 |       A0168   |    1 |   0.0453 |   32.5 |      1 | 0.0438 |  18.77347 |   0.32037 | 4.39e+43 | 3.75e+42 | 2.29e+14 | 1.23e+13 |      1.27 |    0.3963 |
|    18 | 93170406 |       A0147   |    0 |   0.0450 |   21.0 |      1 | 0.0450 |  17.03713 |   2.20808 | 2.26e+43 | 3.04e+42 | 2.20e+14 | 1.86e+13 |      1.26 |    0.3810 |
|    19 | 93172809 |       A0957   |    1 |   0.0452 |   32.5 |      1 | 0.0457 |  153.4519 |  -0.91429 | 4.60e+43 | 3.98e+42 | 2.35e+14 | 1.29e+13 |      1.28 |    0.3841 |
|    20 | 93241401 |       A3376   |    0 |   0.0464 |   48.5 |      1 | 0.0464 |  90.44881 | -40.03053 | 1.04e+44 | 4.68e+42 | 5.86e+14 | 1.68e+13 |      1.74 |    0.5131 |
|    21 | 93203419 |       A1644   |    1 |   0.0464 |   68.2 |      1 | 0.0481 | 194.32314 |  -17.3992 | 2.26e+44 | 1.13e+43 | 6.51e+14 | 2.07e+13 |      1.80 |    0.5132 |
|    22 | 93235501 |       A4059   |    0 |   0.0488 |   55.0 |      1 | 0.0488 | 359.21653 | -34.73909 | 1.76e+44 | 8.58e+42 | 8.20e+14 | 2.54e+13 |      1.94 |    0.5466 |
|    23 | 93235501 |       A2717   |    0 |   0.0488 |   55.0 |      1 | 0.0488 | 359.21653 | -34.73909 | 1.76e+44 | 8.58e+42 | 8.20e+14 | 2.54e+13 |      1.94 |    0.5466 |
|    24 | 93200417 |       A0151   |    0 |   0.0538 |   81.5 |      1 | 0.0538 |  17.23092 | -15.51429 | 8.13e+43 | 6.16e+42 | 4.97e+14 | 2.38e+13 |      1.64 |    0.4213 |
|    25 | 93241110 |       A3301   |    1 |   0.0541 |   41.9 |      1 | 0.0543 |  75.14084 | -38.67012 | 5.43e+43 | 5.26e+42 | 2.60e+14 | 1.58e+13 |      1.32 |    0.3367 |
|    26 | 93271104 |       A3395   |    0 |   0.0548 |   18.0 |      1 | 0.0548 |  96.55905 | -53.63036 | 1.52e+44 | 5.15e+42 | 7.41e+14 | 1.61e+13 |      1.88 |    0.4731 |
|    27 | 93273325 |       A3667   |    1 |   0.0554 |  126.6 |      1 | 0.0553 | 303.10736 | -56.79502 | 4.94e+44 | 2.48e+43 | 1.07e+15 | 3.40e+13 |      2.12 |    0.5298 |
|    28 | 93192510 |       A0754   |    1 |  -1.0000 |   -1.0 |      0 | 0.0559 | 137.23423 |   -9.6581 | 5.21e+44 | 1.64e+43 | 1.10e+15 | 2.21e+13 |      2.14 |    0.5303 |
|    29 | 93190208 |       A0085   |    0 |   0.0560 |   69.0 |      1 | 0.0560 |  10.46114 |   -9.3455 | 5.24e+44 | 1.57e+43 | 1.64e+15 | 3.15e+13 |      2.44 |    0.6042 |
|    30 | 93210318 |       A0133   |    0 |   0.0571 |   45.0 |      1 | 0.0571 |  15.65726 | -21.85624 | 1.75e+44 | 1.01e+43 | 8.10e+14 | 2.97e+13 |      1.93 |    0.4687 |
|    31 | 93185914 |       A2415   |    0 |   0.0574 |   25.0 |      1 | 0.0574 | 331.38863 |  -5.59045 | 9.66e+43 | 1.04e+43 | 5.53e+14 | 3.74e+13 |      1.70 |    0.4106 |
