Cluster,RA,Dec,z,m200,MergedCats,TargetLists,Jan25upload
A0085,10.458,-9.302,56,21.3,TRUE,TRUE,TRUE
A0119,14.067,-1.255,44,7.5,TRUE,TRUE,TRUE
A0133,15.674,-21.882,57,9.7,TRUE,TRUE,TRUE
A0147,17.048,+02.176,44,2.1,TRUE,TRUE,TRUE
A0168,18.760,+00.315,44,3.3,TRUE,TRUE,TRUE
A0194,21.460,-1.402,17,1.1,TRUE,TRUE,TRUE
A0496,68.410,-13.259,337,18.3,TRUE,TRUE,TRUE
A0500,69.716,-22.100,67,4.3,TRUE,TRUE,TRUE
A0548,87.121,-25.483,41,2.94,TRUE,TRUE,TRUE
A0754,137.133,-9.616,54,10.7,TRUE,TRUE,TRUE
A0780,139.525,-12.083,57,28.4,TRUE,TRUE,TRUE
A0957,153.408,-0.916,45,3.3,TRUE,TRUE,TRUE
A0970,154.391,-10.666,59,6.1,TRUE,TRUE,TRUE
A1069,159.929,-8.683,62,3.7,TRUE,TRUE,TRUE
A1631,193.216,-15.400,47,3.4,TRUE,TRUE,TRUE
A1644,194.295,-17.400,48,8.7,TRUE,TRUE,TRUE
A2399,329.342,-7.811,58,3.6,TRUE,TRUE,TRUE
A3223,62.067,-30.894,60,4.2,TRUE,TRUE,TRUE
A3266,67.804,-61.450,54,14.1,TRUE,TRUE,TRUE
A3376,90.170,-40.033,46,4.8,TRUE,TRUE,TRUE
A3395,96.900,-54.433,50,4.9,TRUE,TRUE,TRUE
A3651,298.068,-55.062,60,4.4,TRUE,TRUE,TRUE
A3667,303.112,-56.816,53,10.3,TRUE,TRUE,TRUE
A3809,326.745,-43.883,63,4.8,TRUE,TRUE,TRUE
A4059,359.250,-34.759,48,10.9,TRUE,TRUE,TRUE
Hydra,159.174,-27.524,12,2.52,TRUE,TRUE,TRUE
Fornax,54.616,-35.448,5,0.67,TRUE,TRUE,TRUE
Antlia,157.514,-35.323,12,1.0,FALSE,FALSE,FALSE
A0151,17.212,-15.407,53,4.1,TRUE,TRUE,FALSE
A1520,184.832,-13.260,68,3.2,TRUE,TRUE,FALSE
A2415,331.414,-5.594,58,5.6,TRUE,TRUE,FALSE
A2457,338.920,+01.506,58,5.3,TRUE,TRUE,FALSE
A2734,2.836,-28.855,61,6.1,TRUE,TRUE,FALSE
A2870,16.933,-46.900,23,4.2,TRUE,TRUE,FALSE
A2877,17.501,-45.923,24,4.1,TRUE,TRUE,FALSE
A3301,75.194,-38.678,54,3.4,TRUE,TRUE,FALSE
A3341,81.392,-31.595,374,3.3,TRUE,TRUE,FALSE
A3389,95.455,-64.981,26,1.9,FALSE,FALSE,FALSE
A3526,192.199,-41.308,11,3.2,FALSE,FALSE,FALSE
A3565,204.019,-34.225,13,2.1,FALSE,FALSE,FALSE
A3571,206.868,-32.849,39,10.1,TRUE,TRUE,FALSE
A3574,207.278,-30.326,16,3.1,FALSE,FALSE,FALSE
A3581,211.867,-27.015,23,2.4,FALSE,FALSE,FALSE
A4038,356.929,-28.142,28,8.8,TRUE,TRUE,FALSE
A3490,176.333,-34.333,69,5.1,TRUE,TRUE,FALSE
A3497,180.016,-31.383,68,4.4,TRUE,TRUE,FALSE
A3716,312.875,-52.716,45,4.0,TRUE,TRUE,FALSE
AS560,90.201,-58.587,37,1.4,TRUE,TRUE,FALSE
IIZw108,318.483,+02.565,48,4.8,TRUE,TRUE,FALSE
MKW4,181.115,+01.895,20,1.6,TRUE,TRUE,FALSE
MKW8,220.176,+03.472,27,1.7,TRUE,Ture,FALSE
AM2002,42.390,-31.190,22,0.0,TRUE,TRUE,FALSE
MZ00407,329.633,-28.617,23,0.0,TRUE,TRUE,FALSE
