Cluster name,RA (J2000),Dec (J2000),z,m200,r200 (arcmin),S-PLUS,S-PLUS catalogues,Merged Cats,Target Lists,Jan25 upload,Targets June2023,Targets Sept2023
Abell 0085,10.458,-9.302,0.056,21.37,39.58,Jaffé 2021B,"7 tiles, <5r200",TRUE,TRUE,TRUE,5933,5933
Abell 0119,14.067,-1.255,0.044,5.27,31.26,S-PLUS partial,NO,TRUE,TRUE,TRUE,28563,28480
Abell 0133,15.674,-21.882,0.057,9.79,30.00,S-PLUS main,YES,TRUE,TRUE,TRUE,6903,3300
Abell 0147,17.048,+02.176,0.044,2.28,23.64,Jaffé 2021B,NO,TRUE,TRUE,TRUE,0,0
Abell 0151,17.212,-15.407,0.053,5.01,25.72,S-PLUS partial,NO,TRUE,TRUE,FALSE,7015,0
Abell 0168,18.76,+00.315,0.044,2.78,25.26,S-PLUS main,YES,TRUE,TRUE,TRUE,0,0
Abell 0194,21.46,-1.402,0.017,0.85,40.59,S-PLUS partial,NO,TRUE,TRUE,TRUE,10138,3476
Abell 0496,68.41,-13.259,0.0337,15.84,61.39,Sifón 2022B,"7 tiles, <5r200",TRUE,TRUE,TRUE,16956,16791
Abell 0500,69.716,-22.1,0.067,4.14,19.33,Jaffé 2020B,YES,TRUE,TRUE,TRUE,6951,6951
Abell 0548,87.121,-25.483,0.041,2.94,26.92,Jaffé 2021B,"6 tiles, <5r200",TRUE,TRUE,TRUE,4746,4746
Abell 0754,137.133,-9.616,0.054,10.70,32.54,Jaffé 2021B,"7 tiles, <5r200",TRUE,TRUE,TRUE,5692,0
Abell 0780,139.525,-12.083,0.057,26.92,42.03,Jaffé 2021B,"7 tiles, <5r200",TRUE,TRUE,TRUE,5487,0
Abell 0957,153.408,-0.916,0.045,3.44,26.55,S-PLUS main,YES,TRUE,TRUE,TRUE,6525,2769
Abell 0970,154.391,-10.666,0.059,7.48,26.54,S-PLUS main,YES,TRUE,TRUE,TRUE,4759,0
Abell 1069,159.929,-8.683,0.062,3.72,20.07,S-PLUS main,~80% to 5r200,TRUE,TRUE,TRUE,4095,3581
Abell 1520,184.832,-13.26,0.068,3.53,18.07,S-PLUS main,NO,TRUE,TRUE,FALSE,2646,0
Abell 1631,193.216,-15.4,0.047,3.40,25.88,S-PLUS main,YES,TRUE,TRUE,TRUE,0,0
Abell 1644,194.295,-17.4,0.048,8.62,33.88,S-PLUS main,YES,TRUE,TRUE,TRUE,9076,0
Abell 2399,329.342,-7.811,0.058,3.30,20.54,S-PLUS main,YES,TRUE,TRUE,TRUE,4976,4310
Abell 2415,331.414,-5.594,0.058,6.21,25.36,S-PLUS main,80% to 5r200,TRUE,TRUE,FALSE,5525,0
Abell 2457,338.92,+01.506,0.058,5.59,24.09,S-PLUS partial,NO,TRUE,TRUE,FALSE,5637,0
Abell 2717,0.804,-35.933,0.05,3.80,24.80,S-PLUS partial,80% to 5r200,TRUE,TRUE,TRUE,4922,4922
Abell 2734,2.836,-28.855,0.061,6.19,23.77,S-PLUS main,50% to 5r200,TRUE,TRUE,FALSE,4443,0
Abell 2870,16.933,-46.9,0.023,6.59,60.67,,70% to 5r200,TRUE,TRUE,FALSE,13195,3447
Abell 2877,17.501,-45.923,0.024,3.19,47.65,,NO,TRUE,TRUE,FALSE,0,0
Abell 3223,62.067,-30.894,0.06,4.21,21.56,S-PLUS partial,YES,TRUE,TRUE,TRUE,3044,0
Abell 3266,67.804,-61.45,0.054,16.34,37.47,Jaffé 2021B,YES,TRUE,TRUE,TRUE,7174,0
Abell 3301,75.194,-38.678,0.054,4.41,24.21,S-PLUS partial,NO,TRUE,TRUE,FALSE,3359,0
Abell 3341,81.392,-31.595,0.0374,4.01,32.88,,NO,TRUE,TRUE,FALSE,6537,3870
Abell 3376,90.17,-40.033,0.046,4.80,29.04,Jaffé 2020B,90% to 5r200,TRUE,TRUE,TRUE,4172,0
Abell 3389,95.455,-64.981,0.026,1.95,36.03,,NO,FALSE,FALSE,FALSE,7736,0
Abell 3391,96.595,-53.697,0.051,6.52,27.83,Jaffé 2021B,YES,TRUE,TRUE,TRUE,5191,0
Abell 3395,96.9,-54.433,0.05,7.28,30.81,Jaffé 2021B,YES,TRUE,TRUE,TRUE,5191,0
Abell 3490,176.333,-34.333,0.069,5.20,20.00,Sifón 2022B,YES,TRUE,TRUE,FALSE,4588,0
Abell 3497,180.016,-31.383,0.068,4.35,21.46,,60% to 5r200,TRUE,TRUE,FALSE,3855,0
Abell 3526,192.199,-41.308,0.011,2.55,95.37,,NO,FALSE,FALSE,FALSE,33827,0
Abell 3565,204.019,-34.225,0.013,2.10,75.75,,NO,FALSE,FALSE,FALSE,0,0
Abell 3571,206.868,-32.849,0.039,14.43,49.13,,NO,TRUE,TRUE,FALSE,0,0
Abell 3574,207.278,-30.326,0.016,0.64,41.61,,NO,FALSE,FALSE,FALSE,0,0
Abell 3581,211.867,-27.015,0.023,7.31,65.48,,NO,FALSE,FALSE,FALSE,16635,0
Abell 3651,298.068,-55.062,0.06,4.71,22.39,Sifón 2022B,"6 tiles, <5r200",TRUE,TRUE,TRUE,4634,4634
Abell 3667,303.112,-56.816,0.053,14.72,36.84,Jaffé 2021B,YES,TRUE,TRUE,TRUE,5908,5908
Abell 3716,312.875,-52.716,0.045,4.00,27.91,Jaffé 2022B,NO,TRUE,TRUE,FALSE,0,3967
Abell 3809,326.745,-43.883,0.063,5.59,22.64,S-PLUS main,YES,TRUE,TRUE,TRUE,4118,3003
Abell 4038,356.929,-28.142,0.028,7.96,55.57,S-PLUS main,NO,TRUE,TRUE,FALSE,15216,0
Abell 4059,359.25,-34.759,0.048,12.67,38.52,S-PLUS main,NO,TRUE,TRUE,TRUE,7135,7135
Abell S560,90.201,-58.587,0.037,2.11,27.25,Sifón 2022B,YES,TRUE,TRUE,FALSE,4949,3407
Hydra (A1060),159.174,-27.524,0.012,2.11,82.15,S-PLUS main,YES,TRUE,TRUE,TRUE,7519,7519
Fornax,54.616,-35.448,0.005,0.38,110.83,S-PLUS main,YES,TRUE,TRUE,TRUE,7647,3693
Antlia,157.514,-35.323,0.012,1.56,74.33,S-PLUS main,YES,FALSE,FALSE,FALSE,20460,20460
IIZw108,318.483,+02.565,0.048,4.46,26.67,Jaffé 2022B,NO,TRUE,TRUE,FALSE,4797,3900
MKW4,181.115,+01.895,0.02,1.44,43.68,S-PLUS partial,NO,TRUE,TRUE,FALSE,14180,4767
MKW8,220.176,+03.472,0.027,2.18,37.40,S-PLUS partial,NO,TRUE,Ture,FALSE,6279,3845
