Cluster,RA_J2000,Dec_J2000,z,m200,MergedCat,TargetList,Jan25upload
Abell-0209,22.973,-13.613,0.209,11.42,TRUE,TRUE,TRUE
Abell-0370,39.96,-1.585,0.373,10.31,TRUE,TRUE,TRUE
Abell-1300,172.977,-19.928,0.306,12.1,TRUE,TRUE,TRUE
Abell-1689,197.875,-1.335,0.1832,11.83,TRUE,TRUE,TRUE
Abell-1835,210.218,+02.878,0.252,13.15,TRUE,TRUE,TRUE
Abell-2163,243.955,-6.152,0.206,21.74,TRUE,TRUE,TRUE
Abell-2744,3.578,-30.389,0.308,13.27,TRUE,TRUE,TRUE
Bullet,104.629,-55.947,0.2965,17.67,TRUE,TRUE,TRUE
MACS-J0329.7-0211,52.423,-2.196,0.45,0,TRUE,TRUE,TRUE
MACS-J0416.1-2403,64.041,-24.066,0.397,10.5,TRUE,TRUE,TRUE
MACS-J0553.4-3342,88.363,-33.715,0.43,11.83,TRUE,TRUE,TRUE
MACS-J1206.2-0847,181.551,-8.8,0.441,15.08,TRUE,TRUE,TRUE
PSZ2-G205.93-39.64,64.406,-11.896,0.443,16.53,TRUE,TRUE,TRUE
PSZ2-G241.11-28.68,85.738,-35.984,0.42,9.93,TRUE,TRUE,TRUE
PSZ2-G271.18-30.95,87.326,-62.083,0.3755,9.55,TRUE,TRUE,TRUE
PSZ2-G277.76-51.74,43.596,-58.964,0.438,13.07,TRUE,TRUE,TRUE
PSZ2-G286.98+32.90,177.705,-28.077,0.39,19.82,TRUE,TRUE,TRUE
PSZ2-G262.73-40.92,69.579,-54.318,0.421,10.65,TRUE,TRUE,TRUE
RXC-J1347.5-1144,206.877,-11.753,0.4516,11.03,TRUE,TRUE,TRUE
RXC-J1514.9-1523,228.742,-15.386,0.2226,11.95,TRUE,TRUE,TRUE
RXC-J2031.8-4037,307.965,-40.621,0.341,8.54,TRUE,TRUE,TRUE
RXC-J2211.7-0350,332.931,-3.829,0.397,14.17,TRUE,TRUE,TRUE
RXC-J2248.7-4431,342.181,-44.529,0.3475,15.32,TRUE,TRUE,TRUE
SMACS-J0723.3-7327,110.839,-73.439,0.39,11.32,TRUE,TRUE,TRUE
Abell-3186,58.061,-74.008,0.127,8.69,TRUE,TRUE,FALSE
Abell-3378,91.469,-35.309,0.139,7.54,TRUE,TRUE,FALSE
Abell-1437,180.109,+03.348,0.134,7.47,TRUE,TRUE,FALSE
Abell-1650,194.675,-1.759,0.0845,6,TRUE,TRUE,FALSE
Abell-1651,194.867,-4.201,0.0845,6.84,TRUE,TRUE,FALSE
Abell-3695,308.706,-35.825,0.089,6.89,TRUE,TRUE,FALSE
Abell-3822,328.528,-57.863,0.076,5.65,TRUE,TRUE,FALSE
Abell-3827,330.469,-59.939,0.098,7.78,TRUE,TRUE,FALSE
Abell-2420,332.569,-12.177,0.085,5.92,TRUE,TRUE,FALSE
Abell-3911,341.571,-52.722,0.097,5.77,TRUE,TRUE,FALSE
Abell-3921,342.456,-64.415,0.094,5.43,TRUE,TRUE,FALSE
Abell-2811,10.536,-28.536,0.108,4.92,TRUE,TRUE,FALSE
Abell-0520,73.527,+02.962,0.203,10.52,TRUE,TRUE,FALSE
Abell-0521,73.538,-10.239,0.2475,9.79,TRUE,TRUE,FALSE
Abell-3404,101.372,-54.219,0.1644,10.74,TRUE,TRUE,FALSE
Abell-S780,224.872,-18.187,0.236,10.52,TRUE,TRUE,FALSE
Abell-2813,10.866,-20.617,0.292,10.96,TRUE,TRUE,FALSE
Abell-3048,41.615,-20.535,0.31,10.3,TRUE,TRUE,FALSE
Abell-3444,155.962,-27.259,0.2542,9.94,TRUE,TRUE,FALSE
PSZ2-G208.60-26.00,77.699,-8.029,0.219,10.45,TRUE,TRUE,FALSE
PSZ2-G259.98-63.43,38.078,-44.345,0.284,10.17,FALSE,FALSE,FALSE
PSZ2-G262.27-35.38,79.153,-54.52,0.295,11.82,TRUE,TRUE,FALSE
PSZ2-G348.90-67.37,351.304,-41.208,0.358,9.7,TRUE,TRUE,FALSE
RXC-J1314.4-2515,198.617,-25.261,0.244,9.06,TRUE,TRUE,FALSE
RXC J0528.9-3827,82.220996,-39.470981,0.284,-1,,,FALSE
PSZ2 G241.76-30.88,83.233333,-37.026111,0.275,-1,,,FALSE
