Cluster Name,RA_J2000,Dec_J2000,z,m200,MergedCat,TargetList,Jan25upload,PSZ2_idx,PSZ2,ACT-DR5_idx,ACT-DR5,SPT-SZ_idx,SPT-SZ,MCXC_idx,MCXC,DECam,S-PLUS,CODEX-DECALS_idx,CODEX-DECALS,MeerKAT_idx,MeerKAT,MKDiffuse_idx,MKDiffuse,XMM_idx,XMM,HIFLUGCS_idx,HIFLUGCS,MENeaCS_idx,MENeaCS,LoVoCCS_idx,LoVoCCS,CLASH-VLT_idx,CLASH-VLT,m500_PSZ2,m500_PSZ2_corr,m500_ACT,m500_SPT,m500_MCXC,m500_MCXC_corr,m500_CODEX,m500,c200,r200,d200,N_first,N_tgss,N_spec,N_spec_z,5d200
Abell2744,3.578,-30.389,0.308,18.44,True,True,True,18,PSZ2 G008.94-81.22,28,ACT-CL J0014.3-3022,-99,,7,J0014.3-3023,DR10,YES,1461,128530,16,MCXC J0014.3-3023,13,Abell2744,-99,,-99,,-99,,-99,,-99,,9.84,13.27,13.08,-1.00,7.36,11.14,14.65,13.08,4.57,2.32,8.26,0,22,3150,943,0.69
Abell2811,10.536,-28.536,0.108,9.34,True,True,False,426,PSZ2 G358.21-87.49,83,ACT-CL J0042.1-2832,-99,,24,J0042.1-2832,DR10,YES,1430,128572,18,MCXC J0042.1-2832,17,Abell2811,-99,,-99,,-99,,21,A2811,-99,,3.65,4.92,6.49,-1.00,3.50,5.30,8.35,6.49,4.05,1.99,16.27,0,97,8002,3364,1.36
Abell2813,10.866,-20.617,0.292,14.47,True,True,False,103,PSZ2 G106.87-83.23,85,ACT-CL J0043.3-2037,-99,,25,J0043.4-2037,DR10,YES,1261,124858,19,MCXC J0043.4-2037,18,Abell2813,-99,,-99,,-99,,-99,,-99,,8.13,10.96,10.20,-1.00,5.37,8.12,9.92,10.20,4.36,2.15,7.96,0,33,1126,251,0.66
Abell0209,22.973,-13.613,0.209,10.93,True,True,True,112,PSZ2 G159.91-73.50,177,ACT-CL J0131.8-1336,-99,,58,J0131.8-1336,DR10,NO,1148,117857,7,MCXC J0131.8-1336,5,Abell209,-99,,-99,,49,A209,-99,,1,Abell 209,8.46,11.42,7.62,-1.00,5.11,7.73,10.36,7.62,4.15,2.02,9.57,0,44,1776,812,0.80
PSZ2 G259.98-63.43,38.078,-44.345,0.284,17.39,False,False,False,247,PSZ2 G259.98-63.43,319,ACT-CL J0232.2-4421,40,SPT-CL J0232-4421,99,J0232.2-4420,DR10,YES,1669,138425,52,MCXC J0232.2-4420,63,J0232.2-4420,-99,,-99,,-99,,-99,,-99,,7.54,10.17,12.30,12.01,6.13,9.28,14.60,12.30,4.48,2.30,8.65,0,23,197,26,0.72
Abell0370,39.96,-1.585,0.373,13.11,True,True,True,116,PSZ2 G172.98-53.55,341,ACT-CL J0239.8-0134,-99,,-99,,DR10,YES,-99,,8,ZwCl 0237.2-0146,6,Abell370,-99,,-99,,51,A370,-99,,-99,,7.65,10.31,9.24,-1.00,-1.00,-1.00,-1.00,9.24,4.42,2.02,6.34,88,12,2359,357,0.53
Abell3048,41.615,-20.535,0.31,8.18,True,True,False,131,PSZ2 G205.05-62.95,356,ACT-CL J0246.4-2033,-99,,-99,,DR10,NO,1265,125297,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.64,10.30,5.70,-1.00,-1.00,-1.00,5.58,5.70,4.14,1.77,6.27,0,11,44,3,0.52
PSZ2 G277.76-51.74,43.596,-58.964,0.438,11.34,True,True,True,290,PSZ2 G277.76-51.74,371,ACT-CL J0254.3-5857,48,SPT-CL J0254-5857,-99,,DR10,YES,1829,143695,-99,,-99,,-99,,-99,,-99,,-99,,-99,,9.69,13.07,8.00,7.79,-1.00,-1.00,10.55,8.00,4.42,1.88,5.35,0,0,102,46,0.45
MACS J0329.7-0211,52.423,-2.196,0.45,17.23,True,True,True,-99,,-99,,-99,,-99,,DR10,NO,883,110101,-99,,-99,,-99,,-99,,-99,,-99,,10,MACSJ0329-02,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,12.34,12.34,4.78,2.15,6.02,0,13,877,63,0.50
Abell3186,58.061,-74.008,0.127,12.48,True,True,False,321,PSZ2 G288.63-37.66,-99,,-99,,153,J0352.4-7401,DR10,YES,-99,,60,MCXC J0352.4-7401,70,J0352.4-7401,-99,,-99,,-99,,-99,,-99,,6.44,8.69,-1.00,-1.00,3.09,4.68,-1.00,8.69,4.12,2.18,15.47,0,0,466,201,1.29
