Cluster Name,RA_J2000,Dec_J2000,z,Gal_Long,Gal_Lat,PSZ2,M_500,ACT name,ACTDR5,M500Cal,VISTA,DECam,SPLUS,Comments,coords,PSZ2_idx,ACT-DR5_idx,ACT-DR5,MCXC_idx,MCXC,MeerKAT_idx,MeerKAT,MKDiffuse_idx,MKDiffuse,XMM_idx,XMM,m500_PSZ2,m500_PSZ2_corr,m500_ACT,m500_MCXC,m500_MCXC_corr,m500,m200,c200,r200,d200,Nspec,Nspec_z
Abell2744,3.578,-30.389,0.308,8.897,-81.239,PSZ2 G008.94-81.22,9.83,J0014.3-3022,89,13.082,GCAV,DR9,SPLUS obs,"Outside eROSITA, HST Frontier Field, JWST, MeerKAT","3.578,-30.389",32,88,ACT-CL J0014.3-3022,18,J0014.3-3023,16,MCXC J0014.3-3023,13,Abell2744,-99,,9.84,13.27,13.08,7.36,11.14,13.08,18.44,4.57,2.32,8.26,3150,943
Abell0370,39.96,-1.585,0.373,173.004,-53.57,PSZ2 G172.98-53.55,7.645,J0239.8-0134,1068,9.239,GCAV,DR9,,"Outside eROSITA, HST Frontier Field, JWST","39.96,-1.585",817,1067,ACT-CL J0239.8-0134,-99,,8,ZwCl 0237.2-0146,6,Abell370,-99,,7.65,10.31,9.24,-1.00,-1.00,9.24,13.11,4.42,2.02,6.34,2359,357
PSZ2 G277.76-51.74,43.596,-58.964,0.438,277.752,-51.731,PSZ2 G277.76-51.74,9.693,J0254.3-5857,1169,7.996,GCAV,DR9,SPLUS obs,SPT-Cl J0254-5857,"43.596,-58.964",1286,1168,ACT-CL J0254.3-5857,-99,,-99,,-99,,-99,,9.69,13.07,8.00,-1.00,-1.00,8.00,11.34,4.42,1.88,5.35,102,46
MACS J0416.1-2403,64.041,-24.066,0.397,221.087,-44.054,PSZ2 G221.06-44.05,0.0,J0416.1-2404,1556,10.524,GCAV,DR9,,"CLASH-VLT, HST Frontier Field, JWST","64.041,-24.066",992,1555,ACT-CL J0416.1-2404,-99,,-99,,-99,,-99,,0.00,0.00,10.52,-1.00,-1.00,10.52,14.83,4.54,2.09,6.30,5028,1454
PSZ2 G201.50-27.31,73.546,-3.015,0.5377,201.497,-27.329,PSZ2 G201.50-27.31,8.304,J0454.2-0300,1677,12.119,GCAV,DR9,,MS 0451,"73.546,-3.015",912,1676,ACT-CL J0454.2-0300,354,J0454.1-0300,-99,,40,PLCK G200.9-28.2,-99,,8.30,11.20,12.12,7.13,10.80,12.12,16.82,4.94,2.06,5.24,2254,548
MACS J0553.4-3342,88.363,-33.715,0.43,239.291,-26.002,PSZ2 G239.27-26.01,8.772,J0553.4-3342,1838,15.4,GCAV,DR9,,MUSE,"88.363,-33.715",1076,1837,ACT-CL J0553.4-3342,-99,,-99,,-99,,-99,,8.77,11.83,15.40,-1.00,-1.00,15.40,21.37,4.97,2.32,6.70,772,8
RXC J0600.1-2007,90.071,-20.104,0.46,225.915,-19.983,PSZ2 G225.93-19.99,10.731,J0600.2-2007,1851,13.624,GCAV,DR10 edge,,MUSE,"90.071,-20.104",1015,1850,ACT-CL J0600.2-2007,-99,,-99,,-99,,-99,,10.73,14.48,13.62,-1.00,-1.00,13.62,18.94,4.90,2.21,6.12,881,6
PSZ2 G284.97-23.69,110.839,-73.439,0.39,284.978,-23.694,PSZ2 G284.97-23.69,8.393,outside ACT,0,,GCAV,DR10,,"SMACS J0723.3-7327, MUSE JWST","110.839,-73.439",1323,-99,,-99,,-99,,-99,,-99,,8.39,11.32,-1.00,-1.00,-1.00,11.32,15.91,4.59,2.14,6.54,109,28
Abell1300,172.977,-19.928,0.306,278.582,39.154,PSZ2 G278.58+39.16,8.97,outside ACT,0,,GCAV,DR10,SPLUS obs,MUSE Foex+2017,"172.977,-19.928",1291,-99,,771,J1131.9-1955,-99,,-99,,-99,,8.97,12.10,-1.00,7.60,11.50,12.10,17.09,4.50,2.26,8.10,393,315
PSZ2 G286.98+32.90,177.705,-28.077,0.39,286.985,32.911,PSZ2 G286.98+32.90,14.692,outside ACT,0,,GCAV,DR10,,,"177.705,-28.077",1340,-99,,-99,,-99,,-99,,-99,,14.69,19.82,-1.00,-1.00,-1.00,19.82,27.25,5.18,2.56,7.82,1051,263
