|        CHANCES name | VISTA |          Comments |                name | index | index_PSZ |        hms |       dms |     z |  m500 | m500lo | m500hi |    hms_PSZ |   dms_PSZ | z_PSZ | m500_PSZ | m500lo_PSZ | m500hi_PSZ | index_ACT |            ACT_name |    hms_ACT |   dms_ACT | z_ACT | m500_ACT | m500lo_ACT | m500hi_ACT |         MCXC |             X-rays | X-ray catalog |    L500_X | m500_X | r500_X | m500_X_corr | m500_PSZ_corr | m500_ACT_corr | r500 |      r500_ACT_corr |           r500_ACT |      r500_PSZ_corr |           r500_PSZ |        r500_X_corr |             r500_r |  m200 | c200 | r200 |  d200 |
| ACT-CL J0138.0-2155 |       |                   | ACT-CL J0138.0-2155 |     1 |           | 01:38:05.1 | -21:55:36 | 0.338 |  6.34 |   1.22 |   1.41 |            |           |       |          |            |            |        81 | ACT-CL J0138.0-2155 | 01:38:05.1 | -21:55:36 |  0.34 |     6.34 |       1.22 |       1.41 |              |                    |               |           |        |        |             |               |          6.34 | 1.13 |  1.162165378388929 |  1.162165378388929 |                    |                    |                    |  1.162165378388929 |  9.08 | 4.20 | 1.81 |  6.06 |
| ACT-CL J1311.0-0310 |       |                   | ACT-CL J1311.0-0310 |    40 |           | 13:11:01.0 | -03:10:41 | 0.491 |  4.95 |   0.95 |   1.09 |            |           |       |          |            |            |       184 | ACT-CL J1311.0-0310 | 13:11:01.0 | -03:10:41 |  0.49 |     4.95 |       0.95 |       1.09 | J1311.0-0310 | MACSJ1311.0-0310   |  MACS         |  7.240105 |   4.15 |   0.95 |        7.55 |               |          4.95 | 1.14 | 1.0086093953189383 | 1.0086093953189383 |                    |                    | 1.1611355919314803 | 1.0086093953189383 |  7.07 | 4.23 | 1.57 |  4.20 |
|           Abell0521 |  HiLx |           MeerKAT |  PSZ2 G208.80-30.67 |    14 |        37 | 04:54:08.9 | -10:13:22 | 0.253 |  6.61 |   1.34 |   1.57 | 04:54:05.0 | -10:13:34 |  0.25 |     7.26 |       0.49 |       0.47 |        68 | ACT-CL J0454.1-1013 | 04:54:08.9 | -10:13:22 |  0.25 |     6.61 |       1.34 |       1.57 | J0454.1-1014 | RXCJ0454.1-1014    |  NORAS/REFLEX |   7.44515 |   5.82 |   1.17 |        9.22 |         10.26 |          6.61 | 1.26 | 1.2163087026857249 | 1.2163087026857249 | 1.4082911428580527 | 1.2549378009042045 |  1.358938767748675 | 1.2163087026857249 |  9.49 | 4.15 | 1.90 |  7.77 |
|           Abell0901 |  HiLx |                   |                  -- |       |           | 09:56:26.4 | -10:04:12 | 0.163 |  8.63 |        |        |            |           |       |          |            |            |           |                     |            |           |       |          |            |            | J0956.4-1004 | RXCJ0956.4-1004    |  NORAS/REFLEX |  5.629624 |   5.23 |   1.16 |        8.63 |               |               | 1.23 |                    |                    |                    |                    |  1.372673568937031 |             1.3113 | 12.40 | 4.15 | 2.15 | 12.36 |
|           Abell0907 |  HiLx |                   |  PSZ2 G249.38+33.26 |       |           | 09:58:24.4 | -11:04:08 | 0.167 |  8.41 |   0.37 |   0.33 | 09:58:24.4 | -11:04:08 |  0.17 |     5.41 |       0.37 |       0.33 |           |                     |            |           |       |          |            |            | J0958.3-1103 | RXCJ0958.3-1103    |  NORAS/REFLEX |  5.299925 |   5.03 |   1.14 |        8.43 |          8.41 |               | 1.23 |                    |                    | 1.3590121544128055 | 1.1731595960125123 | 1.3599917897838556 | 1.3231595960125122 | 12.08 | 4.15 | 2.12 | 12.00 |
|           Abell1300 |  GCAV |                   |  PSZ2 G278.58+39.16 |    34 |         9 | 11:31:56.5 | -19:54:51 | 0.308 | 11.97 |   0.45 |   0.46 | 11:31:56.5 | -19:54:51 |  0.31 |     8.97 |       0.45 |       0.46 |           |                     |            |           |       |          |            |            | J1131.9-1955 | RXCJ1131.9-1955    |  NORAS/REFLEX | 12.461967 |   7.60 |   1.25 |       11.00 |         11.97 |               | 1.47 |                    |                    | 1.4526954739149018 | 1.3194937809398812 | 1.4122592839794463 | 1.4694937809398811 | 16.93 | 4.50 | 2.26 |  8.03 |
|           Abell1451 |  HiLx |                   |  PSZ2 G288.27+39.97 |    37 |        41 | 12:03:18.1 | -21:31:29 | 0.199 | 10.16 |   0.33 |   0.28 | 12:03:18.1 | -21:31:29 |   0.2 |     7.16 |       0.33 |       0.28 |           |                     |            |           |       |          |            |            | J1203.2-2131 | RXCJ1203.2-2131    |  NORAS/REFLEX |  6.614737 |   5.62 |   1.17 |        9.02 |         10.16 |               | 1.32 |                    |                    | 1.4312443298883424 |   1.27366011979048 | 1.3754849114479986 |   1.42366011979048 | 14.50 | 4.25 | 2.23 | 10.96 |
|           Abell3444 |  P109 |                   |  PSZ2 G266.83+25.08 |    32 |        34 | 10:23:53.1 | -27:15:07 | 0.254 | 10.37 |   0.37 |   0.36 | 10:23:53.1 | -27:15:07 |  0.25 |     7.37 |       0.37 |       0.36 |           |                     |            |           |       |          |            |            | J1023.8-2715 | RXCJ1023.8-2715    |  NORAS/REFLEX |  11.91962 |   7.71 |   1.28 |       11.11 |         10.37 |               | 1.32 |                    |                    | 1.4127901499338171 |  1.260783651763311 |   1.44573056057231 |  1.410783651763311 | 14.76 | 4.32 | 2.20 |  8.98 |
|          AbellS0780 |  P109 |                   |  PSZ2 G340.94+35.07 |    51 |        23 | 14:59:34.5 | -18:10:22 | 0.236 | 10.80 |   0.48 |   0.45 | 14:59:34.5 | -18:10:22 |  0.24 |     7.80 |       0.48 |       0.45 |           |                     |            |           |       |          |            |            | J1459.4-1811 | RXCJ1459.4-1811    |  NORAS/REFLEX | 13.967532 |   8.62 |   1.34 |       12.02 |         10.80 |               | 1.28 |                    |                    | 1.4414565459278856 | 1.2932778429691278 | 1.4937263289806109 | 1.4432778429691278 | 15.37 | 4.32 | 2.24 |  9.67 |
|         ClG 0657-56 |  P108 |           MeerKAT |  PSZ2 G266.04-21.25 |    23 |         1 | 06:58:32.3 | -55:57:10 | 0.296 | 16.06 |   3.05 |   3.49 | 06:58:31.6 | -55:57:42 |   0.3 |    13.10 |       0.29 |       0.29 |         1 | ACT-CL J0658.5-5557 | 06:58:32.3 | -55:57:10 |   0.3 |    16.06 |       3.05 |       3.49 | J0658.5-5556 | RXCJ0658.5-5556    |  NORAS/REFLEX | 20.425901 |  10.36 |   1.39 |       13.76 |         16.10 |         16.06 | 1.54 |  1.609425100131557 |  1.609425100131557 | 1.6107601692631597 | 1.5037628623610952 | 1.5286005649355872 |  1.609425100131557 | 22.50 | 4.73 | 2.49 |  9.12 |
