|        CHANCES name | VISTA |          Comments |                name | index | index_PSZ |        hms |       dms |     z |  m500 | m500lo | m500hi |    hms_PSZ |   dms_PSZ | z_PSZ | m500_PSZ | m500lo_PSZ | m500hi_PSZ | index_ACT |            ACT_name |    hms_ACT |   dms_ACT | z_ACT | m500_ACT | m500lo_ACT | m500hi_ACT |
|  PSZ2 G304.84-41.40 |   SMC |                   |  PSZ2 G304.84-41.40 |       |           | 00:28:16.7 | -75:38:02 | 0.410 |  7.65 |   0.38 |   0.35 | 00:28:16.7 | -75:38:02 |  0.41 |     7.65 |       0.38 |       0.35 |           |                     |            |           |       |          |            |            |
|           Abell0907 |  HiLx |                   |  PSZ2 G249.38+33.26 |       |           | 09:58:24.4 | -11:04:08 | 0.167 |  5.41 |   0.37 |   0.33 | 09:58:24.4 | -11:04:08 |  0.17 |     5.41 |       0.37 |       0.33 |           |                     |            |           |       |          |            |            |
|           Abell0901 |  HiLx |                   |                  -- |       |           | 09:56:26.4 | -10:04:12 | 0.163 |       |        |        |            |           |       |          |            |            |           |                     |            |           |       |          |            |            |
|    RXC J0600.1-2007 |  GCAV |                   |  PSZ2 G225.93-19.99 |       |           | 06:00:15.6 | -20:07:27 | 0.460 | 10.73 |   0.54 |   0.51 | 06:00:15.6 | -20:07:27 |  0.46 |    10.73 |       0.54 |       0.51 |           |                     |            |           |       |          |            |            |
|   MACS J0553.4-3342 |  GCAV |                   |  PSZ2 G239.27-26.01 |       |           | 05:53:23.6 | -33:42:07 | 0.430 |  8.77 |   0.46 |   0.44 | 05:53:23.6 | -33:42:07 |  0.43 |     8.77 |       0.46 |       0.44 |           |                     |            |           |       |          |            |            |
|    RXC J1212.3-1816 |  HiLx |                   |                  -- |       |           | 12:12:18.9 | -18:16:44 | 0.269 |       |        |        |            |           |       |          |            |            |           |                     |            |           |       |          |            |            |
|  PSZ2 G243.15-73.84 |  P109 |             WAVES |  PSZ2 G243.15-73.84 |       |           | 01:59:03.1 | -34:14:06 | 0.410 |  8.09 |   0.50 |   0.48 | 01:59:03.1 | -34:14:06 |  0.41 |     8.09 |       0.50 |       0.48 |           |                     |            |           |       |          |            |            |
|  PSZ2 G277.76-51.74 |  GCAV |  SPT-ClJ0254.8587 |  PSZ2 G277.76-51.74 |       |           | 02:54:16.4 | -58:57:38 | 0.438 |  9.69 |   0.38 |   0.37 | 02:54:16.4 | -58:57:38 |  0.44 |     9.69 |       0.38 |       0.37 |           |                     |            |           |       |          |            |            |
|  PSZ2 G201.50-27.31 |  GCAV |           MS 0451 |  PSZ2 G201.50-27.31 |       |           | 04:54:14.2 | -03:01:08 | 0.538 |  8.30 |   0.73 |   0.70 | 04:54:14.2 | -03:01:08 |  0.54 |     8.30 |       0.73 |       0.70 |           |                     |            |           |       |          |            |            |
|  PSZ2 G241.11-28.68 |  P108 |                   |  PSZ2 G241.11-28.68 |       |           | 05:42:57.0 | -35:59:03 | 0.420 |  7.36 |   0.49 |   0.50 | 05:42:57.0 | -35:59:03 |  0.42 |     7.36 |       0.49 |       0.50 |           |                     |            |           |       |          |            |            |
|  PSZ2 G337.12-66.02 |  P107 |                   |  PSZ2 G337.12-66.02 |       |           | 23:35:05.4 | -45:42:28 | 0.547 |  7.12 |   0.59 |   0.56 | 23:35:05.4 | -45:42:28 |  0.55 |     7.12 |       0.59 |       0.56 |           |                     |            |           |       |          |            |            |
|  PSZ2 G262.73-40.92 |  P108 |                   |  PSZ2 G262.73-40.92 |       |           | 04:38:22.8 | -54:19:15 | 0.421 |  7.46 |   0.36 |   0.36 | 04:38:22.8 | -54:19:15 |  0.42 |     7.46 |       0.36 |       0.36 |           |                     |            |           |       |          |            |            |
|  PSZ2 G205.93-39.46 |  P108 |           MeerKAT |  PSZ2 G205.93-39.46 |       |           | 04:17:37.5 | -11:53:45 | 0.443 | 12.25 |   0.55 |   0.53 | 04:17:37.5 | -11:53:45 |  0.44 |    12.25 |       0.55 |       0.53 |           |                     |            |           |       |          |            |            |
| ACT-CL J0138.0-2155 |       |                   | ACT-CL J0138.0-2155 |     1 |           | 01:38:05.1 | -21:55:36 | 0.338 |  6.34 |   1.22 |   1.41 |            |           |       |          |            |            |        81 | ACT-CL J0138.0-2155 | 01:38:05.1 | -21:55:36 |  0.34 |     6.34 |       1.22 |       1.41 |
|   MACS J0329.7-0211 |  P108 |         CLASH-VLT | ACT-CL J0329.6-0211 |     8 |           | 03:29:41.0 | -02:11:44 | 0.459 |  7.84 |   1.44 |   1.63 |            |           |       |          |            |            |        44 | ACT-CL J0329.6-0211 | 03:29:41.0 | -02:11:44 |  0.46 |     7.84 |       1.44 |       1.63 |
| ACT-CL J1311.0-0310 |       |                   | ACT-CL J1311.0-0310 |    40 |           | 13:11:01.0 | -03:10:41 | 0.491 |  4.95 |   0.95 |   1.09 |            |           |       |          |            |            |       184 | ACT-CL J1311.0-0310 | 13:11:01.0 | -03:10:41 |  0.49 |     4.95 |       0.95 |       1.09 |
|        MACSJ0329-02 |       |                   |        MACSJ0329-02 |    63 |           | 03:29:40.8 | -02:11:54 | 0.450 |       |        |        |            |           |       |          |            |            |           |                     |            |           |       |          |            |            |
