| index |                name |        hms |       dms |     z |  m500 | m500lo | m500hi | index_PSZ |    hms_PSZ |   dms_PSZ | z_PSZ | m500_PSZ | m500lo_PSZ | m500hi_PSZ | index_ACT |            ACT_name |    hms_ACT |   dms_ACT | z_ACT | m500_ACT | m500lo_ACT | m500hi_ACT |
|    42 |  PSZ2 G309.43-72.86 | 00:40:49.6 | -44:07:56 | 0.350 | 10.29 |   1.92 |   2.18 |           | 00:40:46.6 | -44:07:58 |  0.35 |     7.28 |       0.71 |       0.68 |        19 | ACT-CL J0040.8-4407 | 00:40:49.6 | -44:07:56 |  0.35 |    10.29 |       1.92 |       2.18 |
|     1 | ACT-CL J0138.0-2155 | 01:38:05.1 | -21:55:36 | 0.338 |  6.34 |   1.22 |   1.41 |           |            |           |       |          |            |            |        81 | ACT-CL J0138.0-2155 | 01:38:05.1 | -21:55:36 |  0.34 |     6.34 |       1.22 |       1.41 |
|    21 |  PSZ2 G259.98-63.43 | 02:32:16.7 | -44:21:04 | 0.284 | 12.30 |   2.35 |   2.70 |        29 | 02:32:18.7 | -44:21:40 |  0.28 |     9.43 |       0.40 |       0.42 |         9 | ACT-CL J0232.2-4421 | 02:32:16.7 | -44:21:04 |  0.28 |    12.30 |       2.35 |       2.70 |
|    29 |  PSZ2 G271.53-56.57 | 02:45:30.0 | -53:02:09 | 0.298 | 10.65 |   2.02 |   2.31 |        54 | 02:45:28.4 | -53:02:32 |  0.30 |     8.47 |       0.45 |       0.46 |        15 | ACT-CL J0245.5-5302 | 02:45:30.0 | -53:02:09 |  0.30 |    10.65 |       2.02 |       2.31 |
|     5 |  PSZ2 G205.05-62.95 | 02:46:25.8 | -20:31:36 | 0.310 |  9.54 |   0.64 |   0.60 |        27 | 02:46:25.8 | -20:31:36 |  0.31 |     9.54 |       0.64 |       0.60 |           |                     |            |           |       |          |            |            |
|    38 |  PSZ2 G294.68-37.01 | 03:03:57.8 | -77:54:11 | 0.274 |  8.74 |   0.40 |   0.37 |        46 | 03:03:57.8 | -77:54:11 |  0.27 |     8.74 |       0.40 |       0.37 |           |                     |            |           |       |          |            |            |
|    23 |  PSZ2 G263.03-56.19 | 03:04:14.6 | -49:21:27 | 0.392 |  6.91 |   1.26 |   1.43 |           | 03:04:20.4 | -49:21:20 |  0.39 |     5.88 |       0.82 |       0.76 |        60 | ACT-CL J0304.2-4921 | 03:04:14.6 | -49:21:27 |  0.39 |     6.91 |       1.26 |       1.43 |
|    12 |  PSZ2 G223.93-60.10 | 03:07:01.9 | -28:40:01 | 0.253 |  8.60 |   1.68 |   1.94 |        47 | 03:07:00.6 | -28:41:03 |  0.25 |     8.70 |       0.57 |       0.55 |        30 | ACT-CL J0307.0-2840 | 03:07:01.9 | -28:40:01 |  0.25 |     8.60 |       1.68 |       1.94 |
|     2 | ACT-CL J0329.6-0211 | 03:29:41.0 | -02:11:44 | 0.459 |  7.84 |   1.44 |   1.63 |           |            |           |       |          |            |            |        44 | ACT-CL J0329.6-0211 | 03:29:41.0 | -02:11:44 |  0.46 |     7.84 |       1.44 |       1.63 |
|     8 |  PSZ2 G215.19-49.65 | 03:47:59.8 | -21:44:37 | 0.348 |  6.85 |   1.31 |   1.50 |           | 03:48:00.2 | -21:44:06 |  0.24 |     7.49 |       0.60 |       0.54 |        61 | ACT-CL J0347.9-2144 | 03:47:59.8 | -21:44:37 |  0.35 |     6.85 |       1.31 |       1.50 |
|    36 |  PSZ2 G288.63-37.66 | 03:52:14.6 | -74:00:30 | 0.127 |  8.05 |   0.25 |   0.24 |        69 | 03:52:14.6 | -74:00:30 |  0.13 |     8.05 |       0.25 |       0.24 |           |                     |            |           |       |          |            |            |
