|        CHANCES name | VISTA |          Comments |                name | index | index_PSZ |        hms |       dms |     z | m500lo | m500hi |    hms_PSZ |   dms_PSZ | z_PSZ | m500_PSZ | m500lo_PSZ | m500hi_PSZ | index_ACT |            ACT_name |    hms_ACT |   dms_ACT | z_ACT | m500_ACT | m500lo_ACT | m500hi_ACT |  m500 |         MCXC |             X-rays | X-ray catalog |    L500_X | m500_X | r500_X | m500_X_corr | m500_PSZ_corr | m500_ACT_corr | r500 |  m200 | c200 | r200 |  d200 |
| ACT-CL J0138.0-2155 |       |                   | ACT-CL J0138.0-2155 |     1 |           | 01:38:05.1 | -21:55:36 | 0.338 |   1.22 |   1.41 |            |           |       |          |            |            |        81 | ACT-CL J0138.0-2155 | 01:38:05.1 | -21:55:36 |  0.34 |     6.34 |       1.22 |       1.41 |  6.34 |              |                    |               |           |        |        |             |               |          6.34 | 1.16 |  9.08 | 4.20 | 1.81 |  5.37 |
| ACT-CL J1311.0-0310 |       |                   | ACT-CL J1311.0-0310 |    40 |           | 13:11:01.0 | -03:10:41 | 0.491 |   0.95 |   1.09 |            |           |       |          |            |            |       184 | ACT-CL J1311.0-0310 | 13:11:01.0 | -03:10:41 |  0.49 |     4.95 |       0.95 |       1.09 |  4.95 | J1311.0-0310 | MACSJ1311.0-0310   |  MACS         |  7.240105 |   4.15 |   0.95 |        6.28 |               |          4.95 | 1.01 |  7.07 | 4.23 | 1.57 |  8.86 |
|           Abell0521 |  HiLx |           MeerKAT |  PSZ2 G208.80-30.67 |    14 |        37 | 04:54:08.9 | -10:13:22 | 0.253 |   1.34 |   1.57 | 04:54:05.0 | -10:13:34 |  0.25 |     7.26 |       0.49 |       0.47 |        68 | ACT-CL J0454.1-1013 | 04:54:08.9 | -10:13:22 |  0.25 |     6.61 |       1.34 |       1.57 |  6.61 | J0454.1-1014 | RXCJ0454.1-1014    |  NORAS/REFLEX |   7.44515 |   5.82 |   1.17 |        8.81 |          9.79 |          6.61 | 1.22 |  9.49 | 4.15 | 1.90 | 10.94 |
|           Abell0901 |  HiLx |                   |                  -- |       |           | 09:56:26.4 | -10:04:12 | 0.163 |        |        |            |           |       |          |            |            |           |                     |            |           |       |          |            |            |  7.92 | J0956.4-1004 | RXCJ0956.4-1004    |  NORAS/REFLEX |  5.629624 |   5.23 |   1.16 |        7.92 |               |               | 1.33 | 11.37 | 4.13 | 2.09 |  5.78 |
|           Abell0907 |  HiLx |                   |  PSZ2 G249.38+33.26 |       |           | 09:58:24.4 | -11:04:08 | 0.167 |   0.37 |   0.33 | 09:58:24.4 | -11:04:08 |  0.17 |     5.41 |       0.37 |       0.33 |           |                     |            |           |       |          |            |            |  7.30 | J0958.3-1103 | RXCJ0958.3-1103    |  NORAS/REFLEX |  5.299925 |   5.03 |   1.14 |        7.61 |          7.30 |               | 1.30 | 10.48 | 4.11 | 2.03 |  5.84 |
|           Abell1300 |  GCAV |                   |  PSZ2 G278.58+39.16 |    34 |         9 | 11:31:56.5 | -19:54:51 | 0.308 |   0.45 |   0.46 | 11:31:56.5 | -19:54:51 |  0.31 |     8.97 |       0.45 |       0.46 |           |                     |            |           |       |          |            |            | 12.10 | J1131.9-1955 | RXCJ1131.9-1955    |  NORAS/REFLEX | 12.461967 |   7.60 |   1.25 |       11.50 |         12.10 |               | 1.46 | 17.08 | 4.50 | 2.26 |  8.86 |
|           Abell1451 |  HiLx |                   |  PSZ2 G288.27+39.97 |    37 |        41 | 12:03:18.1 | -21:31:29 | 0.199 |   0.33 |   0.28 | 12:03:18.1 | -21:31:29 |   0.2 |     7.16 |       0.33 |       0.28 |           |                     |            |           |       |          |            |            |  9.66 | J1203.2-2131 | RXCJ1203.2-2131    |  NORAS/REFLEX |  6.614737 |   5.62 |   1.17 |        8.50 |          9.66 |               | 1.41 | 13.81 | 4.22 | 2.20 |  6.51 |
|           Abell3444 |  P109 |                   |  PSZ2 G266.83+25.08 |    32 |        34 | 10:23:53.1 | -27:15:07 | 0.254 |   0.37 |   0.36 | 10:23:53.1 | -27:15:07 |  0.25 |     7.37 |       0.37 |       0.36 |           |                     |            |           |       |          |            |            |  9.94 | J1023.8-2715 | RXCJ1023.8-2715    |  NORAS/REFLEX |  11.91962 |   7.71 |   1.28 |       11.67 |          9.94 |               | 1.39 | 14.15 | 4.30 | 2.17 |  6.18 |
|          AbellS0780 |  P109 |                   |  PSZ2 G340.94+35.07 |    51 |        23 | 14:59:34.5 | -18:10:22 | 0.236 |   0.48 |   0.45 | 14:59:34.5 | -18:10:22 |  0.24 |     7.80 |       0.48 |       0.45 |           |                     |            |           |       |          |            |            | 10.52 | J1459.4-1811 | RXCJ1459.4-1811    |  NORAS/REFLEX | 13.967532 |   8.62 |   1.34 |       13.04 |         10.52 |               | 1.43 | 14.97 | 4.31 | 2.23 |  5.68 |
|         ClG 0657-56 |  P108 |           MeerKAT |  PSZ2 G266.04-21.25 |    23 |         1 | 06:58:32.3 | -55:57:10 | 0.296 |   3.05 |   3.49 | 06:58:31.6 | -55:57:42 |   0.3 |    13.10 |       0.29 |       0.29 |         1 | ACT-CL J0658.5-5557 | 06:58:32.3 | -55:57:10 |   0.3 |    16.06 |       3.05 |       3.49 | 16.06 | J0658.5-5556 | RXCJ0658.5-5556    |  NORAS/REFLEX | 20.425901 |  10.36 |   1.39 |       15.68 |         17.67 |         16.06 | 1.61 | 22.50 | 4.73 | 2.49 |  7.28 |
