| Cluster Name | RA_J2000 | Dec_J2000 |      z |  m200 | MergedCats | TargetLists | Jan25upload | PSZ2_idx |               PSZ2 | ACT-DR5_idx |             ACT-DR5 | SPT-SZ_idx |            SPT-SZ | MCXC_idx |         MCXC | DECam | S-PLUS | CODEX-DECALS_idx | CODEX-DECALS | MeerKAT_idx |           MeerKAT | MKDiffuse_idx |          MKDiffuse | XMM_idx |             XMM | HIFLUGCS_idx | HIFLUGCS | MENeaCS_idx | MENeaCS | LoVoCCS_idx | LoVoCCS | CLASH-VLT_idx | CLASH-VLT | m500_PSZ2 | m500_PSZ2_corr | m500_ACT | m500_SPT | m500_MCXC | m500_MCXC_corr | m500_CODEX |  m500 |  c200 |  r200 |   d200 | N_first | N_tgss | N_spec | N_spec_z | 5d200 |
|        A2717 |    0.804 |   -35.933 |   0.05 |  4.27 |       True |        True |        True |      -99 |                    |         -99 |                     |        -99 |                   |        1 | J0003.2-3555 |  DR10 |    YES |             1535 |       131889 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      1.20 |           1.82 |       2.97 |  2.97 |  4.09 |  1.56 |  25.79 |       0 |    222 |  11280 |     1265 |  2.15 |
|        A2734 |    2.836 |   -28.855 |  0.061 |  6.16 |       True |        True |       False |        0 | PSZ2 G019.48-80.97 |         -99 |                     |        -99 |                   |        3 | J0011.3-2851 |  DR10 |    YES |             1428 |       128504 |         -99 |                   |           -99 |                    |      22 | RXCJ0011.3-2851 |          -99 |          |         -99 |         |          93 |   A2734 |           -99 |           |      2.61 |           3.52 |    -1.00 |    -1.00 |      2.06 |           3.12 |       4.28 |  4.28 |  4.04 |  1.76 |  24.11 |       0 |    203 |  14717 |     2563 |  2.01 |
|        A0085 |   10.458 |    -9.302 |  0.056 | 21.34 |       True |        True |        True |        6 | PSZ2 G115.25-72.07 |           0 | ACT-CL J0041.8-0918 |        -99 |                   |        7 | J0041.8-0918 |  DR10 |     NO |             1052 |       117583 |           3 | MCXC J0041.8-0918 |             2 | Abell85            |     -99 |                 |            0 |    A0085 |           2 |     A85 |           2 |     A85 |           -99 |           |      4.92 |           6.63 |     4.88 |    -1.00 |      5.32 |           8.05 |      14.95 | 14.95 |  4.26 |  2.67 |  39.56 |    3090 |    745 |  30591 |     3627 |  3.30 |
|        A0119 |   14.067 |    -1.255 |  0.044 |  5.25 |       True |        True |        True |        7 | PSZ2 G125.68-64.12 |         -99 |                     |        -99 |                   |        9 | J0056.3-0112 |  DR10 |    YES |              846 |       109651 |         -99 |                   |           -99 |                    |       6 |   LBQS0053-0134 |            1 |    A0119 |           3 |    A119 |          64 |    A119 |           -99 |           |      3.43 |           4.63 |    -1.00 |    -1.00 |      2.47 |           3.75 |       3.64 |  3.64 |  4.06 |  1.68 |  31.22 |    2040 |    389 |  49241 |     3573 |  2.60 |
|        A0133 |   15.674 |   -21.882 |  0.057 |  9.75 |       True |        True |        True |       11 | PSZ2 G149.63-84.19 |           1 | ACT-CL J0102.7-2153 |        -99 |                   |       11 | J0102.7-2152 |  DR10 |    YES |             1293 |       124942 |           4 | MCXC J0102.7-2152 |           -99 |                    |     -99 |                 |            2 |    A0133 |           4 |    A133 |          60 |    A133 |           -99 |           |      3.02 |           4.07 |     5.46 |    -1.00 |      2.48 |           3.75 |       6.77 |  6.77 |  4.04 |  2.05 |  29.96 |       0 |    408 |  14593 |     1590 |  2.50 |
|        A2870 |   16.933 |     -46.9 |  0.023 |  6.57 |       True |        True |       False |      -99 |                    |         -99 |                     |        -99 |                   |      -99 |              |  DR10 |    YES |             1692 |       138237 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |       4.56 |  4.56 |  4.03 |  1.82 |  63.20 |       0 |   1349 |  13136 |     1471 |  5.27 |
|        A0147 |   17.048 |     2.176 |  0.044 |  2.28 |       True |        True |        True |      -99 |                    |         -99 |                     |        -99 |                   |       12 | J0108.1+0210 |  DR10 |     NO |              777 |       109611 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      0.73 |           1.10 |       1.60 |  1.60 |  4.28 |  1.27 |  23.64 |     890 |    233 |  23886 |     1126 |  1.97 |
|        A0151 |   17.212 |   -15.407 |  0.053 |  4.99 |       True |        True |       False |      -99 |                    |         -99 |                     |        -99 |                   |       13 | J0108.8-1524 |  DR10 |    YES |             1204 |       121360 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      1.28 |           1.93 |       3.47 |  3.47 |  4.06 |  1.65 |  25.69 |       0 |    149 |  13198 |     1979 |  2.14 |
|        A2877 |   17.501 |   -45.923 |  0.024 |  3.16 |       True |        True |       False |       41 | PSZ2 G293.12-70.85 |         -99 |                     |        -99 |                   |       14 | J0110.0-4555 |  DR10 |    YES |             1691 |       138224 |         -99 |                   |           -99 |                    |      15 |         IC 1633 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |      1.14 |           1.54 |    -1.00 |    -1.00 |      0.71 |           1.08 |       2.21 |  2.21 |  4.18 |  1.43 |  47.50 |       0 |    794 |   8588 |     1168 |  3.96 |
|        A0168 |    18.76 |     0.315 |  0.044 |  2.78 |       True |        True |        True |      -99 |                    |         -99 |                     |        -99 |                   |       16 | J0115.2+0019 |  DR10 |    YES |              813 |       109700 |           5 | MCXC J0115.2+0019 |             4 | Abell168           |      25 |      Stripe 82X |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      1.25 |           1.89 |       1.94 |  1.94 |  4.21 |  1.36 |  25.26 |    1351 |    245 |  31613 |     2688 |  2.10 |
