|       Cluster Name | RA_J2000 | Dec_J2000 |     z | Gal_Long | Gal_Lat |    Lx | VST | AAOzs |     DECam |         SPLUS |                      SPLUS comments |                                                   Comments |          coords | PSZ2_idx |               PSZ2 | ACT-DR5_idx |             ACT-DR5 | MCXC_idx |         MCXC | MeerKAT_idx |           MeerKAT | MKDiffuse_idx |          MKDiffuse | XMM_idx |                  XMM | m500_PSZ2 | m500_PSZ2_corr | m500_ACT | m500_MCXC | m500_MCXC_corr |  m500 |  m200 | c200 | r200 |   d200 |  Nspec | Nspec_z |
|              A0085 |   10.458 |    -9.302 | 0.056 |  115.232 |  -72.03 | 5.631 |   Y |   359 |      DR10 |         2021B |                                     |                             LoVoCCS MeerKAT X-COP HIFLUGCS |   10.458,-9.302 |      561 | PSZ2 G115.25-72.07 |         263 | ACT-CL J0041.8-0918 |       60 | J0041.8-0918 |           3 | MCXC J0041.8-0918 |             2 | Abell85            |     -99 |                      |      4.92 |           6.63 |     4.88 |      5.32 |           8.05 |  4.88 |  7.05 | 4.03 | 1.84 |  27.35 |  15104 |    2231 |
|              A0133 |   15.674 |   -21.882 | 0.057 |   149.55 | -84.162 | 1.617 |   N |     0 |      DR10 |     SPLUS obs |                                     |                                           MeerKAT HIFLUGCS |  15.674,-21.882 |      725 | PSZ2 G149.63-84.19 |         378 | ACT-CL J0102.7-2153 |       85 | J0102.7-2152 |           4 | MCXC J0102.7-2152 |           -99 |                    |     -99 |                      |      3.02 |           4.07 |     5.46 |      2.48 |           3.75 |  5.46 |  7.88 | 4.03 | 1.91 |  27.91 |  12826 |    1393 |
|              A0500 |   69.716 |     -22.1 | 0.067 |  220.556 |  -38.49 |  0.72 |   Y |   478 |       DR9 |         2020B |                                     |                                                            |    69.716,-22.1 |      989 | PSZ2 G220.53-38.55 |         -99 |                     |      339 | J0438.9-2206 |         -99 |                   |           -99 |                    |     -99 |                      |      2.39 |           3.23 |    -1.00 |      1.51 |           2.28 |  3.23 |  4.65 | 4.07 | 1.60 |  20.09 |   3567 |    1010 |
|             A0548b |   86.366 |   -25.916 | 0.044 |  230.469 | -25.248 |  0.15 |   N |     0 |       DR9 |         2021B |                                     |                                                    MeerKAT |  86.366,-25.916 |      -99 |                    |         -99 |                     |      407 | J0545.4-2556 |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |      0.50 |           0.76 |  0.76 |  1.07 | 4.60 | 0.99 |  18.36 |   6554 |    1173 |
|              A0754 |  137.133 |    -9.616 | 0.054 |  239.185 |  24.707 |  4.08 |   Y |   423 |      DR10 |         2021B |                                     |                                                    LoVoCCS |  137.133,-9.616 |      -99 |                    |         -99 |                     |      -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |     -1.00 |          -1.00 | -1.00 |  1.41 | 4.46 | 1.08 |  16.57 |   1504 |     858 |
|              A0780 |  139.525 |   -12.083 | 0.057 |  242.915 |  25.101 |  3.38 |   N |     0 |      DR10 |         2021B |                                     |                               Hydra A LoVoCCS Girardi+2022 | 139.525,-12.083 |      -99 |                    |         -99 |                     |      576 | J0918.1-1205 |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |      3.62 |           5.49 |  5.49 |  7.92 | 4.03 | 1.92 |  27.95 |   1375 |     488 |
|              A0957 |  153.408 |     0.916 | 0.045 |  240.931 |  43.981 |   0.4 |   Y |   154 |       DR9 | SPLUS not obs |   6 SPLUS-main tiles need observing |                                                            |   153.408,0.916 |      -99 |                    |         -99 |                     |      -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |     -1.00 |          -1.00 | -1.00 |  1.41 | 4.47 | 1.08 |  19.73 |  13713 |    1559 |
|              A0970 |  154.391 |   -10.666 | 0.059 |  253.075 |  36.897 |  0.77 |   Y |   136 |      DR10 |     SPLUS obs |                                     |                                                            | 154.391,-10.666 |     1155 | PSZ2 G253.04+36.83 |         -99 |                     |      660 | J1017.3-1040 |         -99 |                   |           -99 |                    |     -99 |                      |      2.30 |           3.11 |    -1.00 |      1.85 |           2.80 |  3.11 |  4.48 | 4.08 | 1.58 |  22.37 |   1370 |     760 |
|              A1069 |  159.929 |    -8.683 | 0.062 |  256.585 |  42.035 |  0.48 |   Y |   496 |       DR9 |     SPLUS obs |                                     |                                                            |  159.929,-8.683 |     1184 | PSZ2 G256.67+42.05 |         -99 |                     |      693 | J1039.7-0841 |         -99 |                   |           -99 |                    |     -99 |                      |      1.80 |           2.43 |    -1.00 |      1.46 |           2.21 |  2.43 |  3.49 | 4.13 | 1.46 |  19.64 |   1304 |     524 |
|             A1631a |  193.216 |     -15.4 | 0.047 |  303.441 |   47.47 |  0.37 |   Y |   673 |      DR10 |     SPLUS obs |                                     |                                                            |   193.216,-15.4 |      -99 |                    |         -99 |                     |      -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |     -1.00 |          -1.00 | -1.00 |  1.41 | 4.47 | 1.08 |  18.93 |   1954 |     925 |
|              A1644 |  194.295 |     -17.4 | 0.048 |  304.885 |  45.449 |   1.8 |   N |     0 |      DR10 |     SPLUS obs |                                     |                                     LoVoCCS X-COP HIFLUGCS |   194.295,-17.4 |     1434 | PSZ2 G304.91+45.43 |         -99 |                     |      935 | J1257.1-1724 |         -99 |                   |           -99 |                    |      13 |           Abell 1644 |      3.69 |           4.98 |    -1.00 |      2.93 |           4.43 |  4.98 |  7.18 | 4.03 | 1.86 |  31.88 |   3677 |    1829 |
|              A1736 |  201.795 |     -27.2 | 0.046 |  312.641 |  34.996 |  1.21 |   N |     0 |      DR10 |       Shapley |                                     |                                           LoVoCCS HIFLUGCS |   201.795,-27.2 |     1473 | PSZ2 G312.62+35.05 |         -99 |                     |      997 | J1326.9-2710 |         -99 |                   |           -99 |                    |     -99 |                      |      2.89 |           3.90 |    -1.00 |      2.71 |           4.10 |  3.90 |  5.61 | 4.05 | 1.72 |  30.59 |   3300 |    1525 |
|              A2717 |    0.804 |   -35.933 |  0.05 |  349.301 | -76.488 |  0.52 |   Y |   610 |       DR9 | SPLUS partial |   2 SPLUS-main tiles need observing |                                                            |   0.804,-35.933 |      -99 |                    |         -99 |                     |        5 | J0003.2-3555 |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |      1.20 |           1.82 |  1.82 |  2.60 | 4.23 | 1.33 |  21.85 |   8876 |    1000 |
|              A3128 |   52.562 |   -52.533 | 0.059 |  264.685 | -51.117 |  1.08 |   Y |   584 |       DR9 |     SPLUS obs |                                     |                                                    LoVoCCS |  52.562,-52.533 |     1221 | PSZ2 G264.60-51.07 |         -99 |                     |      270 | J0330.0-5235 |         -99 |                   |           -99 |                    |      20 |               A 3128 |      6.93 |           9.35 |    -1.00 |      2.08 |           3.15 |  9.35 | 13.47 | 4.09 | 2.29 |  32.29 |   5878 |    3506 |
