| index |                name |         ra |       dec |     z | Gal_Long | Gal_Latitude |    Lx | VST | AAO_redshifts |  SPLUS |           Comments |           PSZ_name |  m500 | index_PSZ |         hms |         dms | m500lo |
|     0 |               A0500 |  69.716000 | -22.10000 | 0.067 |  220.556 |       -38.49 |  0.72 |   Y |           478 |  2020B |                    | PSZ2 G220.53-38.55 |  2.39 |           |  4:38:51.84 |   -22:06:00 |        |
|     1 |              A0548b |  86.366000 | -25.91600 | 0.044 |  230.469 |      -25.248 |  0.15 |   N |             0 |  2021B |                    |                 -- | -1.00 |           |  5:45:27.84 | -25:54:57.6 |        |
|     2 |               A0754 | 137.133000 |  -9.61600 | 0.054 |  239.185 |       24.707 |  4.08 |   Y |           423 |  2021B |                    | PSZ2 G239.29+24.75 |  6.85 |           |  9:08:31.92 |  -9:36:57.6 |        |
|     3 |               A0780 | 139.525000 | -12.08300 | 0.057 |  242.915 |       25.101 |  3.38 |   N |             0 |  2021B |                    |                 -- | -1.00 |           |     9:18:06 | -12:04:58.8 |        |
|     4 |               A0957 | 153.408000 |   0.91600 | 0.045 |  240.931 |       43.981 |   0.4 |   Y |           154 |  SPLUS |                    |                 -- | -1.00 |           | 10:13:37.92 |   0:54:57.6 |        |
|     5 |               A0970 | 154.391000 | -10.66600 | 0.059 |  253.075 |       36.897 |  0.77 |   Y |           136 |  SPLUS |                    | PSZ2 G253.04+36.83 |  2.30 |           | 10:17:33.84 | -10:39:57.6 |        |
|     6 |               A1069 | 159.929000 |  -8.68300 | 0.062 |  256.585 |       42.035 |  0.48 |   Y |           496 |  SPLUS |                    | PSZ2 G256.67+42.05 |  1.80 |           | 10:39:42.96 |  -8:40:58.8 |        |
|     7 |              A1631a | 193.216000 | -15.40000 | 0.047 |  303.441 |        47.47 |  0.37 |   Y |           673 |  SPLUS |                    | PSZ2 G303.56+47.54 |  1.70 |           | 12:52:51.84 |   -15:24:00 |        |
|     8 |               A1644 | 194.295000 | -17.40000 | 0.048 |  304.885 |       45.449 |   1.8 |   N |             0 |  SPLUS |                    | PSZ2 G304.91+45.43 |  3.69 |           |  12:57:10.8 |   -17:24:00 |        |
|     9 |               A1736 | 201.795000 | -27.20000 | 0.046 |  312.641 |       34.996 |  1.21 |   N |             0 |  Shapl |                    | PSZ2 G312.62+35.05 |  2.89 |           |  13:27:10.8 |   -27:12:00 |        |
|    10 |               A2717 |   0.804000 | -35.93300 | 0.050 |  349.301 |      -76.488 |  0.52 |   Y |           610 |  SPLUS |                    |                 -- | -1.00 |           |  0:03:12.96 | -35:55:58.8 |        |
|    11 |               A3128 |  52.562000 | -52.53300 | 0.059 |  264.685 |      -51.117 |  1.08 |   Y |           584 |  SPLUS |                    |                 -- | -1.00 |           |  3:30:14.88 | -52:31:58.8 |        |
|    12 |               A3158 |  55.787000 | -53.65000 | 0.059 |   265.05 |      -48.894 |  2.71 |   Y |           621 |  SPLUS |                    | PSZ2 G265.02-48.96 |  4.53 |           |  3:43:08.88 |   -53:39:00 |        |
|    13 |               A3164 |  56.454000 | -57.03300 | 0.061 |  269.436 |      -47.164 |  0.75 |   N |             0 |  SPLUS |                    | PSZ2 G269.36-47.20 |  1.53 |           |  3:45:48.96 | -57:01:58.8 |        |
|    14 |               A3266 |  67.804000 | -61.45000 | 0.054 |  272.143 |      -40.153 |  3.14 |   Y |           877 |  2021B |                    | PSZ2 G272.08-40.16 |  6.64 |           |  4:31:12.96 |   -61:27:00 |        |
|    15 |               A3376 |  90.170000 | -40.03300 | 0.046 |  246.505 |      -26.294 |  1.27 |   Y |           519 |  2020B |                    | PSZ2 G246.50-26.09 |  2.38 |           |   6:00:40.8 | -40:01:58.8 |        |
|    16 |               A3395 |  96.900000 | -54.43300 | 0.050 |  263.215 |      -25.129 |  1.43 |   Y |           652 |  2021B |                    | PSZ2 G263.19-25.19 |  3.21 |           |     6:27:36 | -54:25:58.8 |        |
|    17 |               A3490 | 176.333000 | -34.43300 | 0.070 |  287.736 |        26.48 |  0.88 |   N |             0 |     NO |                    | PSZ2 G287.72+26.46 |  2.58 |           | 11:45:19.92 | -34:25:58.8 |        |
|    18 |               A3497 | 180.016000 | -31.38300 | 0.061 |  290.246 |       30.219 |  0.74 |   N |             0 |     NO |                    | PSZ2 G290.19+30.16 |  2.25 |           | 12:00:03.84 | -31:22:58.8 |        |
|    19 |              A3528S | 193.645000 | -29.38300 | 0.053 |  303.753 |       33.483 |  0.68 |   Y |           627 |  Shapl |                    | PSZ2 G303.75+33.70 |  2.87 |           |  12:54:34.8 | -29:22:58.8 |        |
|    20 |              A3528N | 193.500000 | -28.85000 | 0.053 |  303.608 |       34.018 |  1.01 |   Y |           627 |  Shapl |                    |                 -- | -1.00 |           |    12:54:00 |   -28:51:00 |        |
|    21 |               A3530 | 193.900000 | -30.33300 | 0.054 |  303.997 |       32.529 |  0.44 |   Y |           530 |  Shapl |                    |                 -- | -1.00 |           |    12:55:36 | -30:19:58.8 |        |
|    22 |               A3532 | 194.337000 | -30.35000 | 0.056 |  304.444 |       32.504 |  1.44 |   Y |           250 |  Shapl |                    | PSZ2 G304.44+32.48 |  3.45 |           | 12:57:20.88 |   -30:21:00 |        |
|    23 |               A3556 | 201.029000 | -31.66600 | 0.049 |  311.017 |       30.691 |  0.48 |   Y |           625 |  Shapl |                    |                 -- | -1.00 |           | 13:24:06.96 | -31:39:57.6 |        |
|    24 |               A3558 | 201.987000 | -31.48300 | 0.048 |  311.988 |       30.745 |   3.2 |   Y |           706 |  Shapl |                    | PSZ2 G311.98+30.71 |  4.79 |           | 13:27:56.88 | -31:28:58.8 |        |
|    25 |               A3560 | 202.970000 | -33.23300 | 0.047 |  312.586 |       28.879 |  0.67 |   Y |           580 |  Shapl |                    |                 -- | -1.00 |           |  13:31:52.8 | -33:13:58.8 |        |
|    26 |               A3562 | 203.395000 | -31.66600 | 0.050 |  313.322 |       30.353 |   1.7 |   N |             0 |  Shapl |                    | PSZ2 G313.33+30.29 |  2.44 |           |  13:33:34.8 | -31:39:57.6 |        |
|    27 |               A3667 | 303.112000 | -56.81600 | 0.053 |  340.879 |      -33.383 |  4.47 |   Y |           687 |  2021B |                    | PSZ2 G340.88-33.36 |  5.67 |           | 20:12:26.88 | -56:48:57.6 |        |
|    28 |               A3716 | 312.875000 | -52.71600 | 0.045 |  345.555 |      -39.233 |  0.52 |   Y |           609 |    ??? |                    | PSZ2 G345.38-39.32 |  1.81 |           |    20:51:30 | -52:42:57.6 |        |
|    29 |               A3809 | 326.745000 | -43.88300 | 0.063 |  356.096 |      -49.531 |  1.15 |   Y |           695 |  SPLUS |                    | PSZ2 G356.04-49.50 |  1.67 |           |  21:46:58.8 | -43:52:58.8 |        |
|    30 |               A4059 | 359.250000 | -34.75000 | 0.048 |  356.414 |       -76.08 |  1.58 |   Y |           686 |  SPLUS |                    | PSZ2 G356.25-76.07 |  4.26 |           |    23:57:00 |   -34:45:00 |        |
|    31 |               S1101 | 348.494000 | -42.73400 | 0.056 |  348.329 |      -64.811 | 1.988 |   N |             0 |     NO |                    | PSZ2 G348.46-64.83 |  3.39 |           | 23:13:58.56 | -42:44:02.4 |        |
|    32 |               A3391 |  96.595000 | -53.69700 | 0.051 |  262.377 |      -25.148 | 1.261 |   N |            85 | 2021B? | Merging with A3395 | PSZ2 G262.36-25.15 |  2.82 |           |   6:26:22.8 | -53:41:49.2 |        |
