| index |        hms |       dms |     z | m500 | m500lo | m500hi | index_PSZ |               name |    hms_PSZ |   dms_PSZ | z_PSZ | m500_PSZ | m500lo_PSZ | m500hi_PSZ | index_ACT |            ACT_name |    hms_ACT |   dms_ACT | z_ACT | m500_ACT | m500lo_ACT | m500hi_ACT |
|     0 | 05:07:38.5 | -09:15:27 | 0.040 | 7.30 |   2.26 |   3.12 |           |                 -- |            |           |       |          |            |            |        54 | ACT-CL J0507.6-0915 | 05:07:38.5 | -09:15:27 |  0.04 |     7.30 |       2.26 |       3.12 |
|     1 | 06:00:45.3 | -58:36:32 | 0.037 | 5.67 |   1.72 |   2.35 |           |                 -- |            |           |       |          |            |            |       129 | ACT-CL J0600.7-5836 | 06:00:45.3 | -58:36:32 |  0.04 |     5.67 |       1.72 |       2.35 |
|     2 | 04:33:30.3 | -13:14:21 | 0.033 | 3.39 |   0.19 |   0.18 |       312 | PSZ2 G209.54-36.50 | 04:33:30.3 | -13:14:21 |  0.03 |     3.39 |       0.19 |       0.18 |           |                     |            |           |       |          |            |            |
|     3 | 04:38:35.0 | -22:06:13 | 0.067 | 2.99 |   0.31 |   0.29 |       327 | PSZ2 G220.53-38.55 | 04:38:35.0 | -22:06:13 |  0.07 |     2.99 |       0.31 |       0.29 |           |                     |            |           |       |          |            |            |
|     4 | 03:11:28.1 | -26:56:09 | 0.068 | 2.40 |   0.35 |   0.32 |       354 | PSZ2 G220.74-58.91 | 03:11:28.1 | -26:56:09 |  0.07 |     2.40 |       0.35 |       0.32 |           |                     |            |           |       |          |            |            |
|     5 | 05:48:38.6 | -25:28:59 | 0.042 | 1.91 |   0.21 |   0.20 |       370 | PSZ2 G230.28-24.42 | 05:48:38.6 | -25:28:59 |  0.04 |     1.91 |       0.21 |       0.20 |           |                     |            |           |       |          |            |            |
|     6 | 04:08:23.0 | -30:59:28 | 0.060 | 2.30 |   0.23 |   0.22 |       355 | PSZ2 G230.29-47.13 | 04:08:23.0 | -30:59:28 |  0.06 |     2.30 |       0.23 |       0.22 |           |                     |            |           |       |          |            |            |
|     7 | 09:08:56.1 | -09:40:20 | 0.054 | 8.57 |   0.16 |   0.16 |        50 | PSZ2 G239.29+24.75 | 09:08:56.1 | -09:40:20 |  0.05 |     8.57 |       0.16 |       0.16 |           |                     |            |           |       |          |            |            |
|     8 | 04:13:58.7 | -38:06:45 | 0.050 | 1.90 |   0.22 |   0.20 |       371 | PSZ2 G240.80-46.51 | 04:13:58.7 | -38:06:45 |  0.05 |     1.90 |       0.22 |       0.20 |           |                     |            |           |       |          |            |            |
|     9 | 05:00:48.8 | -38:40:29 | 0.054 | 2.19 |   0.22 |   0.21 |       362 | PSZ2 G242.41-37.40 | 05:00:48.8 | -38:40:29 |  0.05 |     2.19 |       0.22 |       0.21 |           |                     |            |           |       |          |            |            |
|    10 | 10:14:01.3 | -00:57:32 | 0.045 | 2.13 |   0.23 |   0.23 |       364 | PSZ2 G243.02+42.87 | 10:14:01.3 | -00:57:32 |  0.04 |     2.13 |       0.23 |       0.23 |           |                     |            |           |       |          |            |            |
|    11 | 05:40:08.9 | -40:47:36 | 0.036 | 1.41 |   0.22 |   0.20 |       379 | PSZ2 G246.36-30.27 | 05:40:08.9 | -40:47:36 |  0.04 |     1.41 |       0.22 |       0.20 |           |                     |            |           |       |          |            |            |
|    12 | 06:01:42.1 | -39:59:06 | 0.047 | 2.98 |   0.20 |   0.20 |       328 | PSZ2 G246.50-26.09 | 06:01:42.1 | -39:59:06 |  0.05 |     2.98 |       0.20 |       0.20 |           |                     |            |           |       |          |            |            |
|    13 | 03:22:20.1 | -41:20:58 | 0.064 | 2.25 |   0.25 |   0.24 |       360 | PSZ2 G247.56-56.06 | 03:22:20.1 | -41:20:58 |  0.06 |     2.25 |       0.25 |       0.24 |           |                     |            |           |       |          |            |            |
|    14 | 10:17:18.3 | -10:41:37 | 0.059 | 2.88 |   0.27 |   0.24 |       332 | PSZ2 G253.04+36.83 | 10:17:18.3 | -10:41:37 |  0.06 |     2.88 |       0.27 |       0.24 |           |                     |            |           |       |          |            |            |
|    15 | 10:39:58.2 | -08:42:45 | 0.065 | 2.25 |   0.36 |   0.30 |       359 | PSZ2 G256.67+42.05 | 10:39:58.2 | -08:42:45 |  0.06 |     2.25 |       0.36 |       0.30 |           |                     |            |           |       |          |            |            |
|    16 | 11:21:27.0 | +02:50:31 | 0.047 | 1.90 |   0.24 |   0.24 |       372 | PSZ2 G257.51+57.54 | 11:21:27.0 | +02:50:31 |  0.05 |     1.90 |       0.24 |       0.24 |           |                     |            |           |       |          |            |            |
|    17 | 06:26:19.2 | -53:41:20 | 0.051 | 3.52 |   0.17 |   0.18 |       309 | PSZ2 G262.36-25.15 | 06:26:19.2 | -53:41:20 |  0.05 |     3.52 |       0.17 |       0.18 |           |                     |            |           |       |          |            |            |
|    18 | 06:27:08.6 | -54:25:48 | 0.051 | 4.02 |   0.24 |   0.23 |       287 | PSZ2 G263.19-25.19 | 06:27:08.6 | -54:25:48 |  0.05 |     4.02 |       0.24 |       0.23 |           |                     |            |           |       |          |            |            |
|    19 | 03:42:58.0 | -53:37:48 | 0.060 | 4.53 |   1.30 |   1.72 |       220 | PSZ2 G265.02-48.96 | 03:42:46.9 | -53:36:39 |  0.06 |     5.28 |       0.17 |       0.18 |       239 | ACT-CL J0342.9-5337 | 03:42:58.0 | -53:37:48 |  0.06 |     4.53 |       1.30 |       1.72 |
|    20 | 06:32:17.0 | -56:08:50 | 0.054 | 2.30 |   0.21 |   0.21 |       357 | PSZ2 G265.21-24.83 | 06:32:17.0 | -56:08:50 |  0.05 |     2.30 |       0.21 |       0.21 |           |                     |            |           |       |          |            |            |
|    21 | 03:45:43.5 | -56:58:12 | 0.057 | 1.92 |   0.38 |   0.30 |       369 | PSZ2 G269.36-47.20 | 03:45:43.5 | -56:58:12 |  0.06 |     1.92 |       0.38 |       0.30 |           |                     |            |           |       |          |            |            |
|    22 | 08:12:34.3 | -57:14:30 | 0.062 | 4.38 |   0.23 |   0.22 |       270 | PSZ2 G271.60-12.50 | 08:12:34.3 | -57:14:30 |  0.06 |     4.38 |       0.23 |       0.22 |           |                     |            |           |       |          |            |            |
|    23 | 04:31:14.2 | -61:24:25 | 0.059 | 8.30 |   0.14 |   0.14 |        65 | PSZ2 G272.08-40.16 | 04:31:14.2 | -61:24:25 |  0.06 |     8.30 |       0.14 |       0.14 |           |                     |            |           |       |          |            |            |
|    24 | 08:20:45.1 | -57:08:03 | 0.061 | 3.10 |   0.19 |   0.16 |       319 | PSZ2 G272.11-11.50 | 08:20:45.1 | -57:08:03 |  0.06 |     3.10 |       0.19 |       0.16 |           |                     |            |           |       |          |            |            |
|    25 | 10:48:52.2 | -42:49:49 | 0.058 | 2.22 |   0.30 |   0.30 |       361 | PSZ2 G280.21+14.57 | 10:48:52.2 | -42:49:49 |  0.06 |     2.22 |       0.30 |       0.30 |           |                     |            |           |       |          |            |            |
|    26 | 11:45:16.8 | -34:26:33 | 0.070 | 3.22 |   0.29 |   0.28 |       314 | PSZ2 G287.72+26.46 | 11:45:16.8 | -34:26:33 |  0.07 |     3.22 |       0.29 |       0.28 |           |                     |            |           |       |          |            |            |
|    27 | 11:59:48.6 | -31:25:36 | 0.068 | 2.82 |   0.27 |   0.28 |       337 | PSZ2 G290.19+30.16 | 11:59:48.6 | -31:25:36 |  0.07 |     2.82 |       0.27 |       0.28 |           |                     |            |           |       |          |            |            |
|    28 | 12:53:12.6 | -15:19:19 | 0.046 | 2.13 |   0.26 |   0.25 |       365 | PSZ2 G303.56+47.54 | 12:53:12.6 | -15:19:19 |  0.05 |     2.13 |       0.26 |       0.25 |           |                     |            |           |       |          |            |            |
|    29 | 12:54:34.1 | -29:09:43 | 0.054 | 3.59 |   0.21 |   0.24 |       307 | PSZ2 G303.75+33.70 | 12:54:34.1 | -29:09:43 |  0.05 |     3.59 |       0.21 |       0.24 |           |                     |            |           |       |          |            |            |
|    30 | 12:57:21.8 | -30:22:00 | 0.055 | 4.32 |   0.25 |   0.24 |       272 | PSZ2 G304.44+32.48 | 12:57:21.8 | -30:22:00 |  0.06 |     4.32 |       0.25 |       0.24 |           |                     |            |           |       |          |            |            |
|    31 | 12:57:16.2 | -17:24:38 | 0.047 | 4.61 |   0.21 |   0.20 |       259 | PSZ2 G304.91+45.43 | 12:57:16.2 | -17:24:38 |  0.05 |     4.61 |       0.21 |       0.20 |           |                     |            |           |       |          |            |            |
|    32 | 13:27:58.3 | -31:30:45 | 0.048 | 5.98 |   0.22 |   0.21 |       180 | PSZ2 G311.98+30.71 | 13:27:58.3 | -31:30:45 |  0.05 |     5.98 |       0.22 |       0.21 |           |                     |            |           |       |          |            |            |
|    33 | 13:27:04.8 | -27:08:59 | 0.046 | 3.61 |   0.21 |   0.21 |       304 | PSZ2 G312.62+35.05 | 13:27:04.8 | -27:08:59 |  0.05 |     3.61 |       0.21 |       0.21 |           |                     |            |           |       |          |            |            |
|    34 | 13:33:40.2 | -31:43:04 | 0.049 | 3.05 |   0.31 |   0.27 |       326 | PSZ2 G313.33+30.29 | 13:33:40.2 | -31:43:04 |  0.05 |     3.05 |       0.31 |       0.27 |           |                     |            |           |       |          |            |            |
|    35 | 13:47:29.3 | -32:52:28 | 0.039 | 5.78 |   0.19 |   0.17 |       189 | PSZ2 G316.31+28.53 | 13:47:29.3 | -32:52:28 |  0.04 |     5.78 |       0.19 |       0.17 |           |                     |            |           |       |          |            |            |
|    36 | 16:45:29.5 | -73:35:32 | 0.069 | 2.57 |   0.32 |   0.34 |       348 | PSZ2 G317.58-17.82 | 16:45:29.5 | -73:35:32 |  0.07 |     2.57 |       0.32 |       0.34 |           |                     |            |           |       |          |            |            |
|    37 | 16:38:18.9 | -64:21:33 | 0.051 | 9.92 |   0.20 |   0.19 |        20 | PSZ2 G324.59-11.52 | 16:38:18.9 | -64:21:33 |  0.05 |     9.92 |       0.20 |       0.19 |           |                     |            |           |       |          |            |            |
|    38 | 14:49:07.2 | -40:19:39 | 0.062 | 2.65 |   0.32 |   0.30 |       345 | PSZ2 G326.01+17.21 | 14:49:07.2 | -40:19:39 |  0.06 |     2.65 |       0.32 |       0.30 |           |                     |            |           |       |          |            |            |
|    39 | 20:12:26.5 | -56:49:51 | 0.055 | 5.67 |   1.56 |   2.03 |        44 | PSZ2 G340.88-33.36 | 20:12:20.1 | -56:48:53 |  0.06 |     8.79 |       0.07 |       0.06 |       130 | ACT-CL J2012.4-5649 | 20:12:26.5 | -56:49:51 |  0.06 |     5.67 |       1.56 |       2.03 |
|    40 | 19:52:11.9 | -55:03:48 | 0.060 | 4.06 |   0.25 |   0.23 |       283 | PSZ2 G342.82-30.48 | 19:52:11.9 | -55:03:48 |  0.06 |     4.06 |       0.25 |       0.23 |           |                     |            |           |       |          |            |            |
|    41 | 00:25:31.5 | -33:00:21 | 0.049 | 1.82 |   0.23 |   0.22 |       374 | PSZ2 G344.99-81.88 | 00:25:31.5 | -33:00:21 |  0.05 |     1.82 |       0.23 |       0.22 |           |                     |            |           |       |          |            |            |
|    42 | 20:52:13.1 | -52:50:11 | 0.045 | 2.26 |   0.23 |   0.22 |       358 | PSZ2 G345.38-39.32 | 20:52:13.1 | -52:50:11 |  0.04 |     2.26 |       0.23 |       0.22 |           |                     |            |           |       |          |            |            |
|    43 | 20:18:49.0 | -52:42:54 | 0.051 | 2.30 |   0.21 |   0.26 |       356 | PSZ2 G345.82-34.29 | 20:18:49.0 | -52:42:54 |  0.05 |     2.30 |       0.21 |       0.26 |           |                     |            |           |       |          |            |            |
|    44 | 23:13:58.1 | -42:43:46 | 0.056 | 3.39 |   1.02 |   1.38 |       373 | PSZ2 G348.46-64.83 | 23:13:54.7 | -42:40:21 |  0.06 |     1.83 |       0.28 |       0.27 |       592 | ACT-CL J2313.9-4243 | 23:13:58.1 | -42:43:46 |  0.06 |     3.39 |       1.02 |       1.38 |
|    45 | 21:46:50.9 | -43:55:26 | 0.062 | 2.08 |   0.32 |   0.28 |       367 | PSZ2 G356.04-49.50 | 21:46:50.9 | -43:55:26 |  0.06 |     2.08 |       0.32 |       0.28 |           |                     |            |           |       |          |            |            |
|    46 | 23:57:01.3 | -34:45:10 | 0.050 | 4.26 |   1.16 |   1.51 |       323 | PSZ2 G356.25-76.07 | 23:57:03.3 | -34:47:17 |  0.05 |     3.09 |       0.19 |       0.20 |       284 | ACT-CL J2357.0-3445 | 23:57:01.3 | -34:45:10 |  0.05 |     4.26 |       1.16 |       1.51 |
|    47 | 21:03:43.0 | -43:19:33 | 0.049 | 1.93 |   0.29 |   0.28 |       368 | PSZ2 G357.75-41.77 | 21:03:43.0 | -43:19:33 |  0.05 |     1.93 |       0.29 |       0.28 |           |                     |            |           |       |          |            |            |
