| index |        CHANCES name |         ra |       dec |     z | Gal_Long | Gal_Latitude |    Lx | VST | AAO_redshifts |  SPLUS |           Comments |           PSZ_name | index_PSZ |         hms |         dms | m500lo | m500_PSZ |         MCXC |             X-rays | X-ray catalog |   L500_X | m500_X | r500_X | m500_ACT | m500_X_corr | m500_PSZ_corr | m500_ACT_corr |  m500 | r500 |  m200 | c200 | r200 |  d200 |
|    39 |               A0496 |      68.41 |   -13.259 | 0.032 |  209.585 |      -36.485 | 2.054 |   N |             0 |     NO |                    | PSZ2 G209.54-36.50 |           |   4:33:38.4 | -13:15:32.4 |        |     2.71 | J0433.6-1315 | RXCJ0433.6-1315    |  NORAS/REFLEX |  1.85299 |   2.91 |   1.00 |    -1.00 |        4.41 |          3.66 |         -1.00 |  3.66 | 1.08 |  5.27 | 4.06 | 1.69 | 21.18 |
|     0 |               A0500 |     69.716 |     -22.1 | 0.067 |  220.556 |       -38.49 |  0.72 |   Y |           478 |  2020B |                    | PSZ2 G220.53-38.55 |           |  4:38:51.84 |   -22:06:00 |        |     2.39 | J0438.9-2206 | RXCJ0438.9-2206    |  NORAS/REFLEX |  0.65502 |   1.51 |   0.79 |    -1.00 |        2.28 |          3.22 |         -1.00 |  3.22 | 1.02 |  4.64 | 4.07 | 1.60 | 29.75 |
|     1 |              A0548b |     86.366 |   -25.916 | 0.044 |  230.469 |      -25.248 |  0.15 |   N |             0 |  2021B |                    |                 -- |           |  5:45:27.84 | -25:54:57.6 |        |          | J0545.4-2556 | RXCJ0545.4-2556    |  NORAS/REFLEX | 0.104752 |   0.50 |   0.55 |    -1.00 |        0.76 |               |         -1.00 |  0.76 | 0.64 |  1.07 | 4.60 | 0.99 | 15.14 |
|     2 |               A0754 |    137.133 |    -9.616 | 0.054 |  239.185 |       24.707 |  4.08 |   Y |           423 |  2021B |                    | PSZ2 G239.29+24.75 |           |  9:08:31.92 |  -9:36:57.6 |        |     6.85 |              |                    |               |          |        |        |    -1.00 |             |          9.24 |         -1.00 |  9.24 | 1.46 | 13.31 | 4.08 | 2.28 | 33.27 |
|     3 |               A0780 |    139.525 |   -12.083 | 0.057 |  242.915 |       25.101 |  3.38 |   N |             0 |  2021B |                    |                 -- |           |     9:18:06 | -12:04:58.8 |        |          | J0918.1-1205 | RXCJ0918.1-1205    |  NORAS/REFLEX | 2.716018 |   3.62 |   1.07 |    -1.00 |        5.49 |               |         -1.00 |  5.49 | 1.22 |  7.92 | 4.03 | 1.92 | 34.90 |
|     4 |               A0957 |    153.408 |     0.916 | 0.045 |  240.931 |       43.981 |   0.4 |   Y |           154 |  SPLUS |                    |                 -- |           | 10:13:37.92 |   0:54:57.6 |        |          |              |                    |               |          |        |        |    -1.00 |             |               |         -1.00 |       |      |       | 4.06 |      | 20.35 |
|     5 |               A0970 |    154.391 |   -10.666 | 0.059 |  253.075 |       36.897 |  0.77 |   Y |           136 |  SPLUS |                    | PSZ2 G253.04+36.83 |           | 10:17:33.84 | -10:39:57.6 |        |     2.30 | J1017.3-1040 | RXCJ1017.3-1040    |  NORAS/REFLEX | 0.904947 |   1.85 |   0.85 |    -1.00 |        2.80 |          3.10 |         -1.00 |  3.10 | 1.01 |  4.47 | 4.08 | 1.58 | 21.35 |
|     6 |               A1069 |    159.929 |    -8.683 | 0.062 |  256.585 |       42.035 |  0.48 |   Y |           496 |  SPLUS |                    | PSZ2 G256.67+42.05 |           | 10:39:42.96 |  -8:40:58.8 |        |     1.80 | J1039.7-0841 | RXCJ1039.7-0841    |  NORAS/REFLEX | 0.620608 |   1.46 |   0.78 |    -1.00 |        2.21 |          2.43 |         -1.00 |  2.43 | 0.93 |  3.49 | 4.13 | 1.46 | 25.45 |
|    34 |               A1520 |    184.832 |    -13.26 | 0.068 |  291.007 |       48.867 | 0.821 |   N |             0 |  SPLUS |                    |                 -- |           | 12:19:19.68 |   -13:15:36 |        |          | J1219.3-1315 | RXCJ1219.3-1315    |  NORAS/REFLEX |  0.93527 |   1.87 |   0.85 |    -1.00 |        2.83 |               |         -1.00 |  2.83 | 0.98 |  4.08 | 4.09 | 1.53 | 26.23 |
|     7 |              A1631a |    193.216 |     -15.4 | 0.047 |  303.441 |        47.47 |  0.37 |   Y |           673 |  SPLUS |                    | PSZ2 G303.56+47.54 |           | 12:52:51.84 |   -15:24:00 |        |     1.70 |              |                    |               |          |        |        |    -1.00 |             |          2.29 |         -1.00 |  2.29 | 0.92 |  3.29 | 4.16 | 1.43 | 25.59 |
|     8 |               A1644 |    194.295 |     -17.4 | 0.048 |  304.885 |       45.449 |   1.8 |   N |             0 |  SPLUS |                    | PSZ2 G304.91+45.43 |           |  12:57:10.8 |   -17:24:00 |        |     3.69 | J1257.1-1724 | RXCJ1257.1-1724    |  NORAS/REFLEX | 1.897483 |   2.93 |   0.99 |    -1.00 |        4.43 |          4.98 |         -1.00 |  4.98 | 1.19 |  7.18 | 4.03 | 1.86 | 30.68 |
|     9 |               A1736 |    201.795 |     -27.2 | 0.046 |  312.641 |       34.996 |  1.21 |   N |             0 |  Shapl |                    | PSZ2 G312.62+35.05 |           |  13:27:10.8 |   -27:12:00 |        |     2.89 |              |                    |               |          |        |        |    -1.00 |             |          3.90 |         -1.00 |  3.90 | 1.09 |  5.62 | 4.05 | 1.72 | 24.23 |
|    10 |               A2717 |      0.804 |   -35.933 |  0.05 |  349.301 |      -76.488 |  0.52 |   Y |           610 |  SPLUS |                    |                 -- |           |  0:03:12.96 | -35:55:58.8 |        |          | J0003.2-3555 | RXCJ0003.2-3555    |  NORAS/REFLEX | 0.441862 |   1.20 |   0.74 |    -1.00 |        1.82 |               |         -1.00 |  1.82 | 0.85 |  2.60 | 4.23 | 1.33 | 18.72 |
|    37 |               A3122 |     50.577 |   -41.359 | 0.064 |  247.581 |      -56.069 | 0.642 |   N |             0 |  SPLUS |                    | PSZ2 G247.56-56.06 |           |  3:22:18.48 | -41:21:32.4 |        |     1.80 | J0322.3-4121 | RXCJ0322.3-4121    |  NORAS/REFLEX | 0.593611 |   1.42 |   0.78 |    -1.00 |        2.16 |          2.43 |         -1.00 |  2.43 | 0.93 |  3.49 | 4.13 | 1.46 | 19.92 |
|    11 |               A3128 |     52.562 |   -52.533 | 0.059 |  264.685 |      -51.117 |  1.08 |   Y |           584 |  SPLUS |                    |                 -- |           |  3:30:14.88 | -52:31:58.8 |        |          |              |                    |               |          |        |        |    -1.00 |             |               |         -1.00 |       |      |       | 4.06 |      | 22.10 |
|    12 |               A3158 |     55.787 |    -53.65 | 0.059 |   265.05 |      -48.894 |  2.71 |   Y |           621 |  SPLUS |                    | PSZ2 G265.02-48.96 |           |  3:43:08.88 |   -53:39:00 |        |     4.53 | J0342.8-5338 | RXCJ0342.8-5338    |  NORAS/REFLEX |  2.76492 |   3.65 |   1.07 |    -1.00 |        5.53 |          6.11 |         -1.00 |  6.11 | 1.27 |  8.82 | 4.03 | 1.99 | 35.41 |
