name,ra,dec,z,Gal_Long,Gal_Lat,PSZ2,M_500,ACT name,ACTDR5,M500Cal,VISTA**,DECam,SPLUS,Comments,Complete sample,Low-mass sample,Below low-mass,Missing altogether,coords,PSZ2_idx,ACT-DR5_idx,ACT-DR5,SPT-SZ_idx,SPT-SZ,MCXC_idx,MCXC,S-PLUS,CODEX-DECALS_idx,CODEX-DECALS,MeerKAT_idx,MeerKAT,MKDiffuse_idx,MKDiffuse,XMM_idx,XMM,HIFLUGCS_idx,HIFLUGCS,MENeaCS_idx,MENeaCS,LoVoCCS_idx,LoVoCCS,CLASH-VLT_idx,CLASH-VLT,m500_PSZ2,m500_PSZ2_corr,m500_ACT,m500_SPT,m500_MCXC,m500_MCXC_corr,m500_CODEX,m500,m200,c200,r200,d200,N_first,N_tgss,N_spec,N_spec_z,5d200
Abell2744,3.578,-30.389,0.308,8.897,-81.239,PSZ2 G008.94-81.22,9.83,J0014.3-3022,89,13.082,GCAV,DR9,SPLUS obs,"Outside eROSITA, HST Frontier Field, JWST, MeerKAT, MUSE data (reduced and available for the central part)","ACT, PSZ, CODEX",,,,"3.578,-30.389",18,28,ACT-CL J0014.3-3022,-99,,7,J0014.3-3023,YES,1461,128530,16,MCXC J0014.3-3023,13,Abell2744,-99,,-99,,-99,,-99,,-99,,9.84,13.27,13.08,-1.00,7.36,11.14,14.65,13.08,18.44,4.57,2.32,8.26,0,22,3150,943,0.69
PSZ2 G304.84-41.40,7.034,-75.635,0.41,304.856,-41.406,PSZ2 G304.84-41.40,7.646,Outside ACT,0,,SMC,DR10,,MUSE,,,,,"7.034,-75.635",339,-99,,-99,,-99,,NO,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.65,10.31,-1.00,-1.00,-1.00,-1.00,-1.00,10.31,14.54,4.55,2.06,6.11,0,0,51,2,0.51
Abell2811,10.536,-28.536,0.1082,357.976,-87.509,PSZ2 G358.21-87.49,3.648,J0042.1-2832,266,6.485,VHS,DR9,SPLUS main,LoVoCCS MeerKAT,"ACT, PSZ, CODEX","PSZ, CODEX",,,"10.536,-28.536",426,83,ACT-CL J0042.1-2832,-99,,24,J0042.1-2832,YES,1430,128572,18,MCXC J0042.1-2832,17,Abell2811,-99,,-99,,-99,,21,A2811,-99,,3.65,4.92,6.49,-1.00,3.50,5.30,8.35,6.49,9.34,4.05,1.99,16.24,0,97,7984,3356,1.35
Abell 0209,22.973,-13.613,0.2088,159.878,-73.508,PSZ2 G159.91-73.50,8.464,J0131.8-1336,573,7.625,P107,DR9,,Outside eROSITA CLASH-VLT MeerKAT,"PSZ, CODEX",ACT,,,"22.973,-13.613",112,177,ACT-CL J0131.8-1336,-99,,58,J0131.8-1336,NO,1148,117857,7,MCXC J0131.8-1336,5,Abell209,-99,,-99,,49,A209,-99,,1,Abell 209,8.46,11.42,7.62,-1.00,5.11,7.73,10.36,7.62,10.95,4.15,2.03,9.58,0,44,1779,807,0.80
PSZ2 G243.15-73.84,29.763,-34.235,0.41,243.15,-73.848,PSZ2 G243.15-73.84,8.086,J0159.0-3413,745,9.063,P109,DR9,SPLUS obs,"WAVES, MUSE",,"ACT, PSZ, CODEX",,,"29.763,-34.235",196,239,ACT-CL J0159.0-3413,-99,,-99,,YES,1518,132118,-99,,-99,,-99,,-99,,-99,,-99,,-99,,8.09,10.91,9.06,-1.00,-1.00,-1.00,9.33,9.06,12.82,4.46,1.98,5.85,0,14,388,4,0.49
PSZ2 G259.98-63.43,38.078,-44.345,0.284,259.959,-63.448,PSZ2 G259.98-63.43,7.451,J0232.2-4421,1003,12.295,P109,DR9,SPLUS obs,MeerKAT MUSE GMRT-SUCCESS,ACT,"PSZ, CODEX",,,"38.078,-44.345",247,319,ACT-CL J0232.2-4421,40,SPT-CL J0232-4421,99,J0232.2-4420,YES,1669,138425,52,MCXC J0232.2-4420,63,J0232.2-4420,-99,,-99,,-99,,-99,,-99,,7.54,10.17,12.30,12.01,6.13,9.28,14.60,12.30,17.39,4.48,2.30,8.65,0,23,197,26,0.72
Abell0370,39.96,-1.585,0.373,173.004,-53.57,PSZ2 G172.98-53.55,7.645,J0239.8-0134,1068,9.239,GCAV,DR9,,"Outside eROSITA, HST Frontier Field, JWST, MUSE data available.",,"ACT, PSZ",,CODEX,"39.96,-1.585",116,341,ACT-CL J0239.8-0134,-99,,-99,,YES,-99,,8,ZwCl 0237.2-0146,6,Abell370,-99,,-99,,51,A370,-99,,-99,,7.65,10.31,9.24,-1.00,-1.00,-1.00,-1.00,9.24,13.11,4.42,2.02,6.34,88,12,2359,357,0.53
PSZ2 G271.53-56.57,41.369,-53.042,0.3,271.539,-56.571,PSZ2 G271.53-56.57,6.775,J0245.5-5302,1115,10.655,VHS,DR9,SPLUS obs,MeerKAT MUSE SPT-CL J0245-5302 Ruel+2014,ACT,"PSZ, CODEX",,,"41.369,-53.042",279,352,ACT-CL J0245.5-5302,-99,,-99,,YES,1763,141138,27,PSZ1 G271.48-56.5,30,Abell S295,-99,,-99,,-99,,-99,,-99,,6.78,9.14,10.65,-1.00,-1.00,-1.00,9.03,10.65,15.11,4.40,2.18,7.90,0,3,300,37,0.66
PSZ2 G205.05-62.95,41.615,-20.535,0.31,205.075,-62.949,PSZ2 G205.05-62.95,7.635,J0246.4-2033,1121,5.698,P109,DR9,,,,,,,"41.615,-20.535",131,356,ACT-CL J0246.4-2033,-99,,-99,,NO,1265,125297,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.64,10.30,5.70,-1.00,-1.00,-1.00,5.58,5.70,8.18,4.14,1.77,6.27,0,11,44,3,0.52
PSZ2 G277.76-51.74,43.596,-58.964,0.438,277.752,-51.731,PSZ2 G277.76-51.74,9.693,J0254.3-5857,1169,7.996,GCAV,DR9,SPLUS obs,"SPT-Cl J0254-5857 Ruel+2014, MUSE data avilable for two central fields.",,,,,"43.596,-58.964",290,371,ACT-CL J0254.3-5857,48,SPT-CL J0254-5857,-99,,YES,1829,143695,-99,,-99,,-99,,-99,,-99,,-99,,-99,,9.69,13.07,8.00,7.79,-1.00,-1.00,10.55,8.00,11.34,4.42,1.88,5.35,0,0,102,46,0.45
