#priorities: LoCuSS MENeaCS CoMaLit ACT-DR5 SPT-ECS SPT-SZ PSZ2 CODEX MCXC
#masscols: PSZ2:MSZ ACT-DR5:M500cCal SPT-ECS:M500 SPT-SZ:M500 MCXC:M500 CODEX:M200c CoMaLit:M200c AXES-LEGACY:M200c MENeaCS:m200 LoCuSS:M200 eRASS1:M500
#factors: PSZ2:1.09 ACT-DR5:1 SPT-ECS:1 SPT-SZ:1 MCXC:1.37 CODEX:0.69 CoMaLit:1 AXES-LEGACY:0.86 MENeaCS:1 LoCuSS:1 eRASS1:1
name,ra,dec,z,m200_listed,PSZ2_idx,PSZ2,ACT-DR5_idx,ACT-DR5,SPT-ECS_idx,SPT-ECS,SPT-SZ_idx,SPT-SZ,eRASS1_idx,eRASS1,MCXC_idx,MCXC,redMaPPer_idx,redMaPPer,CODEX_idx,CODEX,CODEX_M200c,AXES-2MRS_idx,AXES-2MRS,AXES-LEGACY_idx,AXES-LEGACY,CoMaLit_idx,CoMaLit,S-PLUS,DECam,MeerKAT_idx,MeerKAT,MKDiffuse_idx,MKDiffuse,XMM_idx,XMM,HIFLUGCS_idx,HIFLUGCS,MENeaCS_idx,MENeaCS,LoCuSS_idx,LoCuSS,LoVoCCS_idx,LoVoCCS,CLASH-VLT_idx,CLASH-VLT,WINGS_idx,WINGS,PSZ2_MSZ,m200_PSZ2,r200_PSZ2,ACT-DR5_M500cCal,m200_ACT-DR5,r200_ACT-DR5,SPT-ECS_M500,m200_SPT-ECS,r200_SPT-ECS,SPT-SZ_M500,m200_SPT-SZ,r200_SPT-SZ,MCXC_M500,m200_MCXC,r200_MCXC,m200_CODEX,r200_CODEX,CoMaLit_M200c,m200_CoMaLit,r200_CoMaLit,AXES-2MRS_M200c,m200_AXES-2MRS,r200_AXES-2MRS,AXES-LEGACY_M200c,m200_AXES-LEGACY,r200_AXES-LEGACY,MENeaCS_m200,m200_MENeaCS,r200_MENeaCS,LoCuSS_M200,m200_LoCuSS,r200_LoCuSS,eRASS1_M500,m200_eRASS1,r200_eRASS1,WINGS_m200,m200_WINGS,r200_WINGS,source,m200,r200,d200,N_first,N_tgss,N_spec,N_spec_z,5d200(deg),hms,dms
Abell 0209,22.9730,-13.6130,0.2090,1.14e+15,121,PSZ2 G159.91-73.50,214,ACT-CL J0131.8-1336,-99,,-99,,-99,,68,J0131.8-1336,-99,,1946,117857,1.52e+15,-99,,407,93190524,19,Abell 209,NO,DR10,7,MCXC J0131.8-1336,5,Abell209,-99,,-99,,33,A209,-99,,-99,,1,Abell 209,-99,,8.46e+14,1.33e+15,2.17,7.62e+14,1.10e+15,2.03,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,5.11e+14,1.01e+15,1.97,1.05e+15,1.99,1.54e+15,1.54e+15,2.27,-1.00e+00,-1.00e+00,-1.0,1.15e+15,9.88e+14,1.96,8.50e+14,8.50e+14,1.86,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.0,MENeaCS,8.50e+14,1.86,8.80,0,38,1592,744,0.73,01:31:53.5,-13:36:46.8
Abell 0370,39.9600,-1.5850,0.3730,1.03e+15,125,PSZ2 G172.98-53.55,405,ACT-CL J0239.8-0134,-99,,-99,,-99,,-99,,5,RMJ023952.7-013418.9,-99,,-1.00e+00,-99,,-99,,135,ABELL 370,YES,DR10,8,ZwCl 0237.2-0146,6,Abell370,-99,,-99,,59,A370,-99,,-99,,-99,,-99,,7.65e+14,1.17e+15,1.94,9.24e+14,1.30e+15,2.01,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00,2.33e+15,2.33e+15,2.45,-1.00e+00,-1.00e+00,-1.0,-1.00e+00,-1.00e+00,-1.00,2.41e+15,2.41e+15,2.47,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.0,MENeaCS,2.41e+15,2.47,7.76,137,25,3115,398,0.65,02:39:50.4,-01:35:06.0
Abell 0520,73.5270,2.9620,0.2030,1.05e+15,135,PSZ2 G195.75-24.32,657,ACT-CL J0454.1+0255,-99,,-99,,3104,1eRASS J045408.9+025512,214,J0454.1+0255,-99,,1240,106276,1.60e+15,-99,,420,93171403,161,Abell 520,NO,DR10,-99,,-99,,-99,,-99,,61,A520,-99,,-99,,-99,,-99,,7.80e+14,1.23e+15,2.11,9.04e+14,1.29e+15,2.15,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,6.44e+14,1.28e+15,2.14,1.11e+15,2.04,1.27e+15,1.27e+15,2.14,-1.00e+00,-1.00e+00,-1.0,1.21e+15,1.04e+15,2.00,1.15e+15,1.15e+15,2.07,-1.00e+00,-1.00e+00,-1.00,9.49e+14,1.36e+15,2.18,-1.00e+00,-1.00e+00,-1.0,MENeaCS,1.15e+15,2.07,9.99,0,37,3021,1017,0.83,04:54:06.5,+02:57:43.2
Abell 0521,73.5380,-10.2390,0.2475,9.79e+14,143,PSZ2 G208.80-30.67,658,ACT-CL J0454.1-1013,-99,,-99,,3106,1eRASS J045410.8-101514,213,J0454.1-1014,-99,,1852,118364,1.59e+15,-99,,-99,,159,ABELL 521,NO,DR10,9,MCXC J0454.1-1014,7,Abell521,-99,,-99,,62,A521,7,Abell 0521,-99,,-99,,-99,,7.26e+14,1.14e+15,2.03,6.61e+14,9.56e+14,1.90,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,5.82e+14,1.15e+15,2.03,1.10e+15,2.00,1.17e+15,1.17e+15,2.04,-1.00e+00,-1.00e+00,-1.0,-1.00e+00,-1.00e+00,-1.00,9.10e+14,9.10e+14,1.87,5.85e+14,5.85e+14,1.62,9.32e+14,1.33e+15,2.13,-1.00e+00,-1.00e+00,-1.0,LoCuSS,5.85e+14,1.62,6.74,0,21,1154,511,0.56,04:54:09.1,-10:14:20.4
Abell 1300,172.9770,-19.9280,0.3060,1.21e+15,325,PSZ2 G278.58+39.16,-99,,77,SPT-CLJ1131-1955,-99,,5258,1eRASS J113154.9-195550,338,J1131.9-1955,-99,,2143,126825,2.19e+15,-99,,707,93213002,-99,,YES,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,8.97e+14,1.37e+15,2.10,-1.00e+00,-1.00e+00,-1.00,8.89e+14,1.25e+15,2.04,-1.00e+00,-1.00e+00,-1.00,7.60e+14,1.49e+15,2.16,1.51e+15,2.18,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.0,1.69e+15,1.46e+15,2.15,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.06e+15,1.49e+15,2.17,-1.00e+00,-1.00e+00,-1.0,SPT-ECS,1.25e+15,2.04,7.29,0,12,377,314,0.61,11:31:54.5,-19:55:40.8
Abell 1437,180.1090,3.3480,0.1340,7.47e+14,316,PSZ2 G273.59+63.27,-99,,-99,,-99,,5453,1eRASS J120024.4+032112,348,J1200.4+0320,3,RMJ120025.3+032049.2,1260,107608,1.17e+15,-99,,295,93163303,289,ABELL 1437,YES,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,5.54e+14,8.73e+14,1.93,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,4.12e+14,8.16e+14,1.89,8.05e+14,1.88,3.93e+14,3.93e+14,1.48,-1.00e+00,-1.00e+00,-1.0,9.01e+14,7.75e+14,1.85,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,7.36e+14,1.06e+15,2.06,-1.00e+00,-1.00e+00,-1.0,CoMaLit,3.93e+14,1.48,10.03,223,48,2815,623,0.84,12:00:26.2,+03:20:52.8
Abell 1650,194.6750,-1.7590,0.0845,6.00e+14,386,PSZ2 G306.66+61.06,867,ACT-CL J1258.7-0145,-99,,-99,,5786,1eRASS J125841.5-014544,384,J1258.6-0145,-99,,1480,111941,1.61e+15,-99,,153,93173501,318,ABELL 1650,YES,DR10,-99,,-99,,-99,,31,A1650,14,A1650,-99,,12,A1650,-99,,-99,,4.45e+14,7.01e+14,1.82,8.05e+14,1.16e+15,2.16,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,4.12e+14,8.17e+14,1.92,1.11e+15,2.12,6.49e+14,6.49e+14,1.78,-1.00e+00,-1.00e+00,-1.0,8.68e+14,7.47e+14,1.86,1.05e+15,1.05e+15,2.09,-1.00e+00,-1.00e+00,-1.00,6.67e+14,9.64e+14,2.03,-1.00e+00,-1.00e+00,-1.0,MENeaCS,1.05e+15,2.09,21.21,857,181,13789,4118,1.77,12:58:42.0,-01:45:32.4
Abell 1651,194.8670,-4.2010,0.0845,6.84e+14,387,PSZ2 G306.77+58.61,869,ACT-CL J1259.3-0410,-99,,-99,,5787,1eRASS J125922.3-041138,386,J1259.3-0411,-99,,1633,115913,1.66e+15,-99,,137,93183520,319,ABELL 1651,YES,DR10,-99,,-99,,-99,,32,A1651,15,A1651,-99,,6,A1651,-99,,-99,,5.07e+14,8.00e+14,1.91,6.38e+14,9.23e+14,2.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,4.39e+14,8.70e+14,1.96,1.14e+15,2.15,1.60e+14,1.60e+14,1.11,-1.00e+00,-1.00e+00,-1.0,9.67e+14,8.31e+14,1.93,8.30e+14,8.30e+14,1.93,-1.00e+00,-1.00e+00,-1.00,7.13e+14,1.03e+15,2.07,-1.00e+00,-1.00e+00,-1.0,MENeaCS,8.30e+14,1.93,19.60,717,140,7235,2866,1.63,12:59:28.1,-04:12:03.6
Abell 1689,197.8750,-1.3350,0.1832,1.18e+15,400,PSZ2 G313.33+61.13,875,ACT-CL J1311.5-0119,-99,,-99,,5858,1eRASS J131129.4-012026,393,J1311.5-0120,0,RMJ131129.5-012028.0,1481,111986,3.22e+15,-99,,249,93173608,325,ABELL 1689,YES,DR10,-99,,-99,,-99,,-99,,16,A1689,20,Abell 1689,-99,,-99,,-99,,8.77e+14,1.38e+15,2.21,1.41e+15,1.97e+15,2.47,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,8.39e+14,1.66e+15,2.35,2.22e+15,2.59,1.89e+15,1.89e+15,2.45,-1.00e+00,-1.00e+00,-1.0,1.81e+15,1.56e+15,2.30,2.39e+15,2.39e+15,2.65,1.14e+15,1.14e+15,2.07,1.16e+15,1.66e+15,2.35,-1.00e+00,-1.00e+00,-1.0,LoCuSS,1.14e+15,2.07,10.86,244,61,4847,1044,0.90,13:11:30.0,-01:20:06.0
Abell 1835,210.2180,2.8780,0.2520,1.32e+15,449,PSZ2 G340.36+60.58,909,ACT-CL J1401.0+0252,-99,,-99,,6151,1eRASS J140102.0+025240,418,J1401.0+0252,9,RMJ140100.5+025149.7,1318,107933,3.09e+15,-99,,239,93163801,349,ABELL 1835,YES,DR10,-99,,-99,,-99,,-99,,21,A1835,23,Abell 1835,-99,,-99,,-99,,9.75e+14,1.52e+15,2.22,1.52e+15,2.15e+15,2.49,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.05e+15,2.02e+15,2.44,2.13e+15,2.48,2.24e+15,2.24e+15,2.53,-1.00e+00,-1.00e+00,-1.0,2.18e+15,1.88e+15,2.38,1.58e+15,1.58e+15,2.25,1.05e+15,1.05e+15,1.96,1.39e+15,1.96e+15,2.42,-1.00e+00,-1.00e+00,-1.0,LoCuSS,1.05e+15,1.96,8.06,106,20,1715,324,0.67,14:00:52.3,+02:52:40.8
Abell 2163,243.9550,-6.1520,0.2060,2.17e+15,12,PSZ2 G006.76+30.45,-99,,-99,,-99,,-99,,457,J1615.7-0608,-99,,1684,116445,3.22e+15,-99,,158,93184401,398,Abell 2163,NO,DR10,-99,,-99,,-99,,49,A2163,38,A2163,-99,,-99,,-99,,-99,,1.61e+15,2.48e+15,2.66,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.11e+15,2.16e+15,2.55,2.22e+15,2.59,1.47e+15,1.47e+15,2.24,-1.00e+00,-1.00e+00,-1.0,2.46e+15,2.11e+15,2.53,1.31e+15,1.31e+15,2.15,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.0,MENeaCS,1.31e+15,2.15,10.30,0,64,722,483,0.86,16:15:49.2,-06:09:07.2
Abell 2420,332.5690,-12.1770,0.0850,5.92e+14,58,PSZ2 G046.47-49.44,1095,ACT-CL J2210.3-1209,-99,,-99,,-99,,580,J2210.3-1210,-99,,1932,120960,1.28e+15,-99,,232,93196020,-99,,YES,DR10,-99,,-99,,-99,,-99,,48,A2420,-99,,23,A2420,-99,,-99,,4.39e+14,6.92e+14,1.82,6.09e+14,8.81e+14,1.97,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,3.51e+14,6.96e+14,1.82,8.80e+14,1.96,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.0,7.03e+14,6.05e+14,1.74,8.40e+14,8.40e+14,1.94,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.0,MENeaCS,8.40e+14,1.94,19.58,0,136,6654,1524,1.63,22:10:16.6,-12:10:37.2
Abell 2744,3.5780,-30.3890,0.3080,1.33e+15,18,PSZ2 G008.94-81.22,31,ACT-CL J0014.3-3022,2,SPT-CLJ0014-3022,-99,,-99,,9,J0014.3-3023,-99,,2478,128530,2.17e+15,-99,,-99,,1,ABELL 2744,YES,DR10,16,MCXC J0014.3-3023,13,Abell2744,-99,,-99,,-99,,-99,,-99,,-99,,-99,,9.84e+14,1.50e+15,2.17,1.31e+15,1.84e+15,2.32,1.14e+15,1.60e+15,2.21,-1.00e+00,-1.00e+00,-1.00,7.36e+14,1.44e+15,2.14,1.50e+15,2.17,2.06e+15,2.06e+15,2.41,-1.00e+00,-1.00e+00,-1.0,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.0,CoMaLit,2.06e+15,2.41,8.58,0,25,3280,956,0.71,00:14:18.7,-30:23:20.4
Abell 2811,10.5360,-28.5360,0.1080,4.92e+14,480,PSZ2 G358.21-87.49,99,ACT-CL J0042.1-2832,6,SPT-CLJ0042-2831,-99,,169,1eRASS J004207.0-283154,29,J0042.1-2832,-99,,2428,128572,1.21e+15,-99,,317,93220209,10,ABELL 2811,YES,DR10,18,MCXC J0042.1-2832,17,Abell2811,-99,,-99,,-99,,-99,,21,A2811,-99,,-99,,3.65e+14,5.75e+14,1.69,6.49e+14,9.38e+14,1.99,7.76e+14,1.12e+15,2.12,-1.00e+00,-1.00e+00,-1.00,3.50e+14,6.94e+14,1.80,8.32e+14,1.92,6.25e+14,6.25e+14,1.74,-1.00e+00,-1.00e+00,-1.0,7.48e+14,6.43e+14,1.76,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,6.28e+14,9.09e+14,1.97,-1.00e+00,-1.00e+00,-1.0,CoMaLit,6.25e+14,1.74,14.22,0,71,6521,2866,1.19,00:42:08.6,-28:32:09.6
