name,ra,dec,z,m200_listed,MergedCats,TargetLists,Jan25upload,coords,PSZ2_idx,PSZ2,ACT-DR5_idx,ACT-DR5,SPT-SZ_idx,SPT-SZ,MCXC_idx,MCXC,DECam,S-PLUS,CODEX_idx,CODEX,CODEX3-LSDR10_idx,CODEX3-LSDR10,MeerKAT_idx,MeerKAT,MKDiffuse_idx,MKDiffuse,XMM_idx,XMM,HIFLUGCS_idx,HIFLUGCS,MENeaCS_idx,MENeaCS,LoVoCCS_idx,LoVoCCS,CLASH-VLT_idx,CLASH-VLT,m500_PSZ2,m500_PSZ2_corr,m500_ACT,m500_SPT,m500_MCXC,m500_MCXC_corr,m500_CODEX,m500_CODEX3,m500_CODEX3_corr,m500,m200,c200,r200,d200,N_first,N_tgss,N_spec,N_spec_z,5d200(deg)
A0085,10.458,-9.302,0.056,21.3,TRUE,TRUE,TRUE,"10.458,-9.302",6,PSZ2 G115.25-72.07,0,ACT-CL J0041.8-0918,-99,,7,J0041.8-0918,DR10,NO,1920,117583,286,93190208,3,MCXC J0041.8-0918,2,Abell85,-99,,0,A0085,2,A85,2,A85,-99,,4.92,6.63,4.88,-1.00,5.32,8.05,14.95,10.87,11.53,14.95,21.34,4.26,1.75,25.89,1643,350,13659,2110,2.16
A0119,14.067,-1.255,0.044,7.5,TRUE,TRUE,TRUE,"14.067,-1.255",7,PSZ2 G125.68-64.12,-99,,-99,,9,J0056.3-0112,DR10,YES,1556,109651,226,93170301,-99,,-99,,6,LBQS0053-0134,1,A0119,3,A119,64,A119,-99,,3.43,4.63,-1.00,-1.00,2.47,3.75,3.64,5.26,5.58,3.64,5.25,4.06,1.09,20.37,792,143,21068,1821,1.70
A0133,15.674,-21.882,0.057,9.7,TRUE,TRUE,TRUE,"15.674,-21.882",11,PSZ2 G149.63-84.19,1,ACT-CL J0102.7-2153,-99,,11,J0102.7-2152,DR10,YES,2371,124942,360,93210318,4,MCXC J0102.7-2152,-99,,-99,,2,A0133,4,A133,60,A133,-99,,3.02,4.07,5.46,-1.00,2.48,3.75,6.77,5.42,5.75,6.77,9.75,4.04,1.34,19.55,0,198,6668,837,1.63
A0147,17.048,2.176,0.044,2.1,TRUE,TRUE,TRUE,"17.048,2.176",-99,,-99,,-99,,12,J0108.1+0210,DR10,NO,1428,109611,208,93170406,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,0.73,1.10,1.60,1.51,1.60,1.60,2.28,4.28,0.83,15.47,347,91,9423,482,1.29
A0151,17.212,-15.407,0.053,4.1,TRUE,TRUE,FALSE,"17.212,-15.407",-99,,-99,,-99,,13,J0108.8-1524,DR10,YES,2190,121360,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,1.28,1.93,3.47,-1.00,-1.00,3.47,4.99,4.06,1.07,16.76,0,62,6399,1134,1.40
A0168,18.76,0.315,0.044,3.3,TRUE,TRUE,TRUE,"18.76,0.315",-99,,-99,,-99,,16,J0115.2+0019,DR10,YES,1494,109700,217,93170421,5,MCXC J0115.2+0019,4,Abell168,25,Stripe 82X,-99,,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,1.25,1.89,1.94,2.36,2.50,1.94,2.78,4.21,0.89,16.51,560,98,14553,1584,1.38
A0194,21.46,-1.402,0.018,1.1,TRUE,TRUE,TRUE,"21.46,-1.402",-99,,-99,,-99,,21,J0125.6-0124,DR10,YES,-99,,227,93170401,6,MCXC J0125.6-0124,-99,,-99,,-99,,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,0.40,0.60,-1.00,0.83,0.88,0.83,1.17,4.59,0.67,29.71,1850,385,41620,11252,2.48
A0496,68.41,-13.259,0.032,18.3,TRUE,TRUE,TRUE,"68.41,-13.259",13,PSZ2 G209.54-36.50,-99,,-99,,57,J0433.6-1315,DR10,NO,2100,118326,322,93191301,-99,,-99,,-99,,17,A0496,-99,,38,A496,-99,,2.71,3.66,-1.00,-1.00,2.91,4.41,10.96,6.98,7.39,10.96,15.74,4.10,1.59,40.00,0,698,20895,1920,3.33
A0500,69.716,-22.1,0.067,4.3,TRUE,TRUE,TRUE,"69.716,-22.1",14,PSZ2 G220.53-38.55,-99,,-99,,58,J0438.9-2206,DR10,NO,2386,125540,361,93211220,-99,,-99,,-99,,-99,,-99,,-99,,-99,,2.39,3.23,-1.00,-1.00,1.51,2.28,2.86,3.15,3.34,2.86,4.12,4.09,1.00,12.59,0,100,1586,615,1.05
A0548,87.121,-25.483,0.042,2.94,TRUE,TRUE,TRUE,"87.121,-25.483",16,PSZ2 G230.28-24.42,-99,,-99,,70,J0548.6-2527,DR10,NO,2538,125769,385,93221502,-99,,-99,,-99,,-99,,-99,,-99,,-99,,1.53,2.07,-1.00,-1.00,1.38,2.09,2.03,2.57,2.73,2.03,2.91,4.20,0.90,17.54,0,160,6213,1023,1.46
