#priorities: MENeaCS CoMaLit AXES-2MRS(0.00-0.04) AXES-LEGACY(0.00-0.04) ACT-DR5 SPT-ECS SPT-SZ WINGS MCXC PSZ2 CODEX AXES-2MRS(0.04-1.00) AXES-LEGACY(0.04-1.00)
#masscols: PSZ2:MSZ ACT-DR5:M500cCal SPT-ECS:M500 SPT-SZ:M500 MCXC:M500 CODEX:M200c CoMaLit:M200c AXES-2MRS:M200c AXES-LEGACY:M200c MENeaCS:m200 LoCuSS:M200 eRASS1:M500 WINGS:m200
#factors: PSZ2:1.1 ACT-DR5:1 SPT-ECS:1 SPT-SZ:1 MCXC:1.41 CODEX:0.7 CoMaLit:1 AXES-2MRS:0.88 AXES-LEGACY:0.88 MENeaCS:1 LoCuSS:1 eRASS1:1 WINGS:0.76
#Units: 1,hh:mm:ss,dd:mm:ss,1,1e14 * Msun,Mpc,arcmin,1
|          name |        hms |         dms |      z | m200 | r200 |   d200 |      source |
|    Abell 0085 | 00:41:49.9 | -09:18:07.2 | 0.0560 |  8.4 | 1.96 |  29.00 |     MENeaCS |
|    Abell 0119 | 00:56:16.1 | -01:15:18.0 | 0.0440 |  7.8 | 1.92 |  35.63 |     MENeaCS |
|    Abell 0133 | 01:02:41.8 | -21:52:55.2 | 0.0570 |  4.1 | 1.54 |  22.45 |     MENeaCS |
|    Abell 0147 | 01:08:11.5 | +02:10:33.6 | 0.0440 |  1.4 | 1.09 |  20.29 |        MCXC |
|    Abell 0151 | 01:08:50.9 | -15:24:25.2 | 0.0530 |  2.5 | 1.31 |  20.48 |        MCXC |
|    Abell 0168 | 01:15:02.4 | +00:18:54.0 | 0.0440 |  2.5 | 1.30 |  24.27 |        MCXC |
|    Abell 0194 | 01:25:50.4 | -01:24:07.2 | 0.0170 |  0.6 | 0.84 |  39.09 |   AXES-2MRS |
|    Abell 0496 | 04:33:38.4 | -13:15:32.4 | 0.0337 |  5.9 | 1.75 |  41.93 |   AXES-2MRS |
|    Abell 0500 | 04:38:51.8 | -22:06:00.0 | 0.0670 |  3.0 | 1.39 |  17.43 |        MCXC |
|    Abell 0548 | 05:48:29.0 | -25:28:58.8 | 0.0410 |  2.7 | 1.35 |  26.89 |        MCXC |
