#priorities: MENeaCS CoMaLit AXES-2MRS(0.00-0.04) AXES-LEGACY(0.00-0.04) ACT-DR5 SPT-ECS SPT-SZ WINGS MCXC PSZ2 CODEX AXES-2MRS(0.04-1.00) AXES-LEGACY(0.04-1.00)
#masscols: PSZ2:MSZ ACT-DR5:M500cCal SPT-ECS:M500 SPT-SZ:M500 MCXC:M500 CODEX:M200c CoMaLit:M200c AXES-2MRS:M200c AXES-LEGACY:M200c MENeaCS:m200 LoCuSS:M200 eRASS1:M500 WINGS:m200
#factors: PSZ2:1.09 ACT-DR5:1 SPT-ECS:1 SPT-SZ:1 MCXC:1.37 CODEX:0.69 CoMaLit:1 AXES-2MRS:0.86 AXES-LEGACY:0.86 MENeaCS:1 LoCuSS:1 eRASS1:1 WINGS:0.7521
#Units: 1,hh:mm:ss,dd:mm:ss,1,1e14 * Msun,Mpc,arcmin,1
name,hms,dms,z,m200,r200,d200,source
Abell 0085,00:41:49.9,-09:18:07.2,0.0560,8.4,1.96,29.00,MENeaCS
Abell 0119,00:56:16.1,-01:15:18.0,0.0440,7.8,1.92,35.63,MENeaCS
Abell 0133,01:02:41.8,-21:52:55.2,0.0570,4.1,1.54,22.45,MENeaCS
Abell 0147,01:08:11.5,+02:10:33.6,0.0440,1.4,1.08,20.10,MCXC
Abell 0151,01:08:50.9,-15:24:25.2,0.0530,2.5,1.30,20.28,MCXC
Abell 0168,01:15:02.4,+00:18:54.0,0.0440,2.4,1.29,24.04,MCXC
Abell 0194,01:25:50.4,-01:24:07.2,0.0170,0.6,0.83,38.79,AXES-2MRS
Abell 0496,04:33:38.4,-13:15:32.4,0.0337,5.7,1.73,41.61,AXES-2MRS
Abell 0500,04:38:51.8,-22:06:00.0,0.0670,3.0,1.37,17.26,MCXC
Abell 0548,05:48:29.0,-25:28:58.8,0.0410,2.7,1.34,26.63,MCXC
Abell 0754,09:08:31.9,-09:36:57.6,0.0540,14.9,2.37,36.33,MENeaCS
Abell 0780,09:18:06.0,-12:04:58.8,0.0570,6.5,1.80,26.20,MENeaCS
Abell 0957,10:13:37.9,-00:54:57.6,0.0450,2.2,1.25,22.83,MCXC
