|               name |      ra |     dec |     z |   MSZ |                                 coords | PSZ2_idx |               PSZ2 | ACT-DR5_idx |             ACT-DR5 | SPT-SZ_idx |            SPT-SZ | CODEX_idx |  CODEX | DECam | MCXC_idx |         MCXC | S-PLUS | CODEX-DECALS_idx | CODEX-DECALS | MeerKAT_idx |           MeerKAT | MKDiffuse_idx |          MKDiffuse | XMM_idx |    XMM | HIFLUGCS_idx | HIFLUGCS | MENeaCS_idx | MENeaCS | LoVoCCS_idx | LoVoCCS | CLASH-VLT_idx |    CLASH-VLT | m500_PSZ2 | m500_PSZ2_corr | m500_ACT | m500_SPT | m500_MCXC | m500_MCXC_corr | m500_CODEX |  m500 |  m200 | c200 | r200 |  d200 | N_first | N_tgss | N_spec | N_spec_z | 5d200 |
| PSZ2 G000.40-41.86 | 316.084 | -41.354 | 0.165 |  5.30 | 316.08448460651397,-41.354168768162545 |        1 | PSZ2 G000.40-41.86 |         862 | ACT-CL J2104.3-4120 |        -99 |                   |       -99 |        |  DR10 |      443 | J2104.3-4120 |    YES |             1641 |       137769 |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      5.30 |           7.15 |     5.56 |    -1.00 |      4.12 |           6.24 |       7.78 |  5.56 |  8.01 | 4.06 | 1.85 | 10.57 |       0 |     28 |    728 |      202 |  0.88 |
|   RXC J2031.8-4037 | 307.973 | -40.599 | 0.342 |  6.33 |   307.9728436744915,-40.59872538732375 |        2 | PSZ2 G000.77-35.69 |         833 | ACT-CL J2031.8-4037 |        141 | SPT-CL J2031-4037 |       -99 |        |  DR10 |      425 | J2031.8-4037 |     NO |             1640 |       137700 |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      6.33 |           8.54 |    10.49 |     9.83 |      6.62 |          10.03 |      12.89 | 10.49 | 14.83 | 4.45 | 2.13 |  7.08 |       0 |     14 |    314 |       67 |  0.59 |
| PSZ2 G002.82+39.23 | 235.015 |  -3.285 | 0.153 |  5.74 |  235.01517594833925,-3.285135268536924 |        5 | PSZ2 G002.82+39.23 |         795 | ACT-CL J1540.1-0318 |        -99 |                   |       -99 |        |  DR10 |      375 | J1540.1-0318 |     NO |              -99 |              |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |          86 |   A2104 |         -99 |         |           -99 |              |      5.74 |           7.74 |     7.26 |    -1.00 |      4.42 |           6.70 |      -1.00 |  7.26 | 10.43 | 4.10 | 2.03 | 12.32 |     323 |     79 |    718 |      328 |  1.03 |
| PSZ2 G003.91-42.03 | 316.468 | -38.753 | 0.152 |  4.72 |   316.4675076936199,-38.75316015084461 |        6 | PSZ2 G003.91-42.03 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |      444 | J2106.0-3846 |    YES |              -99 |              |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      4.72 |           6.36 |    -1.00 |    -1.00 |      3.16 |           4.79 |      -1.00 |  6.36 |  9.17 | 4.07 | 1.95 | 11.88 |       0 |     44 |    682 |      177 |  0.99 |
| PSZ2 G003.93-59.41 | 338.608 | -37.741 | 0.151 |  7.19 |  338.6080936252315,-37.741318366956456 |        7 | PSZ2 G003.93-59.41 |         950 | ACT-CL J2234.4-3744 |        -99 |                   |       -99 |        |  DR10 |      502 | J2234.5-3744 |    YES |              -99 |              |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      7.19 |           9.71 |    13.50 |    -1.00 |      5.70 |           8.62 |      -1.00 | 13.50 | 19.21 | 4.33 | 2.49 | 15.30 |       0 |     94 |   2154 |      967 |  1.28 |
| PSZ2 G006.05+29.43 | 244.406 |  -7.262 | 0.252 |  5.52 |  244.40612029193994,-7.262465137296187 |       10 | PSZ2 G006.05+29.43 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |      -99 |              |     NO |              -99 |              |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      5.52 |           7.44 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |      -1.00 |  7.44 | 10.65 | 4.18 | 1.97 |  8.10 |       0 |     25 |     60 |        7 |  0.67 |
|          Abell2163 | 243.955 |  -6.152 | 0.203 | 16.12 |  243.95488007172725,-6.152363252610378 |       12 | PSZ2 G006.76+30.45 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |      379 | J1615.7-0608 |     NO |              987 |       116445 |         -99 |                   |           -99 |                    |     -99 |        |           49 |    A2163 |          88 |   A2163 |         -99 |         |           -99 |              |     16.12 |          21.74 |    -1.00 |    -1.00 |     11.05 |          16.73 |      21.70 | 21.74 | 30.27 | 4.83 | 2.85 | 13.77 |       0 |    103 |    775 |      490 |  1.15 |
| PSZ1 G008.31-64.31 | 344.678 | -34.788 | 0.312 |  7.75 |   344.6782280821871,-34.78824519454517 |       15 | PSZ2 G008.31-64.74 |         990 | ACT-CL J2258.8-3447 |        -99 |                   |       -99 |        |  DR10 |      -99 |              |    YES |              -99 |              |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      7.75 |          10.45 |     5.60 |    -1.00 |     -1.00 |          -1.00 |      -1.00 |  5.60 |  8.04 | 4.14 | 1.76 |  6.20 |       0 |     13 |    751 |      335 |  0.52 |
| PSZ2 G008.47-56.34 | 334.444 | -35.716 | 0.149 |  4.79 |    334.4436413899886,-35.7155680610281 |       16 | PSZ2 G008.47-56.34 |         926 | ACT-CL J2217.7-3543 |        -99 |                   |       -99 |        |  DR10 |      487 | J2217.7-3543 |    YES |             1563 |       134805 |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      4.79 |           6.46 |     4.88 |    -1.00 |      3.91 |           5.92 |       8.06 |  4.88 |  7.03 | 4.04 | 1.79 | 11.10 |       0 |     57 |   1151 |      753 |  0.92 |
|          Abell2744 |   3.559 | -30.388 | 0.307 |  9.84 | 3.5590614752886665,-30.387616021066002 |       18 | PSZ2 G008.94-81.22 |          28 | ACT-CL J0014.3-3022 |        -99 |                   |       -99 |        |  DR10 |        7 | J0014.3-3023 |    YES |             1461 |       128530 |          16 | MCXC J0014.3-3023 |            13 | Abell2744          |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      9.84 |          13.27 |    13.08 |    -1.00 |      7.36 |          11.14 |      14.65 | 13.08 | 18.44 | 4.56 | 2.32 |  8.30 |       0 |     22 |   3145 |      959 |  0.69 |
| PSZ2 G011.72-37.96 | 312.450 | -32.300 | 0.323 |  5.37 |  312.45046889224164,-32.29986705114024 |       21 | PSZ2 G011.72-37.96 |         846 | ACT-CL J2049.9-3217 |        -99 |                   |       -99 |        |  DR10 |      434 | J2049.9-3216 |     NO |              -99 |              |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      5.37 |           7.25 |     8.15 |    -1.00 |      6.60 |           9.99 |      -1.00 |  8.15 | 11.62 | 4.29 | 1.98 |  6.82 |       0 |     18 |    150 |        4 |  0.57 |
|  MACS J1931.8-2638 | 292.978 | -26.567 | 0.352 |  6.97 | 292.97822793509636,-26.566636238413114 |       22 | PSZ2 G012.59-20.10 |         812 | ACT-CL J1931.8-2634 |        -99 |                   |       -99 |        |  DR10 |      407 | J1931.8-2634 |     NO |              -99 |              |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |             6 | MACSJ1931-26 |      6.97 |           9.41 |     4.95 |    -1.00 |      5.92 |           8.97 |      -1.00 |  4.95 |  7.12 | 4.13 | 1.66 |  5.41 |       0 |      4 |    199 |      112 |  0.45 |
| PSZ2 G013.74-45.53 | 321.566 | -32.025 | 0.323 |  4.81 |  321.56633808139543,-32.02544578059911 |       23 | PSZ2 G013.74-45.53 |         875 | ACT-CL J2126.1-3202 |        -99 |                   |       -99 |        |  DR10 |      -99 |              |    YES |              -99 |              |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      4.81 |           6.49 |     6.52 |    -1.00 |     -1.00 |          -1.00 |      -1.00 |  6.52 |  9.34 | 4.20 | 1.84 |  6.34 |       0 |     16 |     52 |        2 |  0.53 |
| PSZ2 G014.09+38.38 | 240.856 |   3.322 | 0.222 |  4.73 |  240.85614198925373,3.3223744257506964 |       24 | PSZ2 G014.09+38.38 |         800 | ACT-CL J1603.3+0317 |        -99 |                   |       550 |  53709 |  DR10 |      -99 |              |     NO |              764 |       108255 |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      4.73 |           6.37 |     2.88 |    -1.00 |     -1.00 |          -1.00 |       3.54 |  2.88 |  4.15 | 4.05 | 1.46 |  6.57 |      81 |      9 |    711 |       35 |  0.55 |
| PSZ2 G018.18-60.00 | 338.712 | -30.542 | 0.252 |  4.87 |  338.7121482291814,-30.541864466193516 |       26 | PSZ2 G018.18-60.00 |         952 | ACT-CL J2234.8-3033 |        -99 |                   |       -99 |        |  DR10 |      503 | J2234.8-3033 |    YES |              -99 |              |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      4.87 |           6.57 |     6.10 |    -1.00 |      3.72 |           5.63 |      -1.00 |  6.10 |  8.76 | 4.12 | 1.85 |  7.61 |       0 |     14 |    417 |       37 |  0.63 |
| PSZ2 G018.32-28.50 | 303.700 | -24.511 | 0.161 |  5.09 |  303.7003492992976,-24.510511656343272 |       27 | PSZ2 G018.32-28.50 |         820 | ACT-CL J2014.8-2430 |        -99 |                   |       -99 |        |  DR10 |      420 | J2014.8-2430 |     NO |              -99 |              |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      5.09 |           6.87 |     6.03 |    -1.00 |      7.19 |          10.88 |      -1.00 |  6.03 |  8.69 | 4.07 | 1.91 | 11.09 |       0 |     50 |    136 |       52 |  0.92 |
