|               name |      ra |     dec |     z |  MSZ |                                 coords | PSZ2_idx |               PSZ2 | ACT-DR5_idx |             ACT-DR5 | SPT-SZ_idx |            SPT-SZ | CODEX_idx |  CODEX | DECam | MCXC_idx |         MCXC | S-PLUS | CODEX-DECALS_idx | CODEX-DECALS | MeerKAT_idx |           MeerKAT | MKDiffuse_idx |          MKDiffuse | XMM_idx |                  XMM | HIFLUGCS_idx | HIFLUGCS | MENeaCS_idx | MENeaCS | LoVoCCS_idx |         LoVoCCS | CLASH-VLT_idx | CLASH-VLT | m500_PSZ2 | m500_PSZ2_corr | m500_ACT | m500_SPT | m500_MCXC | m500_MCXC_corr | m500_CODEX | m500 |  m200 | c200 | r200 |  d200 | N_first | N_tgss | N_spec | N_spec_z | 5d200 |
| PSZ2 G019.48-80.97 |   2.822 | -28.869 | 0.062 | 2.61 |   2.82232368204026,-28.868827767426254 |        0 | PSZ2 G019.48-80.97 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |        3 | J0011.3-2851 |    YES |             1428 |       128504 |         -99 |                   |           -99 |                    |      22 |      RXCJ0011.3-2851 |          -99 |          |         -99 |         |          93 |           A2734 |           -99 |           |      2.61 |           3.52 |    -1.00 |    -1.00 |      2.06 |           3.12 |       4.28 | 3.52 |  5.07 | 4.06 | 1.65 | 22.24 |       0 |    182 |  12720 |     2273 |  1.85 |
|              A4038 | 356.960 | -28.143 | 0.030 | 1.48 |  356.9603375795869,-28.142585668448522 |        1 | PSZ2 G025.13-75.88 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |      226 | J2347.7-2808 |    YES |             1459 |       131798 |         -99 |                   |           -99 |                    |       8 |           Abell 4038 |           61 |    A4038 |         -99 |         |         100 |           A4038 |           -99 |           |      1.48 |           2.00 |    -1.00 |    -1.00 |      2.04 |           3.09 |       5.50 | 2.00 |  2.86 | 4.21 | 1.38 | 36.94 |       0 |    478 |  27226 |     2931 |  3.08 |
| PSZ2 G038.95-46.90 | 327.989 | -15.613 | 0.061 | 1.96 | 327.98874348584894,-15.613351980330256 |        2 | PSZ2 G038.95-46.90 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |      -99 |              |    YES |              -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |         -99 |                 |           -99 |           |      1.96 |           2.64 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |      -1.00 | 2.64 |  3.79 | 4.11 | 1.50 | 20.38 |       0 |    112 |   2110 |     1079 |  1.70 |
| PSZ2 G053.55-29.85 | 318.515 |   2.571 | 0.049 | 1.80 |  318.51539921045634,2.5707131966402947 |        3 | PSZ2 G053.55-29.85 |         -99 |                     |        -99 |                   |        59 |  59097 |  DR10 |      196 | J2113.8+0233 |     NO |              768 |       113042 |         -99 |                   |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |         -99 |                 |           -99 |           |      1.80 |           2.42 |    -1.00 |    -1.00 |      1.64 |           2.48 |       3.08 | 2.42 |  3.48 | 4.14 | 1.46 | 24.36 |     894 |    217 |  18395 |     1489 |  2.03 |
| PSZ2 G053.99-45.06 | 331.392 |  -5.558 | 0.058 | 1.78 |  331.39185132137504,-5.558059527481695 |        4 | PSZ2 G053.99-45.06 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |      209 | J2205.6-0535 |    YES |              991 |       117200 |         -99 |                   |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |          88 |           A2415 |           -99 |           |      1.78 |           2.41 |    -1.00 |    -1.00 |      2.09 |           3.17 |       4.29 | 2.41 |  3.46 | 4.14 | 1.45 | 20.79 |     855 |    122 |   7113 |     1069 |  1.73 |
| PSZ2 G068.61-46.60 | 338.927 |   1.449 | 0.059 | 1.93 |    338.9268352844344,1.449435655593887 |        5 | PSZ2 G068.61-46.60 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |      214 | J2235.6+0128 |    YES |              771 |       113312 |         -99 |                   |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |         -99 |                 |           -99 |           |      1.93 |           2.60 |    -1.00 |    -1.00 |      1.82 |           2.75 |       3.87 | 2.60 |  3.74 | 4.12 | 1.49 | 20.93 |     789 |    189 |  19116 |     1814 |  1.74 |
|              A0085 |  10.472 |  -9.346 | 0.056 | 4.92 |  10.471853682454807,-9.346434224466101 |        6 | PSZ2 G115.25-72.07 |           0 | ACT-CL J0041.8-0918 |        -99 |                   |        62 | 250928 |  DR10 |        7 | J0041.8-0918 |     NO |             1052 |       117583 |           3 | MCXC J0041.8-0918 |             2 | Abell85            |     -99 |                      |            0 |    A0085 |           2 |     A85 |           2 |             A85 |           -99 |           |      4.92 |           6.63 |     4.88 |    -1.00 |      5.32 |           8.05 |      14.95 | 4.88 |  7.05 | 4.03 | 1.84 | 27.58 |    1809 |    382 |  15281 |     2237 |  2.30 |
|              A0119 |  14.061 |  -1.282 | 0.044 | 3.43 |  14.06051542324233,-1.2819147356466094 |        7 | PSZ2 G125.68-64.12 |         -99 |                     |        -99 |                   |        60 | 243713 |  DR10 |        9 | J0056.3-0112 |    YES |              846 |       109651 |         -99 |                   |           -99 |                    |       6 |        LBQS0053-0134 |            1 |    A0119 |           3 |    A119 |          64 |            A119 |           -99 |           |      3.43 |           4.63 |    -1.00 |    -1.00 |      2.47 |           3.75 |       3.64 | 4.63 |  6.68 | 4.03 | 1.82 | 33.68 |    2339 |    450 |  55993 |     3885 |  2.81 |
| PSZ2 G126.72-72.82 |  13.997 |  -9.988 | 0.054 | 1.50 |  13.997143504551664,-9.987913819706666 |        8 | PSZ2 G126.72-72.82 |         -99 |                     |        -99 |                   |        30 |  64300 |  DR10 |      -99 |              |     NO |             1089 |       117663 |         -99 |                   |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |         -99 |                 |           -99 |           |      1.50 |           2.03 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |       1.22 | 2.03 |  2.90 | 4.19 | 1.37 | 21.25 |    1139 |    220 |   8522 |     1152 |  1.77 |
| PSZ2 G135.76-62.03 |  18.837 |   0.238 | 0.045 | 1.52 | 18.836761973586455,0.23813616149115624 |        9 | PSZ2 G135.76-62.03 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |      -99 |              |    YES |              -99 |              |           5 | MCXC J0115.2+0019 |             4 | Abell168           |     -99 |                      |          -99 |          |         -99 |         |         -99 |                 |           -99 |           |      1.52 |           2.05 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |      -1.00 | 2.05 |  2.94 | 4.19 | 1.38 | 25.19 |    1327 |    244 |  31441 |     2773 |  2.10 |
