|            chances | eromapper_idx |        ra |       dec | best_z | best_zerr | best_z_type | lambda | lambda_e | dist (arcmin) | dist (Mpc) | dist (r200) |
|         Abell 0209 |            35 |  22.96893 | -13.61127 | 0.2086 |    0.0004 | spec_z_boot |  162.1 |      5.5 |          0.25 |       0.05 |        0.03 |
|         Abell 0209 |       2924090 |  22.90318 | -13.75196 | 0.2066 |    0.0015 | spec_z_boot |    9.2 |      2.0 |          9.28 |       1.96 |        1.05 |
|         Abell 0209 |       1307525 |  22.77962 | -13.64329 | 0.2091 |    0.0016 | spec_z_boot |    3.3 |      0.9 |         11.42 |       2.41 |        1.30 |
|         Abell 0209 |         23996 |  22.83445 | -13.47087 | 0.2094 |    0.0009 | spec_z_boot |    9.6 |      1.9 |         11.75 |       2.48 |        1.33 |
|         Abell 0209 |        190293 |  23.24920 | -13.48642 | 0.2121 |    0.0005 | spec_z_boot |   13.0 |      1.5 |         17.82 |       3.77 |        2.02 |
|         Abell 0209 |       3522830 |  22.65486 | -13.70630 | 0.2104 |    0.0019 | spec_z_boot |    4.7 |      1.2 |         19.37 |       4.09 |        2.20 |
|         Abell 0209 |       2764506 |  22.59539 | -13.66731 | 0.2109 |    0.0022 | spec_z_boot |    5.3 |      1.2 |         22.25 |       4.70 |        2.53 |
|         Abell 0209 |       2914024 |  22.91397 | -13.07794 | 0.1767 |    0.0060 |     photo_z |    3.5 |      0.9 |         32.29 |       6.82 |        3.67 |
|         Abell 0209 |       2166464 |  23.53160 | -13.81628 | 0.2038 |    0.0053 |     photo_z |   12.1 |      1.9 |         34.77 |       7.35 |        3.95 |
|         Abell 0209 |       2522178 |  23.57272 | -13.61575 | 0.2077 |    0.0064 |     photo_z |    3.5 |      0.8 |         34.98 |       7.39 |        3.97 |
|         Abell 0209 |        120019 |  22.47488 | -13.94222 | 0.2051 |    0.0058 |     photo_z |    7.4 |      1.0 |         35.11 |       7.42 |        3.99 |
|         Abell 0209 |        858346 |  22.77845 | -13.05248 | 0.1734 |    0.0051 |     photo_z |    9.2 |      1.0 |         35.50 |       7.50 |        4.03 |
|         Abell 0209 |       1987464 |  22.37398 | -13.48989 | 0.2312 |    0.0083 |     photo_z |    3.5 |      1.1 |         35.71 |       7.55 |        4.06 |
|         Abell 0209 |       2183189 |  23.49189 | -14.01657 | 0.2158 |    0.0067 |     photo_z |    3.4 |      1.0 |         38.74 |       8.19 |        4.40 |
|         Abell 0209 |        121911 |  23.24675 | -13.00066 | 0.2153 |    0.0062 |     photo_z |    5.8 |      1.1 |         40.07 |       8.47 |        4.55 |
|         Abell 0209 |       1565682 |  23.57574 | -13.94235 | 0.2087 |    0.0062 |     photo_z |    4.4 |      1.1 |         40.31 |       8.52 |        4.58 |
|         Abell 0209 |        244132 |  23.00601 | -12.92336 | 0.1709 |    0.0061 |     photo_z |    3.4 |      0.8 |         41.42 |       8.76 |        4.71 |
|         Abell 0370 |          1614 |  39.96966 |  -1.57192 | 0.3727 |    0.0009 | spec_z_boot |  141.7 |      5.7 |          0.98 |       0.31 |        0.13 |
|         Abell 0370 |         20133 |  39.92363 |  -1.46989 | 0.3304 |    0.0110 | spec_z_boot |   34.7 |      2.8 |          7.24 |       2.31 |        0.93 |
|         Abell 0370 |       1898788 |  40.07896 |  -1.43996 | 0.3956 |    0.0004 |   cg_spec_z |    4.2 |      1.3 |         11.25 |       3.58 |        1.45 |
|         Abell 0370 |       2366699 |  39.83411 |  -1.76189 | 0.3754 |    0.0246 |     photo_z |    3.7 |      1.1 |         13.03 |       4.15 |        1.68 |
|         Abell 0370 |        526937 |  40.00174 |  -1.32661 | 0.3643 |    0.0004 |   cg_spec_z |    5.3 |      1.4 |         15.70 |       5.00 |        2.02 |
|         Abell 0370 |        988585 |  40.28647 |  -1.70331 | 0.3832 |    0.0004 |   cg_spec_z |    4.5 |      1.1 |         20.83 |       6.63 |        2.68 |
|         Abell 0370 |        921309 |  39.81360 |  -1.18127 | 0.3762 |    0.0165 |     photo_z |    5.9 |      1.4 |         25.77 |       8.20 |        3.32 |
|         Abell 0370 |       2163242 |  40.26488 |  -1.89585 | 0.3342 |    0.0176 |     photo_z |    3.7 |      1.1 |         26.12 |       8.31 |        3.37 |
