|       chances | eromapper_idx |        ra |       dec | best_z | best_zerr | best_z_type | lambda | lambda_e | dist (arcmin) | dist (Mpc) | dist (r200) | vpec (km/s) | is_main |     m200 | r200 |  d200 |
|    Abell 0085 |          2522 |  10.37682 |  -9.23521 | 0.0558 |    0.0004 | spec_z_boot |   61.5 |      3.8 |          6.25 |       0.42 |        0.22 |         -52 |       1 | 5.56e+14 | 1.70 | 25.35 |
|    Abell 0085 |         16946 |  10.71609 |  -9.80776 | 0.0548 |    0.0006 | spec_z_boot |   19.9 |      3.0 |         33.97 |       2.30 |        1.17 |        -343 |       0 | 1.23e+14 | 1.03 | 15.59 |
|    Abell 0085 |       2530703 |  11.14784 | -10.34416 | 0.0824 |    0.0004 |   cg_spec_z |    3.3 |      1.1 |         74.66 |       5.05 |        2.57 |        7496 |       0 | 1.11e+13 | 0.46 |  4.77 |
|    Abell 0085 |       1394495 |  12.44472 |  -8.79246 | 0.0750 |    0.0004 |   cg_spec_z |    3.3 |      0.9 |        121.63 |       8.22 |        4.19 |        5390 |       0 | 1.11e+13 | 0.46 |  5.20 |
|    Abell 0119 |       3038418 |  15.32629 |  -1.16843 | 0.0698 |    0.0000 |   cg_spec_z |    4.2 |      1.7 |         75.71 |       4.08 |        2.13 |        7397 |       0 | 1.54e+13 | 0.51 |  6.21 |
|    Abell 0119 |       1628012 |  13.56366 |  -2.44457 | 0.0756 |    0.0002 |   cg_spec_z |    4.7 |      1.2 |         77.50 |       4.18 |        2.18 |        9068 |       0 | 1.77e+13 | 0.54 |  6.04 |
|    Abell 0119 |       1765814 |  15.60505 |  -1.50173 | 0.0611 |    0.0165 |     photo_z |    3.7 |      1.0 |         93.43 |       5.03 |        2.62 |        4917 |       0 | 1.29e+13 | 0.48 |  6.63 |
|    Abell 0119 |       1744954 |  15.93716 |  -1.17678 | 0.0733 |    0.0000 |   cg_spec_z |    3.4 |      0.9 |        112.28 |       6.05 |        3.15 |        8402 |       0 | 1.16e+13 | 0.47 |  5.39 |
|    Abell 0119 |        230335 |  13.94330 |   0.64504 | 0.0679 |    0.0019 | spec_z_boot |   14.5 |      1.8 |        114.24 |       6.16 |        3.21 |        6874 |       0 | 8.04e+13 | 0.89 | 11.04 |
|    Abell 0119 |       1077133 |  14.84275 |   0.48826 | 0.0639 |    0.0017 | spec_z_boot |    3.5 |      1.2 |        114.48 |       6.17 |        3.21 |        5706 |       0 | 1.21e+13 | 0.47 |  6.23 |
|    Abell 0119 |         77903 |  15.96611 |  -1.71506 | 0.0688 |    0.0113 | spec_z_boot |    8.6 |      2.0 |        117.20 |       6.32 |        3.29 |        7124 |       0 | 4.01e+13 | 0.71 |  8.65 |
|    Abell 0119 |        593312 |  16.08655 |  -0.88156 | 0.0664 |    0.0002 | spec_z_boot |   11.7 |      1.9 |        123.20 |       6.64 |        3.46 |        6418 |       0 | 6.00e+13 | 0.81 | 10.24 |
|    Abell 0119 |         84946 |  15.66259 |  -2.69568 | 0.0713 |    0.0025 | spec_z_boot |   25.6 |      2.4 |        128.94 |       6.95 |        3.62 |        7828 |       0 | 1.72e+14 | 1.15 | 13.61 |
|    Abell 0119 |        399508 |  15.93021 |  -2.33480 | 0.0704 |    0.0008 | spec_z_boot |    5.3 |      1.1 |        129.16 |       6.96 |        3.62 |        7587 |       0 | 2.07e+13 | 0.57 |  6.79 |
|    Abell 0119 |         58601 |  15.30207 |  -3.14934 | 0.0710 |    0.0005 | spec_z_boot |   14.3 |      1.8 |        135.65 |       7.31 |        3.81 |        7762 |       0 | 7.85e+13 | 0.88 | 10.51 |
|    Abell 0119 |       2335829 |  16.39180 |  -0.75151 | 0.0668 |    0.0006 | spec_z_boot |    5.1 |      1.1 |        142.70 |       7.69 |        4.00 |        6553 |       0 | 1.96e+13 | 0.56 |  7.01 |
|    Abell 0119 |        626147 |  14.03381 |  -3.68283 | 0.0586 |    0.0158 |     photo_z |    3.8 |      0.8 |        145.68 |       7.85 |        4.09 |        4205 |       0 | 1.36e+13 | 0.49 |  7.02 |
|    Abell 0119 |         48895 |  15.17865 |  -3.41927 | 0.0696 |    0.0006 | spec_z_boot |   11.7 |      2.8 |        145.95 |       7.87 |        4.10 |        7348 |       0 | 6.02e+13 | 0.81 |  9.80 |
|    Abell 0119 |        755017 |  11.61152 |  -1.76479 | 0.0766 |    0.0004 |   cg_spec_z |    3.6 |      0.9 |        150.42 |       8.11 |        4.22 |        9367 |       0 | 1.23e+13 | 0.48 |  5.28 |
|    Abell 0119 |        658368 |  13.27333 |  -3.64608 | 0.0529 |    0.0024 | spec_z_boot |    4.7 |      1.1 |        151.15 |       8.14 |        4.24 |        2565 |       0 | 1.80e+13 | 0.54 |  8.50 |
|    Abell 0119 |       2378843 |  16.57141 |  -2.09140 | 0.0684 |    0.0079 | spec_z_boot |   14.2 |      5.1 |        158.36 |       8.53 |        4.44 |        7020 |       0 | 7.79e+13 | 0.88 | 10.85 |
|    Abell 0119 |       2156280 |  12.77406 |   1.09826 | 0.0692 |    0.0141 | spec_z_boot |    9.6 |      5.7 |        161.10 |       8.68 |        4.52 |        7231 |       0 | 4.60e+13 | 0.74 |  9.01 |
|    Abell 0119 |       2030732 |  15.89248 |  -3.55616 | 0.0731 |    0.0011 | spec_z_boot |    5.8 |      1.6 |        176.17 |       9.49 |        4.94 |        8361 |       0 | 2.35e+13 | 0.59 |  6.84 |
|    Abell 0133 |         49152 |  15.61390 | -21.85307 | 0.0567 |    0.0005 | spec_z_boot |   43.8 |      2.9 |          3.78 |       0.26 |        0.17 |         -71 |       1 | 3.52e+14 | 1.46 | 21.42 |
|    Abell 0133 |        890681 |  15.16615 | -21.59885 | 0.0550 |    0.0020 | spec_z_boot |    8.3 |      1.5 |         33.02 |       2.27 |        1.47 |        -570 |       0 | 3.80e+13 | 0.70 | 10.51 |
|    Abell 0133 |       2820321 |  15.89367 | -21.17221 | 0.0855 |    0.0004 |   cg_spec_z |    4.8 |      2.2 |         44.31 |       3.04 |        1.97 |        8092 |       0 | 1.85e+13 | 0.54 |  5.46 |
|    Abell 0133 |        486880 |  16.78272 | -21.87249 | 0.0647 |    0.0004 |   cg_spec_z |    5.1 |      2.3 |         61.73 |       4.23 |        2.75 |        2184 |       0 | 1.97e+13 | 0.56 |  7.24 |
|    Abell 0133 |       1094380 |  14.30683 | -21.89620 | 0.0522 |    0.0005 | spec_z_boot |    7.0 |      2.2 |         76.13 |       5.22 |        3.39 |       -1350 |       0 | 3.03e+13 | 0.65 | 10.23 |
|    Abell 0133 |       3095407 |  14.41179 | -20.79316 | 0.0863 |    0.0004 |   cg_spec_z |   12.9 |      1.7 |         96.15 |       6.60 |        4.28 |        8307 |       0 | 6.88e+13 | 0.84 |  8.38 |
|    Abell 0133 |         88050 |  17.60365 | -21.57245 | 0.0777 |    0.0115 |     photo_z |    8.2 |      1.1 |        109.14 |       7.49 |        4.86 |        5883 |       0 | 3.73e+13 | 0.69 |  7.53 |
|    Abell 0151 |          1489 |  17.18223 | -15.42092 | 0.0538 |    0.0003 | spec_z_boot |   84.9 |      5.0 |          1.92 |       0.12 |        0.09 |         214 |       1 | 8.59e+14 | 1.97 | 30.37 |
|    Abell 0151 |         25079 |  17.31301 | -15.44742 | 0.0547 |    0.0007 | spec_z_boot |    6.9 |      2.2 |          6.32 |       0.41 |        0.31 |         482 |       0 | 2.98e+13 | 0.64 |  9.74 |
|    Abell 0168 |       1719999 |  18.62270 |   0.47018 | 0.0456 |    0.0007 | spec_z_boot |    5.6 |      1.3 |         12.43 |       0.67 |        0.52 |         449 |       1 | 2.23e+13 | 0.59 | 10.53 |
|    Abell 0168 |       3253747 |  19.64366 |  -0.16039 | 0.0776 |    0.0003 | spec_z_boot |    4.1 |      1.4 |         60.21 |       3.23 |        2.50 |        9638 |       0 | 1.49e+13 | 0.51 |  5.55 |
|    Abell 0168 |       1736398 |  20.09643 |  -0.07897 | 0.0774 |    0.0004 | spec_z_boot |   13.0 |      1.7 |         83.60 |       4.49 |        3.48 |        9599 |       0 | 6.91e+13 | 0.84 |  9.29 |
|    Abell 0168 |       2396709 |  17.21867 |  -0.65539 | 0.0452 |    0.0000 |   cg_spec_z |    6.3 |      1.5 |        109.28 |       5.86 |        4.55 |         356 |       0 | 2.64e+13 | 0.62 | 11.22 |
|    Abell 0496 |       1026605 |  67.67683 | -11.79824 | 0.0570 |    0.0168 |     photo_z |    5.4 |      1.9 |         97.60 |       4.06 |        2.35 |        6748 |       0 | 2.13e+13 | 0.57 |  8.38 |
|    Abell 0496 |        905066 |  69.53954 | -11.23109 | 0.0553 |    0.0040 | spec_z_boot |   12.2 |      3.0 |        138.53 |       5.76 |        3.33 |        6263 |       0 | 6.34e+13 | 0.83 | 12.40 |
|    Abell 0496 |        738617 |  65.23301 | -12.67512 | 0.0612 |    0.0004 |   cg_spec_z |    4.1 |      0.9 |        189.03 |       7.86 |        4.54 |        7967 |       0 | 1.46e+13 | 0.51 |  6.91 |
|    Abell 0496 |       2621443 |  67.94241 | -10.13154 | 0.0380 |    0.0021 | spec_z_boot |    5.2 |      1.8 |        189.65 |       7.88 |        4.56 |        1257 |       0 | 2.04e+13 | 0.57 | 12.17 |
|    Abell 0500 |          2602 |  69.69038 | -22.12732 | 0.0684 |    0.0005 | spec_z_boot |   44.9 |      2.9 |          2.17 |       0.17 |        0.13 |         400 |       1 | 3.65e+14 | 1.47 | 18.16 |
|    Abell 0500 |        123781 |  70.03452 | -21.85789 | 0.0679 |    0.0013 | spec_z_boot |   13.8 |      3.4 |         22.92 |       1.82 |        1.33 |         265 |       0 | 7.51e+13 | 0.87 | 10.80 |
|    Abell 0500 |       2994611 |  69.47095 | -22.56167 | 0.0668 |    0.0018 | spec_z_boot |    3.5 |      0.9 |         30.85 |       2.45 |        1.79 |         -43 |       0 | 1.18e+13 | 0.47 |  5.91 |
|    Abell 0500 |       1013790 |  70.20279 | -21.77423 | 0.0672 |    0.0003 | spec_z_boot |    5.9 |      1.5 |         33.41 |       2.65 |        1.94 |          55 |       0 | 2.41e+13 | 0.60 |  7.46 |
|    Abell 0500 |       2573275 |  68.98785 | -22.32289 | 0.0675 |    0.0017 | spec_z_boot |   25.9 |      2.9 |         42.59 |       3.38 |        2.47 |         148 |       0 | 1.75e+14 | 1.15 | 14.39 |
|    Abell 0500 |       2781198 |  69.46339 | -21.15483 | 0.0764 |    0.0127 |     photo_z |    4.4 |      1.5 |         58.43 |       4.64 |        3.39 |        2636 |       0 | 1.65e+13 | 0.52 |  5.84 |
|    Abell 0500 |       1595629 |  69.77715 | -23.13017 | 0.0717 |    0.0149 |     photo_z |    3.7 |      0.9 |         61.90 |       4.91 |        3.59 |        1307 |       0 | 1.28e+13 | 0.48 |  5.70 |
|    Abell 0500 |       1780576 |  70.91698 | -21.74541 | 0.0646 |    0.0139 |     photo_z |    7.9 |      1.7 |         70.16 |       5.57 |        4.06 |        -686 |       0 | 3.57e+13 | 0.68 |  8.84 |
|    Abell 0500 |       2157879 |  70.82412 | -22.67827 | 0.0746 |    0.0004 |   cg_spec_z |   10.3 |      1.8 |         70.60 |       5.60 |        4.09 |        2138 |       0 | 5.10e+13 | 0.76 |  8.69 |
|    Abell 0500 |       3106590 |  70.39152 | -23.13267 | 0.0733 |    0.0002 |   cg_spec_z |    5.8 |      1.5 |         72.38 |       5.75 |        4.19 |        1781 |       0 | 2.38e+13 | 0.59 |  6.85 |
|    Abell 0500 |       2784707 |  68.60093 | -22.80760 | 0.0667 |    0.0004 |   cg_spec_z |    5.9 |      1.4 |         75.00 |       5.95 |        4.35 |         -96 |       0 | 2.42e+13 | 0.60 |  7.54 |
|    Abell 0500 |        212392 |  70.75728 | -21.26059 | 0.0660 |    0.0004 |   cg_spec_z |    6.5 |      1.7 |         76.86 |       6.10 |        4.45 |        -278 |       0 | 2.75e+13 | 0.62 |  7.94 |
|    Abell 0548 |        815751 |  87.73649 | -23.96849 | 0.0460 |    0.0004 |   cg_spec_z |    3.9 |      1.5 |         96.87 |       4.87 |        3.64 |        1446 |       0 | 1.36e+13 | 0.50 |  8.86 |
|    Abell 0754 |       2546827 | 137.43329 |  -9.73222 | 0.0549 |    0.0008 | spec_z_boot |   10.9 |      2.6 |         19.09 |       1.25 |        0.53 |         260 |       0 | 5.47e+13 | 0.79 | 11.88 |
|    Abell 0754 |         18308 | 136.80531 |  -9.61529 | 0.0547 |    0.0007 | spec_z_boot |   10.2 |      2.1 |         19.38 |       1.26 |        0.53 |         186 |       0 | 4.99e+13 | 0.76 | 11.58 |
|    Abell 0754 |         21377 | 137.04607 | -10.00073 | 0.0534 |    0.0004 | spec_z_boot |   15.5 |      2.0 |         23.65 |       1.54 |        0.65 |        -169 |       1 | 8.80e+13 | 0.92 | 14.30 |
|    Abell 0754 |        320731 | 137.60698 |  -9.80466 | 0.0536 |    0.0028 | spec_z_boot |    9.6 |      4.6 |         30.24 |       1.97 |        0.83 |        -105 |       0 | 4.65e+13 | 0.75 | 11.51 |
|    Abell 0754 |       2037090 | 137.65663 |  -9.50294 | 0.0557 |    0.0010 | spec_z_boot |    5.7 |      4.3 |         31.72 |       2.07 |        0.87 |         473 |       0 | 2.30e+13 | 0.59 |  8.79 |
|    Abell 0754 |        207745 | 136.63961 |  -9.36086 | 0.0558 |    0.0002 |   cg_spec_z |    4.0 |      1.0 |         32.96 |       2.15 |        0.91 |         523 |       0 | 1.44e+13 | 0.50 |  7.49 |
|    Abell 0754 |       3166228 | 137.29728 | -10.68361 | 0.0824 |    0.0114 |     photo_z |    7.7 |      2.0 |         64.79 |       4.23 |        1.78 |        8073 |       0 | 3.43e+13 | 0.67 |  6.94 |
|    Abell 0754 |        844285 | 138.15119 | -10.76622 | 0.0871 |    0.0139 |     photo_z |    5.1 |      1.2 |         91.53 |       5.97 |        2.52 |        9423 |       0 | 1.96e+13 | 0.55 |  5.47 |
|    Abell 0754 |       2028191 | 134.95114 | -10.68553 | 0.0586 |    0.0165 |     photo_z |    3.6 |      1.0 |        143.95 |       9.39 |        3.96 |        1322 |       0 | 1.26e+13 | 0.48 |  6.84 |
|    Abell 0754 |        175386 | 139.63358 |  -9.88841 | 0.0662 |    0.0002 |   cg_spec_z |    6.0 |      1.3 |        148.77 |       9.71 |        4.10 |        3472 |       0 | 2.44e+13 | 0.60 |  7.60 |
|    Abell 0754 |       2120922 | 139.42346 |  -8.56502 | 0.0569 |    0.0172 |     photo_z |    6.3 |      4.6 |        149.64 |       9.76 |        4.12 |         828 |       0 | 2.63e+13 | 0.62 |  9.00 |
|    Abell 0754 |         35816 | 136.18396 | -12.28135 | 0.0544 |    0.0011 | spec_z_boot |   14.8 |      2.1 |        169.41 |      11.05 |        4.66 |         104 |       0 | 8.23e+13 | 0.90 | 13.75 |
|    Abell 0754 |       1997343 | 137.23691 |  -6.63658 | 0.0685 |    0.0004 |   cg_spec_z |    5.7 |      2.7 |        178.87 |      11.67 |        4.92 |        4116 |       0 | 2.32e+13 | 0.59 |  7.25 |
|    Abell 0754 |       2389113 | 139.03197 | -11.97477 | 0.0657 |    0.0158 |     photo_z |    4.4 |      1.1 |        180.43 |      11.77 |        4.97 |        3317 |       0 | 1.61e+13 | 0.52 |  6.67 |
|    Abell 0780 |       2696236 | 139.40978 | -12.23626 | 0.0537 |    0.0017 | spec_z_boot |   36.5 |      3.1 |         11.41 |       0.78 |        0.44 |        -936 |       1 | 2.76e+14 | 1.35 | 20.81 |
|    Abell 0780 |       2389113 | 139.03197 | -11.97477 | 0.0657 |    0.0158 |     photo_z |    4.4 |      1.1 |         29.65 |       2.04 |        1.13 |        2456 |       0 | 1.61e+13 | 0.52 |  6.67 |
|    Abell 0780 |        844285 | 138.15119 | -10.76622 | 0.0871 |    0.0139 |     photo_z |    5.1 |      1.2 |        113.00 |       7.76 |        4.31 |        8545 |       0 | 1.96e+13 | 0.55 |  5.47 |
|    Abell 0780 |        905300 | 141.20077 | -13.16820 | 0.0527 |    0.0004 |   cg_spec_z |    3.9 |      0.6 |        117.75 |       8.09 |        4.49 |       -1211 |       0 | 1.37e+13 | 0.50 |  7.78 |
|    Abell 0780 |       3276924 | 140.91078 | -10.53084 | 0.0850 |    0.0128 |     photo_z |    4.0 |      1.0 |        123.77 |       8.50 |        4.72 |        7938 |       0 | 1.45e+13 | 0.50 |  5.06 |
|    Abell 0957 |       2833818 | 153.35725 |  -0.78167 | 0.0447 |    0.0008 | spec_z_boot |   20.6 |      2.2 |          8.61 |       0.47 |        0.38 |         -81 |       1 | 1.28e+14 | 1.05 | 19.19 |
|    Abell 0957 |        215509 | 153.61901 |  -1.29010 | 0.0596 |    0.0002 |   cg_spec_z |    5.2 |      1.4 |         25.77 |       1.41 |        1.13 |        4192 |       0 | 2.04e+13 | 0.57 |  7.91 |
