zbin,name,ra,dec,z,gal_l,mass,complete,lowmass,S-PLUS,CHANCES,Abell,CODEX,ACT-DR5,LoVoCCS,HIFLUGCS,MeerKAT,m200,c200,r200,d200
1,PSZ2 G352.28-77.66,1.48968,-34.70146,0.115,352.28,5.4,False,True,SPLUS-s27s02,,ABELL 2721,80599,ACT-CL J0005.9-3443,A2721,,,7.78,4.04,1.87,14.48
1,PSZ2 G072.40-78.45,3.43054,-19.48619,0.094,72.4,3.72,False,True,SPLUS-s15s03,,ABELL 0013,,,A13,,MCXC J0013.6-1930,5.36,4.05,1.66,15.35
1,PSZ2 G042.81-82.97,5.17247,-25.71381,0.141,42.81,5.75,False,True,SPLUS-s20s04,,ABELL 0022,76675,ACT-CL J0020.6-2543,,,MCXC J0020.7-2542,8.28,4.05,1.89,12.28
1,PSZ2 G312.63-66.40,6.8029,-50.26857,0.145,312.63,4.78,False,True,SPLUS-s39s04,,ABELL 2777,91211,ACT-CL J0027.3-5014,,,MCXC J0027.3-5015,6.89,4.04,1.78,11.28
1,PSZ2 G065.81-83.77,7.15038,-23.63187,0.112,65.81,3.82,False,True,SPLUS-s19s06,,ABELL 0042,72590,,A42,,,5.5,4.04,1.67,13.19
1,PSZ2 G113.02-64.68,8.63596,-2.13867,0.081,113.02,3.14,False,True,,,,55182,,RXCJ0034.6-0208,,,4.52,4.07,1.58,16.62
1,PSZ2 G358.21-87.49,10.51932,-28.53339,0.108,358.21,4.92,False,True,SPLUS-s22s08,Abell2811,ABELL 2811,76783,ACT-CL J0042.1-2832,A2811,,MCXC J0042.1-2832,7.09,4.03,1.82,14.81
1,PSZ2 G285.52-62.23,26.26237,-53.0405,0.117,285.52,4.9,False,True,SPLUS-s41s13,,ABELL 2941,91401,ACT-CL J0144.9-5301,A2941,,MCXC J0145.0-5300,7.07,4.04,1.81,13.8
1,PSZ2 G219.45-35.90,72.04702,-20.44462,0.072,219.46,3.33,False,True,,,ABELL 0514,73371,,A514,,,4.8,4.06,1.61,18.98
1,PSZ2 G255.64-25.30,94.2368,-47.79069,0.116,255.65,3.89,False,True,,,,88833,,,,MCXC J0616.8-4748,5.6,4.04,1.67,12.81
