zbin,name,ra,dec,z,gal_l,mass,complete,lowmass,S-PLUS,CHANCES,Abell,WINGS,ACT-DR5,PSZ2,LoVoCCS,HIFLUGCS,MeerKAT
1,93203505,-160.16428,-15.58468,0.009,312.76,0.17,False,False,SPLUS-n13s36,,,,,,,,
1,93264006,-28.5219,-50.17595,0.009,345.29,0.22,False,False,SPLUS-s39s44,,ABELL S0989,,,,,,
1,93231006,62.70574,-32.9153,0.003,233.19,0.07,False,False,SPLUS-s26s40,,,,,,,,
2,93163302,-178.98261,3.99877,0.023,274.82,0.71,False,False,SPLUS-n04n23,,ABELL 1463,,,,,,
2,93193503,-166.77876,-10.43772,0.016,303.52,0.46,False,False,SPLUS-n09s32,,,,,,,,
2,93213307,-165.3246,-21.8946,0.024,305.16,0.68,False,False,SPLUS-n17s31,,,,,,,,
2,93203611,-159.37158,-17.16138,0.024,313.47,0.83,False,False,SPLUS-n14s37,,ABELL 1725,,,,,,
2,93254303,-43.9233,-43.4099,0.017,357.64,0.45,False,False,SPLUS-s33s43,,ABELL S0919,,ACT-CL J2103.4-4321,PSZ2 G357.75-41.77,,,
2,93254302,-41.03405,-42.59084,0.016,358.71,0.35,False,False,SPLUS-s33s45,,ABELL 3756,,,,,,
2,90911,-36.49082,-42.66417,0.028,358.34,1.06,False,False,SPLUS-s33s47,,ABELL 3783,,ACT-CL J2134.0-4238,PSZ2 G358.34-47.31,,,
2,93245003,-17.66491,-37.50274,0.028,3.19,0.55,False,False,SPLUS-s29s62,,ABELL S1065,,,,,,
2,93176202,-11.14655,-2.37067,0.024,75.96,0.88,False,False,SPLUS-s03s19,,,,,,,,
2,93176401,-3.10525,-2.31764,0.022,88.58,0.63,False,False,SPLUS-s03s25,,,,ACT-CL J2349.1-0227,,,,
2,93170229,9.67768,0.63147,0.013,116.13,0.13,False,False,STRIPE82_0016,,,,ACT-CL J0038.6+0044,,,,
2,93270218,9.992,-56.1471,0.027,306.22,0.81,False,False,SPLUS-s43s05,,ABELL 2806,,,,,,
2,93260205,14.20661,-52.86947,0.025,301.06,0.53,False,False,SPLUS-s41s07,,,,ACT-CL J0057.3-5223,,,,
2,93170309,16.07449,-0.75861,0.016,130.14,0.28,False,False,STRIPE82_0023,,,,ACT-CL J0103.8-0103,,,,
2,93250303,17.07226,-46.87614,0.022,294.5,0.56,False,False,SPLUS-s36s10,A2877,ABELL 2870,,ACT-CL J0108.5-4659,,,,
2,93230304,18.30241,-31.85599,0.018,259.18,0.67,False,False,SPLUS-s25s12,,ABELL S0141,,,,,,
2,93170432,20.55288,-0.96572,0.026,139.97,0.7,False,False,STRIPE82_0031,,,,ACT-CL J0120.8-0059,,,,
2,93270401,35.42588,-58.56363,0.029,282.59,0.68,False,False,SPLUS-s45s15,,,,ACT-CL J0218.5-5826,,,,
2,93170702,37.97483,1.22547,0.021,167.43,0.56,False,False,STRIPE82_0056,,,,,,,,
2,93250901,67.05966,-47.99597,0.016,254.59,0.27,False,False,SPLUS-s37s35,,,,,,,,
2,93280906,91.27726,-63.4893,0.027,272.87,0.49,False,False,MC0009,,,,,,,,
2,93222510,149.54521,-26.97233,0.01,261.77,0.19,False,False,HYDRA_0030,NGC3078,,,,,,,
2,93202701,150.47119,-19.47187,0.014,256.95,0.38,False,False,SPLUS-n15s01,,ABELL S0623,,,,,,
2,93202718,151.64981,-15.94998,0.017,255.13,0.2,False,False,SPLUS-n13s02,,,,,,,,
2,93192905,161.0612,-8.84413,0.029,257.88,0.49,False,False,SPLUS-n08s08,,,,,,,,
2,93193015,166.44223,-9.9632,0.028,264.7,0.44,False,False,SPLUS-n08s12,,,,,PSZ2 G264.92+44.70,,,
2,93183111,170.69251,-7.72019,0.026,268.13,0.4,False,False,SPLUS-n07s16,,,,,,,,
2,93193215,174.75591,-9.32429,0.021,274.73,0.33,False,False,SPLUS-n08s18,,ABELL 1332,,,,,,
2,93173203,179.49561,-2.26903,0.021,277.17,0.42,False,False,SPLUS-n03s22,,,,,,,,
3,75025,-164.08176,-19.88271,0.042,306.86,1.05,False,False,SPLUS-n16s32,,ABELL S0720,,,,,,
