zbin,name,ra,dec,z,gal_l,mass,complete,lowmass,S-PLUS,CHANCES,Abell,WINGS,ACT-DR5,PSZ2,LoVoCCS,HIFLUGCS,MeerKAT
1,93163401,-169.25033,2.81134,0.004,297.83,0.58,True,False,SPLUS-n03n30,NGC4636,ABELL 1599,,,,,NGC4636,
1,93203508,-161.1574,-16.39033,0.007,311.22,1.28,True,False,SPLUS-n13s35,NGC5044,,,,,,NGC5044,
1,93254501,-27.66222,-47.17533,0.005,349.57,1.65,True,False,SPLUS-s36s49,,,,,,,,
1,93254708,-11.52599,-42.69971,0.004,348.42,0.77,True,False,SPLUS-s33s61,Abell S1101,ABELL S1101,,ACT-CL J2313.9-4243,PSZ2 G348.46-64.83,RXCJ2313.9-4244,S1101,
1,93170802,40.65219,-0.02646,0.003,172.1,0.59,True,False,STRIPE82_0059,,,,ACT-CL J0241.2-0018,,,,
2,93183401,-170.06662,-5.35906,0.01,297.52,1.84,True,False,SPLUS-n05s30,,,,,,,,
2,93242801,-167.77749,-41.31311,0.011,302.42,3.25,True,False,,A3526,Centaurus Cluster,,,PSZ2 G302.41+21.60,,A3526,MCXC J1248.7-4118
2,93223401,-152.72198,-30.32663,0.016,317.44,3.16,True,False,,,ABELL 3574,,,,,,
2,79221,-148.13255,-27.01646,0.022,323.14,7.08,True,False,,A3581,ABELL 3581,,,,,A3581,
2,80518,-3.06306,-28.14,0.029,25.14,8.8,True,False,SPLUS-s22s48,A4038,ABELL 4038,,,PSZ2 G025.13-75.88,A4038,A4038,MCXC J2347.7-2808
2,93222625,159.19658,-27.51791,0.014,269.61,2.52,True,False,HYDRA_0045,Hydra,Hydra Cluster,,,,,A1060,
3,70798,-165.67561,-17.3808,0.046,304.93,8.09,True,False,SPLUS-n14s32,A1644,ABELL 1644,A1644,,PSZ2 G304.91+45.43,A1644,A1644,
3,84070,-0.74826,-34.75619,0.049,356.39,11.0,True,False,SPLUS-s27s01,A4059,ABELL 4059,A4059,ACT-CL J2357.0-3445,PSZ2 G356.25-76.07,A4059,A4059,
3,93191301,68.39858,-13.23595,0.033,209.55,6.66,True,False,A0496_2022B,A0496,ABELL 0496,,,PSZ2 G209.54-36.50,A496,A0496,
3,65085,68.40598,-13.24777,0.034,209.57,18.37,True,False,A0496_2022B,A0496,ABELL 0496,,,PSZ2 G209.54-36.50,A496,A0496,
4,93273325,-56.89264,-56.79502,0.055,340.91,10.32,True,False,,A3667,ABELL 3667,A3667,ACT-CL J2012.4-5649,PSZ2 G340.88-33.36,A3667,A3667,MCXC J2012.5-5649
4,64209,10.45228,-9.31016,0.056,115.21,21.36,True,False,,A0085,ABELL 0085,A0085,ACT-CL J0041.8-0918,PSZ2 G115.25-72.07,A85,A0085,MCXC J0041.8-0918
4,72640,15.67584,-21.87871,0.057,149.55,9.7,True,False,SPLUS-s17s12,A0133,ABELL 0133,A0133,ACT-CL J0102.7-2153,PSZ2 G149.63-84.19,A133,A0133,MCXC J0102.7-2152
4,93192510,137.23423,-9.6581,0.056,239.29,10.68,True,False,,A0754,ABELL 0754,A0754,,PSZ2 G239.29+24.75,A754,A0754,
4,65975,139.52552,-12.09345,0.066,242.93,28.38,True,False,,A0780,ABELL 0780,A0780,,,A780,HYDRA-A,
