zbin,name,ra,dec,z,gal_l,mass,complete,lowmass,S-PLUS,CHANCES,Abell,WINGS,ACT-DR5,PSZ2,LoVoCCS,HIFLUGCS,MeerKAT
1,93183513,-166.47589,-6.71632,0.006,304.12,0.29,False,True,SPLUS-n06s33,,ABELL 1634,,,,,,
1,93213405,-160.26944,-21.42957,0.007,311.42,0.16,False,True,SPLUS-n17s35,NGC5084,ABELL 1709,,,,,,
1,93164021,-137.23812,3.46527,0.006,358.53,0.15,False,True,SPLUS-n04n54,,,,,,,,
1,93174103,-133.44183,1.62645,0.006,0.39,0.39,False,True,,,,,,,,NGC5846,
1,93245005,-13.65753,-39.21537,0.003,357.45,0.1,False,True,SPLUS-s30s63,,ABELL 3968,,,,,,
1,93201001,55.10152,-18.58819,0.005,209.67,0.22,False,True,,NGC1407,,,ACT-CL J0342.2-1830,,,,
1,93250903,60.20809,-46.83985,0.004,253.97,0.11,False,True,SPLUS-s36s32,,ABELL 3204,,,,,,
1,93241214,75.97633,-38.9485,0.003,242.85,0.12,False,True,,A3301,ABELL S0508,,,,,,
1,93162805,153.12185,2.68214,0.006,238.73,0.14,False,True,SPLUS-n03n03,,,,ACT-CL J1012.5+0239,,,,
1,93163105,170.36667,2.84001,0.005,257.52,0.29,False,True,SPLUS-n03n15,,,,,PSZ2 G257.51+57.54,,,
2,93173309,-178.88105,1.90795,0.021,276.91,1.58,False,True,SPLUS-n02n23,MKW4,,,ACT-CL J1205.5+0214,,,MKW4,
2,93193506,-166.96974,-13.44804,0.016,303.19,1.1,False,True,SPLUS-n11s32,,,,,,,,
2,93203406,-166.75489,-15.28876,0.015,303.48,0.54,False,True,SPLUS-n12s31,A1631a,ABELL 1631,A1631a,,PSZ2 G303.56+47.54,,,
2,93193502,-166.7497,-9.17759,0.016,303.58,0.83,False,True,SPLUS-n08s32,,ABELL 1635,,,,,,
2,93223508,-148.09122,-27.0272,0.023,323.18,2.36,False,True,,A3581,ABELL 3581,,,,,A3581,
2,53529,-139.83716,3.47273,0.027,355.49,2.48,False,True,SPLUS-n04n52,MKW8,,,ACT-CL J1440.7+0355,PSZ2 G355.50+54.72,,MKW8,
2,93164001,-139.78973,3.46729,0.028,355.55,1.66,False,True,SPLUS-n04n52,MKW8,,,ACT-CL J1440.7+0355,PSZ2 G355.50+54.72,,MKW8,
2,93213809,-138.09494,-22.17839,0.012,335.45,0.43,False,True,SPLUS-n17s50,,,,,,,,
2,93311301,-79.8438,-77.18339,0.018,317.18,1.31,False,True,,,,,,,,,MCXC J1840.6-7709
2,93175729,-41.44187,2.54641,0.013,53.56,0.8,False,True,,,,IIZW108,ACT-CL J2114.7+0232,PSZ2 G053.55-29.85,,IIZw108,
2,93225827,-3.0819,-28.14218,0.028,25.14,4.06,False,True,SPLUS-s22s48,A4038,ABELL 4038,,,PSZ2 G025.13-75.88,A4038,A4038,MCXC J2347.7-2808
2,94265,10.06388,-56.16244,0.028,306.13,1.41,False,True,SPLUS-s43s05,,ABELL 2806,,,,,,
2,87995,16.93338,-46.90089,0.023,294.78,4.22,False,True,SPLUS-s36s10,,ABELL 2870,,ACT-CL J0108.5-4659,,,,
2,87978,17.46842,-45.90129,0.023,293.11,1.81,False,True,SPLUS-s35s10,A2877,ABELL 2877,,,PSZ2 G293.12-70.85,,A2877,
2,93250301,17.4704,-45.8958,0.023,293.1,1.45,False,True,SPLUS-s35s10,A2877,ABELL 2877,,,PSZ2 G293.12-70.85,,A2877,
2,87980,17.71872,-46.0029,0.024,292.66,4.19,False,True,SPLUS-s36s10,A2877,ABELL 2877,,ACT-CL J0112.3-4617,PSZ2 G293.12-70.85,,A2877,
2,93170401,21.4606,-1.40234,0.017,142.15,0.73,False,True,STRIPE82_0031,,ABELL 0194,,ACT-CL J0125.6-0143,,,,MCXC J0125.6-0124
2,81011,42.39088,-31.19179,0.023,229.01,1.93,False,True,SPLUS-s24s28,,IC 1860 GROUP,,ACT-CL J0250.0-3103,,,,
2,93220701,42.39926,-31.07239,0.022,228.74,0.95,False,True,SPLUS-s24s28,,IC 1860 GROUP,,ACT-CL J0250.0-3103,,,,
2,93170801,43.2359,-1.27971,0.022,176.48,1.04,False,True,STRIPE82_0063,,,,,,,,
2,93171208,64.90373,2.40608,0.012,190.98,1.63,False,True,,NGC1550,,,,,,NGC1550,
2,93300501,74.48485,-75.44926,0.019,287.61,1.41,False,True,MC0146,,,,,PSZ2 G287.96-32.99,,,
2,93270904,79.05867,-54.43156,0.014,262.15,0.45,False,True,,,ABELL S0520,,ACT-CL J0516.6-5430,PSZ2 G262.27-35.38,,,MCXC J0516.6-5430
2,93290701,84.9265,-68.2759,0.022,278.49,1.26,False,True,MC0041,,,,,,,,
2,100115,95.45526,-64.98077,0.027,274.72,1.98,False,True,MC0020,,ABELL 3389,,,,,,
2,93280903,95.56809,-64.67731,0.028,274.38,1.48,False,True,MC0020,,ABELL S0585,,,,,,
3,57738,-168.69604,1.81996,0.048,299.3,1.62,False,True,SPLUS-n02n31,,,,,,,,
3,70768,-167.35058,-14.43882,0.043,302.63,1.63,False,True,SPLUS-n12s31,,,,,,,,
