zbin,name,Cluster Name,ra,dec,z,gal_l,mass,complete,lowmass,CHANCES,Abell,CODEX,ACT-DR5,PSZ2,LoVoCCS,HIFLUGCS,MeerKAT,m200,c200,r200,d200
1,PSZ2 G335.58-46.44,ABELL 3822,328.52843,-57.86301,0.076,335.58,5.65,True,False,,ABELL 3822,96682,ACT-CL J2154.0-5751,PSZ2 G335.58-46.44,A3822,A3822,,8.15,4.03,1.92,21.51
1,PSZ2 G306.77+58.61,Abell1651,194.86732,-4.20094,0.084,306.78,6.84,True,False,Abell1651,ABELL 1651,62335,ACT-CL J1259.3-0410,PSZ2 G306.77+58.61,A1651,A1651,,9.86,4.05,2.04,20.76
1,PSZ2 G306.66+61.06,Abell1650,194.6654,-1.74965,0.084,306.67,6.0,True,False,Abell1650,ABELL 1650,57829,ACT-CL J1258.7-0145,PSZ2 G306.66+61.06,A1650,A1650,,8.64,4.04,1.96,19.87
1,PSZ2 G046.47-49.44,Abell2420,332.56931,-12.17772,0.085,46.47,5.92,True,False,Abell2420,ABELL 2420,68066,ACT-CL J2210.3-1209,PSZ2 G046.47-49.44,A2420,,,8.53,4.04,1.95,19.76
1,PSZ2 G018.73+23.56,PSZ2 G018.73+23.56,255.57754,-1.02403,0.089,18.73,5.35,True,False,,,,,PSZ2 G018.73+23.56,,,,7.72,4.03,1.88,18.24
1,PSZ2 G006.68-35.55,ABELL 3695,308.70593,-35.82508,0.089,6.69,5.62,True,False,,ABELL 3695,,,PSZ2 G006.68-35.55,A3695,A3695,,8.1,4.03,1.91,18.45
1,PSZ2 G321.98-47.96,ABELL 3921,342.45636,-64.41519,0.094,321.98,5.43,True,False,,ABELL 3921,99375,,PSZ2 G321.98-47.96,A3921,A3921,,7.82,4.03,1.89,17.41
1,PSZ2 G033.46-48.43,ABELL 2384,328.08144,-19.61292,0.094,33.46,5.5,True,False,,ABELL 2384,72087,,PSZ2 G033.46-48.43,A2384,,,7.92,4.04,1.89,17.44
1,PSZ2 G336.60-55.43,Abell3911,341.57173,-52.72214,0.097,336.6,5.77,True,False,Abell3911,ABELL 3911,,,PSZ2 G336.60-55.43,A3911,,,8.32,4.04,1.92,17.35
1,PSZ2 G332.23-46.37,Abell3827,330.46907,-59.93991,0.098,332.24,7.78,True,False,Abell3827,ABELL 3827,,ACT-CL J2201.8-5956,PSZ2 G332.23-46.37,A3827,A3827,,11.22,4.08,2.12,18.9
