zbin,name,Cluster Name,ra,dec,z,gal_l,mass,complete,lowmass,CHANCES,Abell,CODEX,ACT-DR5,PSZ2,LoVoCCS,HIFLUGCS,MeerKAT,m200,c200,r200,d200
1,PSZ2 G255.32-56.27,ABELL 3104,48.61404,-45.43075,0.072,255.33,2.35,False,True,,ABELL 3104,,ACT-CL J0314.4-4524,PSZ2 G255.32-56.27,,,,3.37,4.14,1.44,16.91
1,PSZ2 G219.45-35.90,ABELL 0514,72.04702,-20.44462,0.072,219.46,3.33,False,True,,ABELL 0514,73371,,PSZ2 G219.45-35.90,A514,,,4.8,4.06,1.61,18.98
1,PSZ2 G319.41-27.54,ABELL S0810,288.30356,-75.36198,0.073,319.42,3.03,False,True,,ABELL S0810,,,PSZ2 G319.41-27.54,,,,4.37,4.08,1.56,18.25
1,PSZ2 G331.96-45.74,ABELL 3825,329.55246,-60.41267,0.075,331.97,2.81,False,True,,ABELL 3825,99242,,PSZ2 G331.96-45.74,A3825,,,4.04,4.09,1.52,17.24
1,PSZ2 G252.99-56.09,ABELL 3112,49.45073,-44.26502,0.075,253.0,3.95,False,True,,ABELL 3112,,ACT-CL J0317.9-4420,PSZ2 G252.99-56.09,,,,5.69,4.04,1.71,19.27
1,PSZ2 G245.70-33.75,ABELL 3336,80.38411,-40.83413,0.076,245.7,2.62,False,True,,ABELL 3336,85026,,PSZ2 G245.70-33.75,,,,3.76,4.11,1.49,16.71
1,PSZ2 G336.95-45.75,ABELL 3806,326.62806,-57.27727,0.076,336.96,3.34,False,True,,ABELL 3806,,,PSZ2 G336.95-45.75,,,,4.81,4.06,1.61,18.04
1,PSZ2 G331.12+62.31,ABELL 1773,205.55023,2.25632,0.076,331.13,3.31,False,True,,ABELL 1773,57908,,PSZ2 G331.12+62.31,,,,4.77,4.06,1.61,17.89
1,PSZ2 G081.31-68.56,ABELL 2670,358.56911,-10.44525,0.076,81.31,3.73,False,True,,ABELL 2670,68307,,PSZ2 G081.31-68.56,A2670,,,5.37,4.05,1.67,18.6
1,PSZ2 G254.96+55.88,ABELL 1205,168.21725,2.48375,0.078,254.96,3.13,False,True,,ABELL 1205,57368,ACT-CL J1112.8+0229,PSZ2 G254.96+55.88,A1205,,,4.51,4.07,1.58,17.24
1,PSZ2 G279.51-44.85,ABELL S0362,53.24723,-64.23133,0.079,279.52,2.29,False,True,,ABELL S0362,97185,,PSZ2 G279.51-44.85,,,,3.29,4.14,1.42,15.41
1,PSZ2 G084.81-62.18,64081,356.06568,-4.38991,0.079,84.81,4.2,False,True,,,64081,ACT-CL J2344.3-0422,PSZ2 G084.81-62.18,RXCJ2344.2-0422,RXJ2344,,6.06,4.04,1.74,18.88
