zbin,name,ra,dec,z,gal_l,mass,complete,lowmass,r200,d200,N_SPLUS,f_SPLUS,S-PLUS,CHANCES,Abell,WINGS,ACT-DR5,PSZ2,LoVoCCS,HIFLUGCS,MeerKAT
1,93203505,-160.16428,-15.58468,0.009,312.76,0.17,False,False,0.54,45.48,26,14.4,SPLUS-n13s36,,,,,,,,
1,93264006,-28.5219,-50.17595,0.009,345.29,0.22,False,False,0.59,51.14,34,14.9,SPLUS-s39s44,,ABELL S0989,,,,,,
1,93231006,62.70574,-32.9153,0.003,233.19,0.07,False,False,0.41,95.63,79,9.9,SPLUS-s26s40,,,,,,,,
2,93163302,-178.98261,3.99877,0.023,274.82,0.71,False,False,0.87,30.63,11,13.4,SPLUS-n04n23,,ABELL 1463,,,,,,
2,93242707,-173.52197,-38.33039,0.012,297.44,0.32,False,False,0.67,42.27,0,0.0,,,,,,,,,
2,93193503,-166.77876,-10.43772,0.016,303.52,0.46,False,False,0.75,37.56,17,13.8,SPLUS-n09s32,,,,,,,,
2,93213307,-165.3246,-21.8946,0.024,305.16,0.68,False,False,0.85,28.19,9,13.0,SPLUS-n17s31,,,,,,,,
2,93203611,-159.37158,-17.16138,0.024,313.47,0.83,False,False,0.91,30.65,12,14.6,SPLUS-n14s37,,ABELL 1725,,,,,,
2,93223516,-145.31825,-27.52124,0.023,325.67,0.88,False,False,0.93,31.8,2,2.3,,,ABELL S0761,,,,,,
2,93224801,-67.89451,-29.48041,0.024,9.4,0.81,False,False,0.91,30.26,0,0.0,,,,,,,,,
2,93224901,-62.03921,-30.84475,0.019,9.79,0.64,False,False,0.84,34.3,0,0.0,,,,,,,,,
2,93244409,-59.77626,-38.61588,0.02,1.87,0.49,False,False,0.77,31.22,0,0.0,,,ABELL 3656,,,,,,
2,93301905,-55.1334,-70.75129,0.013,324.23,0.26,False,False,0.62,37.13,0,0.0,,,,,,,,,
2,93215311,-49.75798,-20.64988,0.027,24.88,0.75,False,False,0.88,26.18,0,0.0,,,ABELL S0891,,,,,,
2,93195703,-44.55424,-13.26614,0.029,35.36,0.92,False,False,0.95,26.65,0,0.0,,,,,,,,,
