zbin,name,Cluster Name,ra,dec,z,gal_l,mass,complete,lowmass,r200,d200,N_SPLUS,f_SPLUS,S-PLUS,CHANCES,WINGS,Abell,PSZ2,LoVoCCS,HIFLUGCS,MeerKAT
1,93241214,A3301,75.97633,-38.9485,0.003,242.85,0.12,False,True,0.48,128.04,91,0.25,A3301_main,A3301,,ABELL S0508,,,,
1,93245005,ABELL 3968,-13.65753,-39.21537,0.003,357.45,0.1,False,True,0.45,114.21,161,0.57,SPLUS-s30s63,,,ABELL 3968,,,,
1,93250903,ABELL 3204,60.20809,-46.83985,0.004,253.97,0.11,False,True,0.47,103.84,135,0.57,SPLUS-s36s32,,,ABELL 3204,,,,
1,93190502,93190502,28.21165,-13.79735,0.004,173.06,0.17,False,True,0.54,94.22,26,0.13,SPLUS-s13s21,,,,,,,
1,93163105,PSZ2 G257.51+57.54,170.36667,2.84001,0.005,257.52,0.29,False,True,0.65,93.82,81,0.42,SPLUS-n03n15,,,,PSZ2 G257.51+57.54,,,
1,93211010,93211010,55.04912,-22.24961,0.005,215.17,0.13,False,True,0.49,73.57,0,0.0,,,,,,,,
1,93201001,NGC1407,55.10152,-18.58819,0.005,209.67,0.22,False,True,0.59,83.62,0,0.0,,NGC1407,,,,,,
1,93190519,93190519,27.47053,-10.0864,0.005,164.65,0.14,False,True,0.51,81.73,4,0.03,SPLUS-s13s21,,,,,,,
1,93211016,ABELL 3168,56.8207,-21.82076,0.005,215.25,0.2,False,True,0.57,85.96,0,0.0,,,,ABELL 3168,PSZ2 G215.19-49.65,,,
1,93162805,93162805,153.12185,2.68214,0.006,238.73,0.14,False,True,0.5,70.25,41,0.38,SPLUS-n03n03,,,,,,,
1,93164021,93164021,-137.23812,3.46527,0.006,358.53,0.15,False,True,0.52,69.17,32,0.31,SPLUS-n04n54,,,,,,,
1,93174103,NGC5846,-133.44183,1.62645,0.006,0.39,0.39,False,True,0.71,91.34,29,0.16,SPLUS-n02n55,,,,,,NGC5846,
