|                name |        ra |       dec |     z |  mass |        S-PLUS |                    CHANCES |       Abell |               PSZ2 |
| ACT-CL J0003.2-0605 |   0.80253 |  -6.08939 | 0.233 |  9.09 |               |                            |  ABELL 2697 | PSZ2 G092.16-66.01 |
| ACT-CL J0014.3-3022 |   3.58394 | -30.37242 | 0.308 | 13.08 |  SPLUS-s24s03 |                  Abell2744 |  ABELL 2744 | PSZ2 G008.94-81.22 |
| ACT-CL J0019.6+0336 |   4.91052 |   3.60856 | 0.266 | 10.19 |               |                            |             | PSZ2 G107.66-58.32 |
| ACT-CL J0020.6-2543 |   5.17490 | -25.71730 | 0.141 |  8.26 |  SPLUS-s20s04 |                            |  ABELL 0022 | PSZ2 G042.81-82.97 |
| ACT-CL J0035.4-2015 |   8.86008 | -20.26255 | 0.352 |  9.98 |  SPLUS-s16s07 |                            |             | PSZ2 G093.93-82.22 |
| ACT-CL J0040.8-4407 |  10.20687 | -44.13245 | 0.350 | 10.29 |  SPLUS-s34s06 |                            |             | PSZ2 G309.43-72.86 |
| ACT-CL J0043.3-2037 |  10.84800 | -20.62094 | 0.292 | 10.20 |  SPLUS-s16s09 |                            |  ABELL 2813 | PSZ2 G106.87-83.23 |
| ACT-CL J0105.5-2438 |  16.39281 | -24.64324 | 0.230 |  8.17 |  SPLUS-s19s12 |                            |  ABELL 0141 | PSZ2 G175.69-85.98 |
| ACT-CL J0152.6+0100 |  28.16984 |   1.00186 | 0.229 |  8.28 | STRIPE82_0042 |                            |  ABELL 0267 | PSZ2 G153.00-58.26 |
| ACT-CL J0159.8-0849 |  29.95932 |  -8.83065 | 0.405 |  9.41 |               |                            |             | PSZ2 G167.66-65.59 |
| ACT-CL J0232.2-4421 |  38.06971 | -44.35128 | 0.284 | 12.30 |  SPLUS-s34s21 |         PSZ2 G259.98-63.43 |             | PSZ2 G259.98-63.43 |
| ACT-CL J0237.4-2630 |  39.36562 | -26.50899 | 0.224 |  7.77 |               |                            |  ABELL 0368 |                    |
| ACT-CL J0239.8-0134 |  39.97138 |  -1.57902 | 0.375 |  9.24 | STRIPE82_0057 |                  Abell0370 |  ABELL 0370 | PSZ2 G172.98-53.55 |
| ACT-CL J0245.5-5302 |  41.37533 | -53.03585 | 0.298 | 10.65 |  SPLUS-s41s20 |         PSZ2 G271.53-56.57 | ABELL S0295 | PSZ2 G271.53-56.57 |
| ACT-CL J0248.2-0216 |  42.05680 |  -2.26836 | 0.238 |  9.85 |               |                            |  ABELL 0384 | PSZ2 G176.25-52.57 |
