|                name |        ra |       dec |    z |  mass |        S-PLUS |                    CHANCES |       Abell |
| ACT-CL J0003.2-0605 |   0.80253 |  -6.08939 | 0.23 |  9.09 |            NO |                            |  ABELL 2697 |
| ACT-CL J0014.3-3022 |   3.58394 | -30.37242 | 0.31 | 13.08 |  SPLUS-s24s03 |                  Abell2744 |  ABELL 2744 |
| ACT-CL J0019.6+0336 |   4.91052 |   3.60856 | 0.27 | 10.19 |            NO |                            |             |
| ACT-CL J0020.6-2543 |   5.17490 | -25.71730 | 0.14 |  8.26 |  SPLUS-s20s04 |                            |  ABELL 0022 |
| ACT-CL J0035.4-2015 |   8.86008 | -20.26255 | 0.35 |  9.98 |  SPLUS-s16s07 |                            |             |
| ACT-CL J0040.8-4407 |  10.20687 | -44.13245 | 0.35 | 10.29 |  SPLUS-s34s06 |                            |             |
| ACT-CL J0043.3-2037 |  10.84800 | -20.62094 | 0.29 | 10.20 |  SPLUS-s16s09 |                            |  ABELL 2813 |
| ACT-CL J0105.5-2438 |  16.39281 | -24.64324 | 0.23 |  8.17 |  SPLUS-s19s12 |                            |  ABELL 0141 |
| ACT-CL J0152.6+0100 |  28.16984 |   1.00186 | 0.23 |  8.28 | STRIPE82_0042 |                            |  ABELL 0267 |
| ACT-CL J0159.0-3413 |  29.75408 | -34.22240 | 0.41 |  9.06 |  SPLUS-s27s19 |         PSZ2 G243.15-73.84 |             |
| ACT-CL J0159.8-0849 |  29.95932 |  -8.83065 | 0.41 |  9.41 |            NO |                            |             |
| ACT-CL J0232.2-4421 |  38.06971 | -44.35128 | 0.28 | 12.30 |  SPLUS-s34s21 |         PSZ2 G259.98-63.43 |             |
| ACT-CL J0237.4-2630 |  39.36562 | -26.50899 | 0.22 |  7.77 |            NO |                            |  ABELL 0368 |
| ACT-CL J0239.8-0134 |  39.97138 |  -1.57902 | 0.38 |  9.24 | STRIPE82_0057 |                  Abell0370 |  ABELL 0370 |
| ACT-CL J0245.5-5302 |  41.37533 | -53.03585 | 0.30 | 10.65 |  SPLUS-s41s20 |         PSZ2 G271.53-56.57 | ABELL S0295 |
| ACT-CL J0248.2-0216 |  42.05680 |  -2.26836 | 0.24 |  9.85 |            NO |                            |  ABELL 0384 |
| ACT-CL J0307.0-2840 |  46.75820 | -28.66700 | 0.25 |  8.60 |            NO |         PSZ2 G223.93-60.10 |  ABELL 3088 |
| ACT-CL J0358.9-2955 |  59.72565 | -29.93064 | 0.43 | 10.98 |  SPLUS-s24s39 |                            |  ABELL 3192 |
