|                name |        ra |       dec |    z |  mass |                    CHANCES |        S-PLUS |
| ACT-CL J0003.2-0605 |   0.80253 |  -6.08939 | 0.23 |  9.09 |                            |            NO |
| ACT-CL J0011.7-1523 |   2.93254 | -15.38592 | 0.38 |  8.47 |                            |  SPLUS-s13s03 |
| ACT-CL J0014.3-3022 |   3.58394 | -30.37242 | 0.31 | 13.08 |                  Abell2744 |  SPLUS-s24s03 |
| ACT-CL J0019.6+0336 |   4.91052 |   3.60856 | 0.27 | 10.19 |                            |            NO |
| ACT-CL J0020.6-2543 |   5.17490 | -25.71730 | 0.14 |  8.26 |                            |  SPLUS-s20s04 |
| ACT-CL J0032.2+1808 |   8.05054 |  18.13612 | 0.37 |  9.91 |                            |            NO |
| ACT-CL J0034.5+0225 |   8.62505 |   2.42285 | 0.39 |  8.12 |                            |            NO |
| ACT-CL J0035.4-2015 |   8.86008 | -20.26255 | 0.35 |  9.98 |                            |  SPLUS-s16s07 |
| ACT-CL J0037.1+0909 |   9.27674 |   9.15936 | 0.25 |  8.12 |                            |            NO |
| ACT-CL J0040.8-4407 |  10.20687 | -44.13245 | 0.35 | 10.29 |                            |  SPLUS-s34s06 |
| ACT-CL J0043.3-2037 |  10.84800 | -20.62094 | 0.29 | 10.20 |                            |  SPLUS-s16s09 |
| ACT-CL J0105.5-2438 |  16.39281 | -24.64324 | 0.23 |  8.17 |                            |  SPLUS-s19s12 |
| ACT-CL J0118.2-2658 |  19.55271 | -26.97537 | 0.23 |  7.49 |                            |  SPLUS-s21s14 |
| ACT-CL J0131.8-1336 |  22.97494 | -13.61586 | 0.21 |  7.62 |                 Abell 0209 |            NO |
| ACT-CL J0152.5-2853 |  28.14147 | -28.88793 | 0.41 |  7.74 |                            |  SPLUS-s23s19 |
| ACT-CL J0152.6+0100 |  28.16984 |   1.00186 | 0.23 |  8.28 |                            | STRIPE82_0042 |
| ACT-CL J0154.4-0321 |  28.61828 |  -3.35947 | 0.44 |  7.24 |                            |            NO |
