|                name |               Cluster Name |        ra |       dec |     z |  gal_l |  mass | complete | lowmass |                    CHANCES |                   Abell | CODEX |             ACT-DR5 |               PSZ2 |         LoVoCCS | HIFLUGCS |           MeerKAT |  m200 | c200 | r200 |  d200 |
| ACT-CL J0314.4-4524 |                 ABELL 3104 |  48.60288 | -45.41662 | 0.072 | 255.31 |  2.78 |    False |    True |                            |              ABELL 3104 |       | ACT-CL J0314.4-4524 | PSZ2 G255.32-56.27 |                 |          |                   |  4.00 | 4.10 | 1.52 | 17.80 |
| ACT-CL J2154.0-5751 |                 ABELL 3822 | 328.52389 | -57.86038 | 0.076 | 335.59 |  3.69 |     True |   False |                            |              ABELL 3822 | 96682 | ACT-CL J2154.0-5751 | PSZ2 G335.58-46.44 |           A3822 |    A3822 |                   |  5.32 | 4.05 | 1.67 | 18.68 |
| ACT-CL J2344.3-0422 |                      64081 | 356.07797 |  -4.37711 | 0.079 |  84.85 |  3.25 |    False |    True |                            |                         | 64081 | ACT-CL J2344.3-0422 | PSZ2 G084.81-62.18 | RXCJ2344.2-0422 |  RXJ2344 |                   |  4.68 | 4.07 | 1.60 | 17.32 |
| ACT-CL J2145.9-1006 |                 ABELL 2377 | 326.47921 | -10.10422 | 0.081 |  45.09 |  4.25 |     True |   False |                            |              ABELL 2377 | 67918 | ACT-CL J2145.9-1006 | PSZ2 G045.10-43.18 |           A2377 |          |                   |  6.12 | 4.04 | 1.75 | 18.47 |
| ACT-CL J0328.4-1147 |        ACT-CL J0328.4-1147 |  52.10559 | -11.78888 | 0.082 | 198.11 |  3.62 |    False |    True |                            |                         |       | ACT-CL J0328.4-1147 |                    |                 |          |                   |  5.21 | 4.05 | 1.65 | 17.23 |
| ACT-CL J0821.8+0111 |                 ABELL 0653 | 125.47208 |   1.19087 | 0.082 | 222.57 |  3.15 |    False |    True |                            |              ABELL 0653 | 56837 | ACT-CL J0821.8+0111 | PSZ2 G222.52+20.58 |                 |          |                   |  4.54 | 4.07 | 1.58 | 16.45 |
| ACT-CL J1259.3-0410 |                  Abell1651 | 194.84924 |  -4.18244 | 0.084 | 306.75 |  6.38 |     True |   False |                  Abell1651 |              ABELL 1651 | 62335 | ACT-CL J1259.3-0410 | PSZ2 G306.77+58.61 |           A1651 |    A1651 |                   |  9.20 | 4.04 | 2.00 | 20.40 |
| ACT-CL J1302.8-0230 |                 ABELL 1663 | 195.71809 |  -2.50975 | 0.084 | 308.69 |  2.53 |    False |    True |                            |              ABELL 1663 | 57834 | ACT-CL J1302.8-0230 | PSZ2 G308.64+60.26 |                 |          |                   |  3.63 | 4.11 | 1.46 | 14.91 |
| ACT-CL J1258.7-0145 |                  Abell1650 | 194.67517 |  -1.76538 | 0.085 | 306.68 |  8.05 |     True |   False |                  Abell1650 |              ABELL 1650 | 57829 | ACT-CL J1258.7-0145 | PSZ2 G306.66+61.06 |           A1650 |    A1650 |                   | 11.60 | 4.07 | 2.16 | 21.92 |
| ACT-CL J2210.3-1209 |                  Abell2420 | 332.58636 | -12.16386 | 0.085 |  46.51 |  6.09 |     True |   False |                  Abell2420 |              ABELL 2420 | 68066 | ACT-CL J2210.3-1209 | PSZ2 G046.47-49.44 |           A2420 |          |                   |  8.78 | 4.04 | 1.97 | 19.95 |
| ACT-CL J0328.6-5541 |                 ABELL 3126 |  52.17045 | -55.69047 | 0.086 | 269.27 |  4.89 |     True |   False |                            |              ABELL 3126 |       | ACT-CL J0328.6-5541 | PSZ2 G269.31-49.87 |                 |          |                   |  7.05 | 4.03 | 1.83 | 18.35 |
| ACT-CL J1521.1+0213 |        ACT-CL J1521.1+0213 | 230.27989 |   2.21844 | 0.088 |   4.60 |  3.20 |    False |    True |                            |                         |       | ACT-CL J1521.1+0213 |                    |                 |          |                   |  4.61 | 4.07 | 1.58 | 15.52 |
| ACT-CL J2218.6-0345 |                      63806 | 334.67120 |  -3.75911 | 0.090 |  58.81 |  4.79 |     True |   False |                            |                         | 63806 | ACT-CL J2218.6-0345 |                    | RXCJ2218.2-0350 |          |                   |  6.91 | 4.03 | 1.81 | 17.39 |
| ACT-CL J0026.9-4845 |        ACT-CL J0026.9-4845 |   6.73077 | -48.75136 | 0.090 | 313.70 |  2.67 |    False |    True |                            |                         |       | ACT-CL J0026.9-4845 |                    |                 |          |                   |  3.83 | 4.10 | 1.49 | 14.27 |
| ACT-CL J2034.3-3428 |                 ABELL 3693 | 308.59169 | -34.48331 | 0.091 |   8.29 |  4.07 |     True |   False |                            |              ABELL 3693 |       | ACT-CL J2034.3-3428 |                    |                 |          |                   |  5.86 | 4.04 | 1.71 | 16.30 |
| ACT-CL J0538.2-2038 |                 ABELL 3358 |  84.55929 | -20.63491 | 0.091 | 224.36 |  3.02 |    False |    True |                            |              ABELL 3358 | 73591 | ACT-CL J0538.2-2038 | PSZ2 G224.38-24.95 |                 |          |                   |  4.35 | 4.08 | 1.55 | 14.68 |
| ACT-CL J0003.8+0203 |                 ABELL 2700 |   0.95418 |   2.06261 | 0.092 |  99.60 |  2.74 |    False |    True |                            |              ABELL 2700 | 55038 | ACT-CL J0003.8+0203 | PSZ2 G099.57-58.64 |                 |          |                   |  3.93 | 4.09 | 1.50 | 14.07 |
| ACT-CL J2331.2-3630 |                 ABELL 4010 | 352.80835 | -36.50633 | 0.096 | 359.04 |  2.48 |    False |    True |                            |              ABELL 4010 |       | ACT-CL J2331.2-3630 | PSZ2 G358.94-70.57 |           A4010 |          |                   |  3.56 | 4.11 | 1.45 | 13.20 |
| ACT-CL J2201.8-5956 |                  Abell3827 | 330.46822 | -59.94872 | 0.097 | 332.23 |  8.67 |     True |   False |                  Abell3827 |              ABELL 3827 |       | ACT-CL J2201.8-5956 | PSZ2 G332.23-46.37 |           A3827 |    A3827 |                   | 12.47 | 4.10 | 2.20 | 19.73 |
