|   name |               Cluster Name |         ra |       dec |     z |  gal_l |   mass | complete | lowmass |                    CHANCES |                   Abell |  CODEX |             ACT-DR5 |               PSZ2 |         LoVoCCS | HIFLUGCS |           MeerKAT |
|  70714 |                 ABELL 1535 | -173.64633 | -15.64316 | 0.070 | 293.77 |  45.59 |    False |    True |                            |              ABELL 1535 |  70714 |                     |                    |                 |          |                   |
|  88401 |                ABELL S0393 |   57.11984 | -45.54442 | 0.070 | 252.68 |  20.90 |    False |   False |                            |             ABELL S0393 |  88401 |                     |                    |                 |          |                   |
|  51238 |                      51238 |   45.70720 |   3.89820 | 0.070 | 173.65 | 186.01 |     True |   False |                            |                         |  51238 |                     |                    |                 |          |                   |
|  73074 |                 ABELL 0419 |   47.07305 | -23.66743 | 0.070 | 214.26 |  27.66 |    False |   False |                            |              ABELL 0419 |  73074 |                     |                    |                 |          |                   |
|  95123 |                ABELL S0587 |   95.89482 | -57.01900 | 0.071 | 265.91 |  33.63 |    False |   False |                            |             ABELL S0587 |  95123 |                     |                    |                 |          |                   |
|  72090 |                      72090 |  -29.29165 | -14.44049 | 0.071 |  42.15 |  20.31 |    False |   False |                            |                         |  72090 |                     |                    |                 |          |                   |
|  66933 |                 ABELL 1897 | -144.80292 |  -8.79966 | 0.072 | 337.12 |  20.49 |    False |   False |                            |              ABELL 1897 |  66933 |                     |                    |                 |          |                   |
|  66473 |                 ABELL 1317 |  173.84288 | -13.50650 | 0.073 | 276.13 |  48.15 |    False |    True |                            |              ABELL 1317 |  66473 |                     |                    |                 |          |                   |
|  82687 |                 ABELL 3524 | -169.87928 | -34.21263 | 0.073 | 300.35 |  21.96 |    False |   False |                            |              ABELL 3524 |  82687 |                     |                    |                 |          |                   |
|  96986 |                      96986 |   11.89188 | -63.35833 | 0.073 | 303.67 |  25.83 |    False |   False |                            |                         |  96986 |                     |                    |                 |          |                   |
|  52666 |                 ABELL 1024 |  157.09390 |   3.77718 | 0.073 | 240.97 |  29.83 |    False |   False |                            |              ABELL 1024 |  52666 |                     |                    |                 |          |                   |
|  67959 |                      67959 |  -31.48762 |  -8.64212 | 0.074 |  48.20 |  29.57 |    False |   False |                            |                         |  67959 |                     |                    |                 |          |                   |
|  82562 |                ABELL S0680 |  178.22447 | -31.52453 | 0.074 | 288.57 |  25.08 |    False |   False |                            |             ABELL S0680 |  82562 |                     |                    |                 |          |                   |
|  57487 |                 ABELL 1238 |  170.72283 |   1.10626 | 0.074 | 260.01 |  39.09 |    False |    True |                            |              ABELL 1238 |  57487 |                     |                    |                 |          |                   |
|  66694 |                      66694 | -172.48151 | -13.38708 | 0.074 | 294.97 |  20.90 |    False |   False |                            |                         |  66694 |                     |                    |                 |          |                   |
|  67970 |                 ABELL 2410 |  -29.46746 |  -9.84231 | 0.075 |  48.11 |  50.10 |    False |    True |                            |              ABELL 2410 |  67970 |                     | PSZ2 G048.08-46.63 |                 |          |                   |
|  92193 |                 ABELL 3397 |   97.44254 | -52.23941 | 0.075 | 260.94 |  35.58 |    False |   False |                            |              ABELL 3397 |  92193 |                     |                    |                 |          |                   |
|  57368 |                 ABELL 1205 |  168.33926 |   2.52943 | 0.075 | 255.07 |  49.84 |    False |    True |                            |              ABELL 1205 |  57368 | ACT-CL J1112.8+0229 | PSZ2 G254.96+55.88 |           A1205 |          |                   |
|  68293 |                      68293 |   -1.21270 |  -9.40656 | 0.075 |  83.42 |  21.62 |    False |   False |                            |                         |  68293 |                     |                    |                 |          |                   |
|  93933 |                 ABELL 3771 |  -37.54017 | -50.78658 | 0.076 | 346.85 |  24.96 |    False |   False |                            |              ABELL 3771 |  93933 |                     | PSZ2 G346.86-45.38 |                 |          |                   |
|  93940 |                 ABELL 3796 |  -35.11906 | -51.22853 | 0.076 | 345.71 |  25.31 |    False |   False |                            |              ABELL 3796 |  93940 |                     |                    |                 |          |                   |
|  68307 |                 ABELL 2670 |   -1.44386 | -10.41340 | 0.076 |  81.33 |  37.76 |    False |    True |                            |              ABELL 2670 |  68307 |                     | PSZ2 G081.31-68.56 |           A2670 |          |                   |
|  68306 |                      68306 |   -1.62591 | -10.30316 | 0.076 |  81.13 |  31.34 |    False |   False |                            |                         |  68306 |                     |                    |                 |          |                   |
|  68309 |                      68309 |   -1.29098 | -10.33990 | 0.077 |  81.78 |  23.62 |    False |   False |                            |                         |  68309 |                     |                    |           A2670 |          |                   |
|  78719 |                      78719 |  162.53154 | -26.12237 | 0.077 | 271.62 |  24.66 |    False |   False |                            |                         |  78719 |                     |                    |                 |          |                   |
|  96590 |                 ABELL 3785 |  -36.46780 | -53.63760 | 0.077 | 342.69 |  35.94 |    False |   False |                            |              ABELL 3785 |  96590 |                     |                    |                 |          |                   |
|  90622 |                 ABELL 3638 |  -68.63366 | -42.95657 | 0.077 | 355.35 |  27.20 |    False |   False |                            |              ABELL 3638 |  90622 |                     |                    |                 |          |                   |
|  53063 |                      53063 | -175.57803 |   3.66097 | 0.077 | 282.51 |  60.98 |    False |    True |                            |                         |  53063 |                     |                    | RXCJ1217.6+0339 | ZwCl1215 |                   |
|  80950 |                      80950 |   37.34717 | -33.53183 | 0.078 | 235.80 |  24.03 |    False |   False |                            |                         |  80950 |                     | PSZ2 G235.74-67.98 |                 |          |                   |
|  57908 |                 ABELL 1773 | -154.46382 |   2.22521 | 0.078 | 331.07 |  24.52 |    False |   False |                            |              ABELL 1773 |  57908 |                     | PSZ2 G331.12+62.31 |                 |          |                   |
|  80937 |                 ABELL 3027 |   37.70193 | -33.06889 | 0.078 | 234.46 |  33.11 |    False |   False |                            |              ABELL 3027 |  80937 | ACT-CL J0231.1-3259 |                    |                 |          |                   |
|  61643 |                 ABELL 0841 |  144.63927 |  -4.32994 | 0.078 | 239.39 |  21.50 |    False |   False |                            |              ABELL 0841 |  61643 |                     |                    |                 |          |                   |
|  80938 |                      80938 |   37.48655 | -33.16756 | 0.079 | 234.79 |  34.79 |    False |   False |                            |                         |  80938 |                     |                    |                 |          |                   |
|  96724 |                      96724 |  -23.88350 | -55.25345 | 0.079 | 336.03 |  39.56 |    False |    True |                            |                         |  96724 |                     | PSZ2 G336.01-51.27 |                 |          |                   |
|  55400 |                 ABELL 0208 |   22.91688 |   0.56137 | 0.079 | 143.82 |  21.70 |    False |   False |                            |              ABELL 0208 |  55400 |                     |                    |                 |          |                   |
|  85026 |                 ABELL 3336 |   80.37977 | -40.81670 | 0.079 | 245.68 |  24.72 |    False |   False |                            |              ABELL 3336 |  85026 |                     | PSZ2 G245.70-33.75 |                 |          |                   |
|  99619 |                ABELL S0311 |   43.64366 | -66.41045 | 0.079 | 285.66 |  31.44 |    False |   False |                            |             ABELL S0311 |  99619 |                     | PSZ2 G285.85-46.36 |                 |          |                   |
|  57852 |                      57852 | -158.24739 |   1.34186 | 0.079 | 322.72 |  18.23 |    False |   False |                            |                         |  57852 |                     |                    |                 |          |                   |
|  64081 |                      64081 |   -3.92029 |  -4.37976 | 0.079 |  84.85 |  48.65 |    False |    True |                            |                         |  64081 | ACT-CL J2344.3-0422 | PSZ2 G084.81-62.18 | RXCJ2344.2-0422 |  RXJ2344 |                   |
|  57736 |                      57736 | -171.08759 |   1.88056 | 0.080 | 293.75 |  30.44 |    False |   False |                            |                         |  57736 |                     |                    |                 |          |                   |
|  55472 |                 ABELL 0279 |   29.03437 |   1.05902 | 0.080 | 154.44 |  41.36 |    False |    True |                            |              ABELL 0279 |  55472 |                     |                    |                 |          |                   |
|  64786 |                 ABELL 0415 |   46.71330 | -12.09385 | 0.080 | 194.29 |  61.77 |    False |    True |                            |              ABELL 0415 |  64786 |                     |                    |                 |          |                   |
|  62223 |                 ABELL 1517 | -175.23077 |  -5.02438 | 0.080 | 288.05 |  31.70 |    False |   False |                            |              ABELL 1517 |  62223 |                     |                    |                 |          |                   |
|  97185 |                ABELL S0362 |   53.20550 | -64.22475 | 0.080 | 279.52 |  48.77 |    False |    True |                            |             ABELL S0362 |  97185 |                     | PSZ2 G279.51-44.85 |                 |          |                   |
|  66291 |                      66291 |  160.38910 | -11.38786 | 0.080 | 259.34 |  31.25 |    False |   False |                            |                         |  66291 |                     |                    |                 |          |                   |
|  62373 |                      62373 | -164.60432 |  -6.84276 | 0.080 | 307.43 |  25.56 |    False |   False |                            |                         |  62373 |                     |                    |                 |          |                   |
|  84316 |                 ABELL 2911 |   21.52025 | -37.97127 | 0.080 | 271.23 |  34.97 |    False |   False |                            |              ABELL 2911 |  84316 |                     |                    |                 |          |                   |
|  99074 |                      99074 |  -61.41635 | -63.72385 | 0.080 | 332.76 |  22.54 |    False |   False |                            |                         |  99074 |                     |                    |                 |          |                   |
|  96682 |                 ABELL 3822 |  -31.45409 | -57.86219 | 0.081 | 335.58 |  41.42 |    False |    True |                            |              ABELL 3822 |  96682 | ACT-CL J2154.0-5751 | PSZ2 G335.58-46.44 |           A3822 |    A3822 |                   |
|  82645 |                ABELL S0701 | -170.80677 | -35.53489 | 0.081 | 299.58 |  31.52 |    False |   False |                            |             ABELL S0701 |  82645 |                     |                    |                 |          |                   |
|  68175 |                      68175 |  -13.96762 | -10.77910 | 0.081 |  60.68 |  29.90 |    False |   False |                            |                         |  68175 |                     |                    |                 |          |                   |
|  67918 |                 ABELL 2377 |  -33.52206 | -10.10197 | 0.081 |  45.09 |  95.00 |     True |   False |                            |              ABELL 2377 |  67918 | ACT-CL J2145.9-1006 | PSZ2 G045.10-43.18 |           A2377 |          |                   |
|  63555 |                 ABELL 2331 |  -45.45994 |  -7.75930 | 0.081 |  40.84 |  42.31 |    False |    True |                            |              ABELL 2331 |  63555 |                     |                    |                 |          |                   |
|  67969 |                 ABELL 2402 |  -30.37293 |  -9.80206 | 0.081 |  47.54 |  30.44 |    False |   False |                            |              ABELL 2402 |  67969 |                     |                    |                 |          |                   |
|  88844 |                ABELL S0564 |   91.44459 | -42.74510 | 0.081 | 249.69 |  21.61 |    False |   False |                            |             ABELL S0564 |  88844 |                     |                    |                 |          |                   |
|  82629 |                ABELL S0700 | -170.82528 | -33.92597 | 0.081 | 299.44 |  53.81 |    False |    True |                            |             ABELL S0700 |  82629 |                     |                    |                 |          |                   |
|  61956 |                 ABELL 1200 |  168.12033 |  -3.20614 | 0.083 | 260.88 |  37.44 |    False |   False |                            |              ABELL 1200 |  61956 |                     |                    |                 |          |                   |
|  67967 |                      67967 |  -31.24861 |  -9.60679 | 0.083 |  47.18 |  24.24 |    False |   False |                            |                         |  67967 |                     |                    |                 |          |                   |
