|               name |        Cluster Name |        ra |       dec |     z |  gal_l |  mass | complete | lowmass |            CHANCES |  Abell |  CODEX |             ACT-DR5 |               PSZ2 |         LoVoCCS | HIFLUGCS |           MeerKAT |  m200 | c200 | r200 |  d200 |
| PSZ2 G255.32-56.27 |               A3104 |  48.61404 | -45.43075 | 0.072 | 255.33 |  2.35 |    False |   False |                    |  A3104 |        | ACT-CL J0314.4-4524 | PSZ2 G255.32-56.27 |                 |          |                   |  3.40 | 4.15 | 1.44 | 16.95 |
| PSZ2 G219.45-35.90 |                A514 |  72.04702 | -20.44462 | 0.072 | 219.46 |  3.33 |    False |    True |                    |   A514 |  73371 |                     | PSZ2 G219.45-35.90 |            A514 |          |                   |  4.82 | 4.07 | 1.62 | 19.00 |
| PSZ2 G319.41-27.54 |               AS810 | 288.30356 | -75.36198 | 0.073 | 319.42 |  3.03 |    False |   False |                    |  AS810 |        |                     | PSZ2 G319.41-27.54 |                 |          |                   |  4.39 | 4.09 | 1.57 | 18.27 |
| PSZ2 G331.96-45.74 |               A3825 | 329.55246 | -60.41267 | 0.075 | 331.97 |  2.81 |    False |   False |                    |  A3825 |  99242 |                     | PSZ2 G331.96-45.74 |           A3825 |          |                   |  4.07 | 4.10 | 1.53 | 17.27 |
| PSZ2 G252.99-56.09 |               A3112 |  49.45073 | -44.26502 | 0.075 | 253.00 |  3.95 |    False |    True |                    |  A3112 |        | ACT-CL J0317.9-4420 | PSZ2 G252.99-56.09 |                 |          |                   |  5.71 | 4.05 | 1.71 | 19.30 |
| PSZ2 G245.70-33.75 |               A3336 |  80.38411 | -40.83413 | 0.076 | 245.70 |  2.62 |    False |   False |                    |  A3336 |  85026 |                     | PSZ2 G245.70-33.75 |                 |          |                   |  3.79 | 4.12 | 1.49 | 16.75 |
| PSZ2 G335.58-46.44 |          Abell 3822 | 328.52843 | -57.86301 | 0.076 | 335.58 |  5.65 |    False |    True |         Abell 3822 |  A3822 |  96682 | ACT-CL J2154.0-5751 | PSZ2 G335.58-46.44 |           A3822 |    A3822 |                   |  8.17 | 4.04 | 1.92 | 21.53 |
| PSZ2 G336.95-45.75 |               A3806 | 326.62806 | -57.27727 | 0.076 | 336.96 |  3.34 |    False |    True |                    |  A3806 |        |                     | PSZ2 G336.95-45.75 |                 |          |                   |  4.83 | 4.07 | 1.61 | 18.06 |
| PSZ2 G331.12+62.31 |               A1773 | 205.55023 |   2.25632 | 0.076 | 331.13 |  3.31 |    False |    True |                    |  A1773 |  57908 |                     | PSZ2 G331.12+62.31 |                 |          |                   |  4.79 | 4.07 | 1.61 | 17.91 |
| PSZ2 G081.31-68.56 |               A2670 | 358.56911 | -10.44525 | 0.076 |  81.31 |  3.73 |    False |    True |                    |  A2670 |  68307 |                     | PSZ2 G081.31-68.56 |           A2670 |          |                   |  5.39 | 4.05 | 1.68 | 18.63 |
| PSZ2 G254.96+55.88 |               A1205 | 168.21725 |   2.48375 | 0.078 | 254.96 |  3.13 |    False |   False |                    |  A1205 |  57368 | ACT-CL J1112.8+0229 | PSZ2 G254.96+55.88 |           A1205 |          |                   |  4.53 | 4.08 | 1.58 | 17.26 |
| PSZ2 G279.51-44.85 |               AS362 |  53.24723 | -64.23133 | 0.079 | 279.52 |  2.29 |    False |   False |                    |  AS362 |  97185 |                     | PSZ2 G279.51-44.85 |                 |          |                   |  3.31 | 4.15 | 1.42 | 15.45 |
| PSZ2 G084.81-62.18 |               64081 | 356.06568 |  -4.38991 | 0.079 |  84.81 |  4.20 |    False |    True |                    |        |  64081 | ACT-CL J2344.3-0422 | PSZ2 G084.81-62.18 | RXCJ2344.2-0422 |  RXJ2344 |                   |  6.08 | 4.04 | 1.74 | 18.91 |
| PSZ2 G336.01-51.27 |               96724 | 335.98367 | -55.31030 | 0.079 | 336.02 |  2.75 |    False |   False |                    |        |  96724 |                     | PSZ2 G336.01-51.27 |                 |          |                   |  3.98 | 4.10 | 1.51 | 16.31 |
| PSZ2 G235.74-67.98 |               80950 |  37.33753 | -33.51074 | 0.079 | 235.75 |  2.72 |    False |   False |                    |        |  80950 |                     | PSZ2 G235.74-67.98 |                 |          |                   |  3.93 | 4.11 | 1.51 | 16.23 |
| PSZ2 G346.86-45.38 |               A3771 | 322.44885 | -50.77706 | 0.080 | 346.87 |  2.73 |    False |   False |                    |  A3771 |  93933 |                     | PSZ2 G346.86-45.38 |                 |          |                   |  3.96 | 4.10 | 1.51 | 16.19 |
| PSZ2 G045.10-43.18 |               A2377 | 326.47205 | -10.09242 | 0.081 |  45.10 |  3.78 |    False |    True |                    |  A2377 |  67918 | ACT-CL J2145.9-1006 | PSZ2 G045.10-43.18 |           A2377 |          |                   |  5.47 | 4.05 | 1.68 | 17.79 |
| PSZ2 G048.08-46.63 |               A2410 | 330.57306 |  -9.88947 | 0.081 |  48.08 |  2.85 |    False |   False |                    |  A2410 |  67970 |                     | PSZ2 G048.08-46.63 |                 |          |                   |  4.12 | 4.10 | 1.53 | 16.16 |
| PSZ2 G246.49-35.31 |  PSZ2 G246.49-35.31 |  78.44051 | -41.69126 | 0.081 | 246.50 |  1.96 |    False |   False |                    |        |        |                     | PSZ2 G246.49-35.31 |                 |          |                   |  2.84 | 4.19 | 1.35 | 14.26 |
| PSZ2 G113.02-64.68 |               55182 |   8.63596 |  -2.13867 | 0.081 | 113.02 |  3.14 |    False |   False |                    |        |  55182 |                     | PSZ2 G113.02-64.68 | RXCJ0034.6-0208 |          |                   |  4.54 | 4.08 | 1.58 | 16.64 |
| PSZ2 G292.74+33.49 |               A3506 | 183.18797 | -28.61211 | 0.082 | 292.75 |  2.79 |    False |   False |                    |  A3506 |  78939 |                     | PSZ2 G292.74+33.49 |                 |          |                   |  4.03 | 4.10 | 1.52 | 15.92 |
| PSZ2 G222.52+20.58 |                A653 | 125.44952 |   1.23018 | 0.082 | 222.53 |  3.09 |    False |   False |                    |   A653 |  56837 | ACT-CL J0821.8+0111 | PSZ2 G222.52+20.58 |                 |          |                   |  4.47 | 4.08 | 1.57 | 16.36 |
| PSZ2 G044.46-65.42 |               A2538 | 347.17389 | -19.91840 | 0.083 |  44.46 |  3.47 |    False |    True |                    |  A2538 |        |                     | PSZ2 G044.46-65.42 |                 |          |                   |  5.01 | 4.06 | 1.63 | 16.87 |
| PSZ2 G306.77+58.61 |          Abell 1651 | 194.86732 |  -4.20094 | 0.084 | 306.78 |  6.84 |     True |   False |         Abell 1651 |  A1651 |  62335 | ACT-CL J1259.3-0410 | PSZ2 G306.77+58.61 |           A1651 |    A1651 |                   |  9.90 | 4.06 | 2.05 | 20.79 |
| PSZ2 G306.66+61.06 |          Abell 1650 | 194.66540 |  -1.74965 | 0.084 | 306.67 |  6.00 |    False |    True |         Abell 1650 |  A1650 |  57829 | ACT-CL J1258.7-0145 | PSZ2 G306.66+61.06 |           A1650 |    A1650 |                   |  8.67 | 4.04 | 1.96 | 19.90 |
| PSZ2 G046.47-49.44 |          Abell 2420 | 332.56931 | -12.17772 | 0.085 |  46.47 |  5.92 |    False |    True |         Abell 2420 |  A2420 |  68066 | ACT-CL J2210.3-1209 | PSZ2 G046.47-49.44 |           A2420 |          |                   |  8.56 | 4.04 | 1.95 | 19.79 |
| PSZ2 G308.64+60.26 |               A1663 | 195.69295 |  -2.48397 | 0.085 | 308.65 |  3.00 |    False |   False |                    |  A1663 |  57834 | ACT-CL J1302.8-0230 | PSZ2 G308.64+60.26 |                 |          |                   |  4.34 | 4.08 | 1.55 | 15.75 |
| PSZ2 G065.32-64.84 |               A2597 | 351.31887 | -12.12521 | 0.085 |  65.32 |  3.35 |    False |    True |                    |  A2597 |  68241 |                     | PSZ2 G065.32-64.84 |           A2597 |    A2597 | MCXC J2325.3-1207 |  4.84 | 4.07 | 1.61 | 16.26 |
| PSZ2 G322.77+59.52 |               A1750 | 202.77714 |  -1.80554 | 0.085 | 322.78 |  4.35 |    False |    True |                    |  A1750 |  57957 |                     | PSZ2 G322.77+59.52 |           A1750 |          |                   |  6.29 | 4.04 | 1.76 | 17.74 |
| PSZ2 G269.31-49.87 |               A3126 |  52.17589 | -55.72033 | 0.085 | 269.31 |  4.40 |    False |    True |                    |  A3126 |        | ACT-CL J0328.6-5541 | PSZ2 G269.31-49.87 |                 |          |                   |  6.36 | 4.04 | 1.77 | 17.79 |
| PSZ2 G037.05-70.55 |  PSZ2 G037.05-70.55 | 351.52522 | -24.12065 | 0.088 |  37.06 |  2.99 |    False |   False |                    |        |        |                     | PSZ2 G037.05-70.55 |                 |          |                   |  4.32 | 4.08 | 1.55 | 15.19 |
| PSZ2 G255.07+54.84 | ACT-CL J1110.3+0143 | 167.57596 |   1.65955 | 0.089 | 255.08 |  2.91 |    False |   False |                    |        |        | ACT-CL J1110.3+0143 | PSZ2 G255.07+54.84 |                 |          |                   |  4.21 | 4.09 | 1.54 | 14.94 |
| PSZ2 G018.73+23.56 |  PSZ2 G018.73+23.56 | 255.57754 |  -1.02403 | 0.089 |  18.73 |  5.35 |    False |    True |                    |        |        |                     | PSZ2 G018.73+23.56 |                 |          |                   |  7.74 | 4.04 | 1.88 | 18.25 |
| PSZ2 G006.68-35.55 |          Abell 3695 | 308.70593 | -35.82508 | 0.089 |   6.69 |  5.62 |    False |    True |         Abell 3695 |  A3695 |        |                     | PSZ2 G006.68-35.55 |           A3695 |    A3695 |                   |  8.13 | 4.04 | 1.91 | 18.48 |
| PSZ2 G007.76-36.83 |               A3705 | 310.43929 | -35.18776 | 0.089 |   7.77 |  3.56 |    False |    True |                    |  A3705 |  83621 | ACT-CL J2041.5-3508 | PSZ2 G007.76-36.83 |                 |          |                   |  5.15 | 4.06 | 1.64 | 15.86 |
| PSZ2 G059.72-46.21 |               59343 | 334.64841 |  -2.95741 | 0.090 |  59.72 |  3.00 |    False |   False |                    |        |  59343 |                     | PSZ2 G059.72-46.21 |                 |          |                   |  4.34 | 4.08 | 1.55 | 14.87 |
| PSZ2 G062.44-46.43 |               A2440 | 335.98567 |  -1.61691 | 0.091 |  62.44 |  4.68 |    False |    True |                    |  A2440 |  59380 |                     | PSZ2 G062.44-46.43 |           A2440 |          |                   |  6.76 | 4.04 | 1.80 | 17.16 |
| PSZ2 G200.63-64.71 |                A367 |  39.10859 | -19.34895 | 0.091 | 200.63 |  3.34 |    False |   False |                    |   A367 |  68918 |                     | PSZ2 G200.63-64.71 |                 |          |                   |  4.84 | 4.06 | 1.61 | 15.33 |
| PSZ2 G018.84+22.43 |  PSZ2 G018.84+22.43 | 256.60669 |  -1.50328 | 0.091 |  18.85 |  4.86 |    False |    True |                    |        |        |                     | PSZ2 G018.84+22.43 |                 |          |                   |  7.03 | 4.04 | 1.82 | 17.28 |
| PSZ2 G255.52-35.66 |               A3330 |  78.70656 | -49.04580 | 0.091 | 255.53 |  2.88 |    False |   False |                    |  A3330 |  91897 |                     | PSZ2 G255.52-35.66 |                 |          |                   |  4.17 | 4.09 | 1.53 | 14.52 |
