|                name |        ra |       dec |     z |  gal_l |  mass | complete | lowmass |        S-PLUS | CHANCES |                   Abell | CODEX |               PSZ2 |         LoVoCCS | HIFLUGCS |           MeerKAT | WINGS |  m200 | c200 | r200 |  d200 |
| ACT-CL J0000.0-3837 |   0.02090 | -38.62673 | 0.301 | 342.75 |  2.39 |    False |   False |  SPLUS-s30s01 |         |                         |       |                    |                 |          |                   |       |  3.44 | 4.05 | 1.33 |  4.82 |
| ACT-CL J0000.3-3936 |   0.08333 | -39.60417 | 0.356 | 340.10 |  2.10 |    False |   False |  SPLUS-s31s01 |         |              ABELL 4068 | 87812 |                    |           A4068 |          |                   |       |  3.02 | 4.05 | 1.25 |  4.03 |
| ACT-CL J0000.3-2805 |   0.08990 | -28.09125 | 0.283 |  25.12 |  3.85 |    False |   False |  SPLUS-s22s01 |         |              ABELL 4071 | 76703 | PSZ2 G025.07-78.64 |                 |          |                   |       |  5.54 | 4.06 | 1.57 |  5.93 |
| ACT-CL J0000.4-0102 |   0.11353 |  -1.04481 | 0.439 |  95.69 |  2.14 |    False |   False | STRIPE82_0001 |         |                         |       |                    |                 |          |                   |       |  3.08 | 4.04 | 1.21 |  3.46 |
| ACT-CL J0000.4-0552 |   0.11398 |  -5.88063 | 0.202 |  90.93 |  2.35 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  3.39 | 4.08 | 1.37 |  6.67 |
| ACT-CL J0000.7+0225 |   0.17909 |   2.41839 | 0.423 |  98.47 |  2.88 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  4.15 | 4.06 | 1.35 |  3.93 |
| ACT-CL J0001.2-4843 |   0.30092 | -48.71950 | 0.346 | 323.86 |  3.58 |    False |   False |  SPLUS-s38s01 |         |                         |       |                    |                 |          |                   |       |  5.15 | 4.06 | 1.50 |  4.92 |
| ACT-CL J0001.4-0002 |   0.36253 |  -0.03890 | 0.247 |  96.98 |  2.63 |    False |   False | STRIPE82_0001 |         |                         |       |                    |                 |          |                   |       |  3.79 | 4.05 | 1.40 |  5.84 |
| ACT-CL J0003.2-0605 |   0.80253 |  -6.08939 | 0.233 |  92.17 |  9.09 |    False |    True |               |         |              ABELL 2697 | 59697 | PSZ2 G092.16-66.01 |                 |          |                   |       | 12.98 | 4.24 | 2.12 |  9.23 |
| ACT-CL J0003.8+0203 |   0.95418 |   2.06261 | 0.092 |  99.60 |  2.74 |    False |    True |               |         |              ABELL 2700 | 55038 | PSZ2 G099.57-58.64 |                 |          |                   |       |  3.93 | 4.09 | 1.50 | 14.07 |
| ACT-CL J0004.8-3459 |   1.20134 | -34.98458 | 0.285 | 351.84 |  3.99 |    False |   False |  SPLUS-s27s02 |         |                         |       |                    |                 |          |                   |       |  5.74 | 4.06 | 1.59 |  5.97 |
| ACT-CL J0005.9-3443 |   1.49567 | -34.72494 | 0.114 | 352.18 |  2.55 |    False |   False |  SPLUS-s27s02 |         |              ABELL 2721 | 80599 | PSZ2 G352.28-77.66 |           A2721 |          |                   |       |  3.67 | 4.10 | 1.45 | 11.30 |
| ACT-CL J0007.2-4341 |   1.81261 | -43.69729 | 0.245 | 328.37 |  1.94 |    False |   False |  SPLUS-s34s02 |         |                         |       |                    |                 |          |                   |       |  2.79 | 4.09 | 1.27 |  5.31 |
| ACT-CL J0007.2-3151 |   1.81507 | -31.85508 | 0.329 |   4.10 |  2.75 |    False |   False |  SPLUS-s25s02 |         |              ABELL 2724 |       |                    |                 |          |                   |       |  3.96 | 4.04 | 1.38 |  4.70 |
| ACT-CL J0008.1+0201 |   2.04544 |   2.01973 | 0.366 | 101.55 |  6.41 |    False |    True |               |         |                         |       | PSZ2 G101.55-59.03 |                 |          |                   |       |  9.16 | 4.23 | 1.80 |  5.71 |
| ACT-CL J0010.0-5113 |   2.51662 | -51.22086 | 0.277 | 318.17 |  2.63 |    False |   False |  SPLUS-s40s02 |         |             ABELL S0013 |       |                    |                 |          |                   |       |  3.79 | 4.05 | 1.39 |  5.31 |
| ACT-CL J0010.8-5111 |   2.71814 | -51.19728 | 0.216 | 317.91 |  2.22 |    False |   False |  SPLUS-s40s02 |         |             ABELL S0013 |       |                    |                 |          |                   |       |  3.20 | 4.09 | 1.34 |  6.17 |
| ACT-CL J0011.7-1523 |   2.93254 | -15.38592 | 0.378 |  82.77 |  8.47 |    False |    True |  SPLUS-s13s03 |         |                         | 68372 | PSZ2 G082.88-75.10 |                 |          |                   |       | 12.01 | 4.37 | 1.96 |  6.10 |
| ACT-CL J0012.3-5352 |   3.08751 | -53.87500 | 0.343 | 315.36 |  2.80 |    False |   False |  SPLUS-s42s02 |         |                         |       |                    |                 |          |                   |       |  4.03 | 4.05 | 1.38 |  4.57 |
| ACT-CL J0012.8-0855 |   3.21005 |  -8.92715 | 0.338 |  94.51 |  3.52 |    False |   False |               |         |                         |       | PSZ2 G094.46-69.65 |                 |          |                   |       |  5.07 | 4.06 | 1.49 |  5.00 |
| ACT-CL J0012.8-5143 |   3.21249 | -51.73333 | 0.329 | 316.80 |  2.78 |    False |   False |  SPLUS-s40s02 |         |             ABELL S0016 |       |                    |                 |          |                   |       |  4.01 | 4.04 | 1.38 |  4.71 |
| ACT-CL J0012.8-3744 |   3.22220 | -37.74440 | 0.369 | 337.90 |  2.24 |    False |   False |  SPLUS-s29s03 |         |                         |       |                    |                 |          |                   |       |  3.23 | 4.04 | 1.27 |  4.01 |
| ACT-CL J0012.9-0857 |   3.23333 |  -8.95419 | 0.352 |  94.54 |  2.69 |    False |   False |               |         |                         |       | PSZ2 G094.46-69.65 |                 |          |                   |       |  3.87 | 4.04 | 1.36 |  4.42 |
| ACT-CL J0013.3-4906 |   3.32753 | -49.11261 | 0.407 | 318.91 |  6.84 |    False |    True |  SPLUS-s38s03 |         |                         |       |                    |                 |          |                   |       |  9.73 | 4.30 | 1.80 |  5.37 |
| ACT-CL J0013.3-1503 |   3.34870 | -15.05468 | 0.422 |  84.78 |  4.95 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  7.09 | 4.18 | 1.61 |  4.70 |
| ACT-CL J0013.4-2723 |   3.37396 | -27.38443 | 0.427 |  29.02 |  3.72 |    False |   False |  SPLUS-s21s03 |         |                         |       |                    |                 |          |                   |       |  5.34 | 4.10 | 1.47 |  4.24 |
| ACT-CL J0014.0+0227 |   3.50114 |   2.45182 | 0.337 | 104.50 |  2.83 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  4.08 | 4.05 | 1.39 |  4.66 |
| ACT-CL J0014.2-3348 |   3.55036 | -33.80140 | 0.401 | 350.89 |  3.36 |    False |   False |  SPLUS-s26s03 |         |                         |       |                    |                 |          |                   |       |  4.85 | 4.07 | 1.43 |  4.31 |
| ACT-CL J0014.3-3022 |   3.58394 | -30.37242 | 0.308 |   8.99 | 13.08 |     True |   False |  SPLUS-s24s03 |         |              ABELL 2744 | 76737 | PSZ2 G008.94-81.22 |                 |          | MCXC J0014.3-3023 |       | 18.44 | 4.57 | 2.32 |  8.26 |
| ACT-CL J0014.7-2024 |   3.69324 | -20.40776 | 0.317 |  69.70 |  5.80 |    False |    True |  SPLUS-s16s04 |         |                         |       | PSZ2 G069.66-79.26 |                 |          |                   |       |  8.32 | 4.15 | 1.77 |  6.20 |
| ACT-CL J0015.0-1515 |   3.76120 | -15.26550 | 0.310 |  85.60 |  4.03 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  5.81 | 4.07 | 1.58 |  5.59 |
| ACT-CL J0015.3-3513 |   3.82507 | -35.22703 | 0.412 | 344.33 |  2.39 |    False |   False |  SPLUS-s27s03 |         |                         |       |                    |                 |          |                   |       |  3.45 | 4.04 | 1.27 |  3.76 |
| ACT-CL J0015.4-1730 |   3.86706 | -17.50984 | 0.430 |  80.27 |  7.03 |    False |    True |  SPLUS-s14s04 |         |                         |       |                    |                 |          |                   |       | 10.00 | 4.34 | 1.80 |  5.20 |
| ACT-CL J0015.5-5146 |   3.89499 | -51.77244 | 0.415 | 315.85 |  2.99 |    False |   False |  SPLUS-s40s03 |         |                         |       |                    |                 |          |                   |       |  4.31 | 4.06 | 1.37 |  4.04 |
| ACT-CL J0017.5-3511 |   4.38889 | -35.18605 | 0.108 | 342.78 |  2.12 |    False |   False |  SPLUS-s27s04 |         |              ABELL 2755 | 80604 |                    |                 |          |                   |       |  3.05 | 4.14 | 1.37 | 11.24 |
