|   name |         ra |       dec |     z |  gal_l |   mass | complete | lowmass |        S-PLUS | CHANCES |                   Abell |             ACT-DR5 |               PSZ2 |         LoVoCCS | HIFLUGCS |           MeerKAT | WINGS |
|  86214 | -179.96722 | -40.47686 | 0.371 | 292.49 |  70.16 |    False |   False |               |         |                         |                     |                    |                 |          |                   |       |
|  52985 | -179.90478 |   3.34399 | 0.134 | 273.57 |  94.60 |    False |    True |  SPLUS-n03n23 |         |              ABELL 1437 |                     | PSZ2 G273.59+63.27 |                 |          |                   |       |
|  86157 | -179.72510 | -39.87760 | 0.308 | 292.54 | 188.04 |     True |   False |               |         |                         |                     | PSZ2 G292.56+21.97 |                 |          |                   |       |
|  57684 | -179.55738 |  -0.19323 | 0.168 | 277.31 |  37.38 |    False |   False |  SPLUS-n01s23 |         |              ABELL 1445 |                     |                    |                 |          |                   |       |
|  62255 | -179.26523 |  -6.82599 | 0.127 | 282.11 |  93.69 |    False |    True |  SPLUS-n06s24 |         |              ABELL 1448 |                     | PSZ2 G282.12+54.04 |                 |          |                   |       |
|  74869 | -179.18072 | -21.52377 | 0.193 | 288.26 | 173.16 |     True |   False |  SPLUS-n17s22 |         |              ABELL 1451 |                     | PSZ2 G288.27+39.97 |                 |          |                   |       |
|  53053 | -179.05985 |   4.25924 | 0.136 | 274.40 |  39.55 |    False |   False |  SPLUS-n04n23 |         |              ABELL 1456 |                     |                    |                 |          |                   |       |
|  78932 | -178.93032 | -28.23343 | 0.141 | 290.47 |  38.43 |    False |   False |               |         |              ABELL 3502 |                     |                    |                 |          |                   |       |
|  53060 | -178.85043 |   3.94826 | 0.164 | 275.14 |  71.67 |    False |    True |  SPLUS-n04n23 |         |              ABELL 1463 |                     |                    |                 |          |                   |       |
|  66566 | -178.43943 |  -8.80384 | 0.440 | 284.41 | 156.50 |     True |   False |  SPLUS-n08s23 |         |                         |                     | PSZ2 G284.41+52.45 |                 |          |                   |       |
|  53051 | -178.22024 |   4.40548 | 0.234 | 276.04 |  55.72 |    False |   False |  SPLUS-n04n24 |         |                         | ACT-CL J1207.1+0425 |                    |                 |          |                   |       |
|  86200 | -178.07731 | -39.42631 | 0.353 | 293.79 |  71.12 |    False |   False |               |         |                         |                     |                    |                 |          |                   |       |
|  57709 | -177.65509 |  -2.21947 | 0.175 | 282.23 |  48.96 |    False |   False |  SPLUS-n03s24 |         |                         |                     |                    |                 |          |                   |       |
|  62233 | -177.27008 |  -5.71128 | 0.089 | 284.83 |  24.35 |    False |   False |  SPLUS-n05s25 |         |              ABELL 1482 |                     |                    |                 |          |                   |       |
|  62206 | -177.15255 |  -3.76377 | 0.174 | 284.02 |  55.76 |    False |   False |  SPLUS-n04s25 |         |              ABELL 1485 |                     |                    |                 |          |                   |       |
|  66606 | -176.88533 | -11.82758 | 0.208 | 288.02 |  81.22 |    False |    True |  SPLUS-n10s24 |         |              ABELL 1488 |                     |                    |                 |          |                   |       |
|  78915 | -176.78875 | -26.06217 | 0.083 | 292.21 |  31.35 |    False |   False |  SPLUS-n20s13 |         |              ABELL 3507 |                     |                    |                 |          |                   |       |
|  78939 | -176.77057 | -28.65037 | 0.083 | 292.80 |  23.39 |    False |   False |               |         |              ABELL 3506 |                     | PSZ2 G292.74+33.49 |                 |          |                   |       |
|  86198 | -176.13436 | -39.01645 | 0.117 | 295.33 |  94.66 |    False |    True |               |         |                         |                     | PSZ2 G295.34+23.34 | RXCJ1215.4-3900 |          |                   |       |
|  53063 | -175.57803 |   3.66097 | 0.077 | 282.51 |  60.98 |    False |    True |  SPLUS-n04n26 |         |                         |                     |                    | RXCJ1217.6+0339 | ZwCl1215 |                   |       |
|  62223 | -175.23077 |  -5.02438 | 0.080 | 288.05 |  31.70 |    False |   False |  SPLUS-n05s26 |         |              ABELL 1517 |                     |                    |                 |          |                   |       |
|  62201 | -175.06644 |  -3.27635 | 0.297 | 287.59 |  64.32 |    False |   False |  SPLUS-n03s26 |         |                         | ACT-CL J1219.6-0318 | PSZ2 G287.54+58.63 |                 |          |                   |       |
|  62254 | -174.99822 |  -6.74244 | 0.378 | 289.14 | 107.38 |    False |    True |  SPLUS-n06s27 |         |                         |                     | PSZ2 G289.16+55.27 |                 |          |                   |       |
|  57654 | -174.33358 |   2.07681 | 0.230 | 286.34 |  74.54 |    False |    True |  SPLUS-n03n27 |         |              ABELL 1530 |                     | PSZ2 G286.39+64.06 |                 |          |                   |       |
|  74907 | -174.28028 | -25.49859 | 0.141 | 294.86 |  47.43 |    False |   False |  SPLUS-n20s15 |         |              ABELL 3514 |                     |                    |                 |          |                   |       |
|  70717 | -173.75113 | -16.16813 | 0.428 | 293.73 |  77.71 |    False |    True |  SPLUS-n13s26 |         |                         |                     |                    |                 |          |                   |       |
|  70714 | -173.64633 | -15.64316 | 0.070 | 293.77 |  45.59 |    False |    True |  SPLUS-n12s26 |         |              ABELL 1535 |                     |                    |                 |          |                   |       |
|  57769 | -173.31363 |  -0.63076 | 0.159 | 289.86 |  36.31 |    False |   False |  SPLUS-n01s27 |         |                         |                     |                    |                 |          |                   |       |
|  74929 | -173.21090 | -22.46879 | 0.282 | 295.60 |  72.76 |    False |   False |  SPLUS-n18s26 |         |                         |                     |                    |                 |          |                   |       |
|  66694 | -172.48151 | -13.38708 | 0.074 | 294.97 |  20.90 |    False |   False |  SPLUS-n11s28 |         |                         |                     |                    |                 |          |                   |       |
|  57736 | -171.08759 |   1.88056 | 0.080 | 293.75 |  30.44 |    False |   False |  SPLUS-n02n29 |         |                         |                     |                    |                 |          |                   |       |
|  82629 | -170.82528 | -33.92597 | 0.081 | 299.44 |  53.81 |    False |    True |               |         |             ABELL S0700 |                     |                    |                 |          |                   |       |
|  82645 | -170.80677 | -35.53489 | 0.081 | 299.58 |  31.52 |    False |   False |               |         |             ABELL S0701 |                     |                    |                 |          |                   |       |
|  57764 | -170.51078 |  -0.27231 | 0.138 | 295.64 |  37.61 |    False |   False |  SPLUS-n01s29 |         |              ABELL 1577 |                     |                    |                 |          |                   |       |
|  82687 | -169.87928 | -34.21263 | 0.073 | 300.35 |  21.96 |    False |   False |               |         |              ABELL 3524 |                     |                    |                 |          |                   |       |
|  66680 | -169.86317 | -12.05792 | 0.179 | 298.72 |  54.86 |    False |   False |  SPLUS-n10s29 |         |                         |                     |                    |                 |          |                   |       |
