|     name |         Cluster Name |         ra |       dec |     z |  gal_l |  mass | complete | lowmass | r200 |   d200 | N_SPLUS | f_SPLUS |        S-PLUS |     CHANCES |                Abell |   WINGS |             ACT-DR5 |               PSZ2 |         LoVoCCS | HIFLUGCS |           MeerKAT |
| 93241214 |                A3301 |   75.97633 | -38.94850 | 0.003 | 242.85 |  0.12 |    False |    True | 0.48 | 128.04 |      91 |     6.4 |    A3301_main |       A3301 |          ABELL S0508 |         |                     |                    |                 |          |                   |
| 93170802 |  ACT-CL J0241.2-0018 |   40.65219 |  -0.02646 | 0.003 | 172.10 |  0.59 |     True |   False | 0.82 | 205.65 |      48 |     1.3 | STRIPE82_0059 |             |                      |         | ACT-CL J0241.2-0018 |                    |                 |          |                   |
| 93245005 |           ABELL 3968 |  -13.65753 | -39.21537 | 0.003 | 357.45 |  0.10 |    False |    True | 0.45 | 114.21 |     161 |    14.1 |  SPLUS-s30s63 |             |           ABELL 3968 |         |                     |                    |                 |          |                   |
| 93231006 |             93231006 |   62.70574 | -32.91530 | 0.003 | 233.19 |  0.07 |    False |   False | 0.41 |  95.63 |      79 |     9.9 |  SPLUS-s26s40 |             |                      |         |                     |                    |                 |          |                   |
| 93250903 |           ABELL 3204 |   60.20809 | -46.83985 | 0.004 | 253.97 |  0.11 |    False |    True | 0.47 | 103.84 |     135 |    14.3 |  SPLUS-s36s32 |             |           ABELL 3204 |         |                     |                    |                 |          |                   |
| 93163401 |              NGC4636 | -169.25033 |   2.81134 | 0.004 | 297.83 |  0.58 |     True |   False | 0.82 | 151.40 |     180 |     9.0 |  SPLUS-n03n30 |     NGC4636 |           ABELL 1599 |         |                     |                    |                 |  NGC4636 |                   |
| 93254708 |          Abell S1101 |  -11.52599 | -42.69971 | 0.004 | 348.42 |  0.77 |     True |   False | 0.90 | 155.24 |     298 |    14.2 |  SPLUS-s33s61 | Abell S1101 |          ABELL S1101 |         | ACT-CL J2313.9-4243 | PSZ2 G348.46-64.83 | RXCJ2313.9-4244 |    S1101 |                   |
| 93190502 |  ACT-CL J0152.7-1357 |   28.21165 | -13.79735 | 0.004 | 173.06 |  0.17 |    False |    True | 0.54 |  94.22 |      26 |     3.4 |               |             |                      |         | ACT-CL J0152.7-1357 |                    |                 |          |                   |
| 93190519 |  ACT-CL J0150.3-1005 |   27.47053 | -10.08640 | 0.005 | 164.65 |  0.14 |    False |    True | 0.51 |  81.73 |       4 |     0.7 |               |             |                      |         | ACT-CL J0150.3-1005 |                    |                 |          |                   |
| 93254501 |             93254501 |  -27.66222 | -47.17533 | 0.005 | 349.57 |  1.65 |     True |   False | 1.16 | 176.90 |     363 |    13.3 |  SPLUS-s36s49 |             |                      |         |                     |                    |                 |          |                   |
| 93211016 |           ABELL 3168 |   56.82070 | -21.82076 | 0.005 | 215.25 |  0.20 |    False |    True | 0.57 |  85.96 |       0 |     0.0 |               |             |           ABELL 3168 |         | ACT-CL J0347.9-2144 | PSZ2 G215.19-49.65 |                 |          |                   |
| 93211010 |  ACT-CL J0339.6-2205 |   55.04912 | -22.24961 | 0.005 | 215.17 |  0.13 |    False |    True | 0.49 |  73.57 |       0 |     0.0 |               |             |                      |         | ACT-CL J0339.6-2205 |                    |                 |          |                   |
| 93163105 |   PSZ2 G257.51+57.54 |  170.36667 |   2.84001 | 0.005 | 257.52 |  0.29 |    False |    True | 0.65 |  93.82 |      81 |    10.5 |  SPLUS-n03n15 |             |                      |         |                     | PSZ2 G257.51+57.54 |                 |          |                   |
| 93201001 |              NGC1407 |   55.10152 | -18.58819 | 0.005 | 209.67 |  0.22 |    False |    True | 0.59 |  83.62 |       0 |     0.0 |               |     NGC1407 |                      |         | ACT-CL J0342.2-1830 |                    |                 |          |                   |
| 93162805 |  ACT-CL J1012.5+0239 |  153.12185 |   2.68214 | 0.006 | 238.73 |  0.14 |    False |    True | 0.50 |  70.25 |      41 |     9.5 |  SPLUS-n03n03 |             |                      |         | ACT-CL J1012.5+0239 |                    |                 |          |                   |
| 93164021 |             93164021 | -137.23812 |   3.46527 | 0.006 | 358.53 |  0.15 |    False |    True | 0.52 |  69.17 |      32 |     7.7 |  SPLUS-n04n54 |             |                      |         |                     |                    |                 |          |                   |
| 93174103 |              NGC5846 | -133.44183 |   1.62645 | 0.006 |   0.39 |  0.39 |    False |    True | 0.71 |  91.34 |      29 |     4.0 |               |             |                      |         |                     |                    |                 |  NGC5846 |                   |
| 93183513 |           ABELL 1634 | -166.47589 |  -6.71632 | 0.006 | 304.12 |  0.29 |    False |    True | 0.65 |  79.23 |      73 |    13.3 |  SPLUS-n06s33 |             |           ABELL 1634 |         |                     |                    |                 |          |                   |
| 93213405 |              NGC5084 | -160.26944 | -21.42957 | 0.007 | 311.42 |  0.16 |    False |    True | 0.53 |  64.01 |      49 |    13.7 |  NGC5084_need |     NGC5084 |           ABELL 1709 |         |                     |                    |                 |          |                   |
