|     name |         ra |       dec |     z |  gal_l |  mass | complete | lowmass |        S-PLUS |     CHANCES |                Abell |   WINGS |             ACT-DR5 |               PSZ2 |         LoVoCCS | HIFLUGCS |           MeerKAT |
|    82560 | -179.98697 | -31.41105 | 0.068 | 290.25 |  4.43 |    False |    True |               |       A3497 |           ABELL 3497 |   A3497 |                     | PSZ2 G290.19+30.16 |                 |          |                   |
| 93163302 | -178.98261 |   3.99877 | 0.023 | 274.82 |  0.71 |    False |   False |  SPLUS-n04n23 |             |                      |         |                     |                    |                 |          |                   |
| 93173309 | -178.88105 |   1.90795 | 0.021 | 276.91 |  1.58 |    False |    True |  SPLUS-n02n23 |        MKW4 |                      |         |                     |                    |                 |     MKW4 |                   |
| 93223005 | -178.49093 | -29.63574 | 0.007 | 291.27 |  0.20 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
|    66627 | -175.13619 | -13.30965 | 0.070 | 291.07 |  3.19 |    False |   False |  SPLUS-n11s26 |       A1520 |           ABELL 1520 |         |                     |                    |                 |          |                   |
| 93242707 | -173.52197 | -38.33039 | 0.012 | 297.44 |  0.32 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
| 93242821 | -171.00266 | -39.90034 | 0.013 | 299.72 |  0.43 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
| 93183401 | -170.06662 |  -5.35906 | 0.010 | 297.52 |  1.84 |     True |   False |  SPLUS-n05s30 |             |                      |         |                     |                    |                 |          |                   |
| 93163401 | -169.25033 |   2.81134 | 0.004 | 297.83 |  0.58 |     True |   False |  SPLUS-n03n30 |     NGC4636 |           ABELL 1599 |         |                     |                    |                 |  NGC4636 |                   |
|    57738 | -168.69604 |   1.81996 | 0.048 | 299.30 |  1.62 |    False |   False |  SPLUS-n02n31 |             |                      |         |                     |                    |                 |          |                   |
| 93242801 | -167.77749 | -41.31311 | 0.011 | 302.42 |  3.25 |     True |   False |               |       A3526 |    Centaurus Cluster |         |                     | PSZ2 G302.41+21.60 |                 |    A3526 | MCXC J1248.7-4118 |
|    70768 | -167.35058 | -14.43882 | 0.043 | 302.63 |  1.63 |    False |   False |  SPLUS-n12s31 |             |                      |         |                     |                    |                 |          |                   |
| 93193506 | -166.96974 | -13.44804 | 0.016 | 303.19 |  1.10 |    False |    True |  SPLUS-n11s32 |             |                      |         |                     |                    |                 |          |                   |
| 93193503 | -166.77876 | -10.43772 | 0.016 | 303.52 |  0.46 |    False |   False |  SPLUS-n09s32 |             |                      |         |                     |                    |                 |          |                   |
| 93203406 | -166.75489 | -15.28876 | 0.015 | 303.48 |  0.54 |    False |   False |  SPLUS-n12s31 |      A1631a |           ABELL 1631 |  A1631a |                     | PSZ2 G303.56+47.54 |                 |          |                   |
| 93193502 | -166.74970 |  -9.17759 | 0.016 | 303.58 |  0.83 |    False |   False |  SPLUS-n08s32 |             |                      |         |                     |                    |                 |          |                   |
| 93183513 | -166.47589 |  -6.71632 | 0.006 | 304.12 |  0.29 |    False |    True |  SPLUS-n06s33 |             |           ABELL 1634 |         |                     |                    |                 |          |                   |
|    79053 | -166.39875 | -29.01122 | 0.054 | 303.71 |  5.32 |    False |    True |               |             |           ABELL 3528 |         |                     | PSZ2 G303.75+33.70 |                 |          |                   |
|    79054 | -166.32601 | -29.22998 | 0.053 | 303.79 |  5.14 |    False |    True |               |             |                      |         |                     | PSZ2 G303.75+33.70 |                 |          |                   |
|    70804 | -166.21254 | -18.24891 | 0.045 | 304.17 |  1.70 |    False |   False |  SPLUS-n14s32 |             |           ABELL 3529 |         |                     |                    |                 |          |                   |
|    79069 | -166.10136 | -30.32889 | 0.055 | 304.00 |  3.30 |    False |   False |               |             |           ABELL 3530 |         |                     |                    |                 |          |                   |
|    66739 | -166.07065 | -12.65566 | 0.059 | 304.56 |  2.27 |    False |   False |  SPLUS-n10s32 |             |                      |         |                     |                    |                 |          |                   |
|    82662 | -165.75413 | -31.31210 | 0.056 | 304.32 |  2.49 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
| 93203419 | -165.67686 | -17.39920 | 0.048 | 304.92 |  6.29 |    False |    True |  SPLUS-n14s32 |       A1644 |           ABELL 1644 |   A1644 |                     | PSZ2 G304.91+45.43 |           A1644 |    A1644 |                   |
|    70798 | -165.67561 | -17.38080 | 0.046 | 304.93 |  8.09 |     True |   False |  SPLUS-n14s32 |       A1644 |           ABELL 1644 |   A1644 |                     | PSZ2 G304.91+45.43 |           A1644 |    A1644 |                   |
|    79068 | -165.67031 | -30.38261 | 0.055 | 304.44 |  5.84 |    False |    True |               |             |           ABELL 3532 |         |                     | PSZ2 G304.44+32.48 |                 |          |                   |
|    79044 | -165.53571 | -28.55486 | 0.056 | 304.64 |  1.74 |    False |   False |               |             |           ABELL 3535 |         |                     |                    |                 |          |                   |
|    79036 | -165.43847 | -28.34375 | 0.054 | 304.75 |  1.60 |    False |   False |               |             |          ABELL S0717 |         |                     |                    |                 |          |                   |
| 93213307 | -165.32460 | -21.89460 | 0.024 | 305.16 |  0.68 |    False |   False |  SPLUS-n17s31 |             |                      |         |                     |                    |                 |          |                   |
| 93242901 | -164.32574 | -41.63104 | 0.009 | 305.19 |  0.28 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
|    75025 | -164.08176 | -19.88271 | 0.042 | 306.86 |  1.05 |    False |   False |  SPLUS-n16s32 |             |                      |         |                     |                    |                 |          |                   |
|    86315 | -163.50583 | -37.64239 | 0.050 | 306.11 |  3.55 |    False |   False |               |             |          ABELL S0721 |         |                     |                    |                 |          |                   |
| 93242911 | -163.37051 | -37.56200 | 0.051 | 306.23 |  3.04 |    False |   False |               |             |          ABELL S0721 |         |                     |                    |                 |          |                   |
| 93252706 | -161.23018 | -42.61432 | 0.012 | 307.56 |  1.19 |     True |   False |               |             |                      |         |                     |                    |                 |          |                   |
| 93203508 | -161.15740 | -16.39033 | 0.007 | 311.22 |  1.28 |     True |   False |  SPLUS-n13s35 |     NGC5044 |                      |         |                     |                    |                 |  NGC5044 |                   |
|    86313 | -160.75448 | -37.16193 | 0.046 | 308.56 |  1.01 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
| 93213405 | -160.26944 | -21.42957 | 0.007 | 311.42 |  0.16 |    False |   False |  SPLUS-n17s35 |             |           ABELL 1709 |         |                     |                    |                 |          |                   |
| 93203505 | -160.16428 | -15.58468 | 0.009 | 312.76 |  0.17 |    False |   False |  SPLUS-n13s36 |             |                      |         |                     |                    |                 |          |                   |
|    86349 | -159.82826 | -41.03295 | 0.051 | 308.85 |  2.95 |    False |   False |               |             |          ABELL S0727 |         |                     |                    |                 |          |                   |
|    82715 | -159.63789 | -31.67989 | 0.049 | 310.36 |  1.83 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
| 93203611 | -159.37158 | -17.16138 | 0.024 | 313.47 |  0.83 |    False |   False |  SPLUS-n14s37 |             |                      |         |                     |                    |                 |          |                   |
|    82713 | -159.08239 | -31.68515 | 0.048 | 310.90 |  1.83 |    False |   False |               |             |           ABELL 3556 |         |                     |                    |                 |          |                   |
|    79100 | -158.24671 | -27.15556 | 0.035 | 312.61 |  4.34 |    False |    True |               |             |           ABELL 1736 |         |                     | PSZ2 G312.62+35.05 |                 |          |                   |
