|               name |        ra |       dec |    z |  mass |        S-PLUS |                    CHANCES |        Abell |
| PSZ2 G008.94-81.22 |   3.55906 | -30.38762 | 0.31 |  9.84 |  SPLUS-s24s03 |                  Abell2744 |   ABELL 2744 |
| PSZ2 G115.25-72.07 |  10.47185 |  -9.34643 | 0.06 |  4.92 |            NO |                            |   ABELL 0085 |
| PSZ2 G106.87-83.23 |  10.86618 | -20.61702 | 0.29 |  8.13 |  SPLUS-s16s09 |                            |   ABELL 2813 |
| PSZ2 G125.68-64.12 |  14.06052 |  -1.28191 | 0.04 |  3.43 | STRIPE82_0021 |                            |   ABELL 0119 |
| PSZ2 G159.91-73.50 |  22.98088 | -13.61399 | 0.21 |  8.46 |            NO |                 Abell 0209 |   ABELL 0209 |
| PSZ2 G277.76-51.74 |  43.56849 | -58.96076 | 0.44 |  9.69 |  SPLUS-s45s18 |         PSZ2 G277.76-51.74 |              |
| PSZ2 G265.02-48.96 |  55.69556 | -53.61089 | 0.06 |  4.22 |  SPLUS-s41s26 |                            |   ABELL 3158 |
| PSZ2 G288.63-37.66 |  58.06098 | -74.00856 | 0.13 |  6.44 |        MC0124 |                            |   ABELL 3186 |
| PSZ2 G205.93-39.46 |  64.40636 | -11.89587 | 0.44 | 12.25 |            NO |         PSZ2 G205.93-39.46 |              |
| PSZ2 G272.08-40.16 |  67.80918 | -61.40696 | 0.06 |  6.64 |            NO |                            |   ABELL 3266 |
| PSZ2 G195.75-24.32 |  73.52666 |   2.96225 | 0.20 |  7.80 |            NO |         PSZ2 G195.75-24.32 |   ABELL 0520 |
| PSZ2 G208.60-26.00 |  77.68686 |  -8.02020 | 0.22 |  7.74 |            NO |         PSZ2 G208.60-26.00 |              |
| PSZ2 G262.27-35.38 |  79.14697 | -54.53433 | 0.30 |  8.76 |            NO |         PSZ2 G262.27-35.38 |  ABELL S0520 |
| PSZ2 G241.79-24.01 |  91.46955 | -35.30911 | 0.14 |  5.59 |            NO |                            |   ABELL 3378 |
| PSZ2 G191.00+06.65 |  98.76410 |  22.51695 | 0.07 |  5.89 |            NO |                            |              |
| PSZ2 G263.68-22.55 | 101.36936 | -54.22940 | 0.16 |  7.96 |            NO |         PSZ2 G263.68-22.55 |   ABELL 3404 |
| PSZ2 G266.04-21.25 | 104.63188 | -55.96172 | 0.30 | 13.10 |            NO | ClG 0657-56 Bullet cluster |              |
| PSZ2 G271.60-12.50 | 123.14299 | -57.24174 | 0.06 |  3.51 |    SPLUS-d513 |                            |              |
| PSZ2 G239.29+24.75 | 137.23403 |  -9.67249 | 0.05 |  6.85 |            NO |                            |   ABELL 0754 |
| PSZ2 G278.58+39.16 | 172.98557 | -19.91442 | 0.31 |  8.97 |  SPLUS-n16s16 |                  Abell1300 |   ABELL 1300 |
| PSZ2 G280.17+47.83 | 177.44691 | -12.29657 | 0.16 |  6.06 |  SPLUS-n10s20 |                            |   ABELL 1391 |
| PSZ2 G286.98+32.90 | 177.70615 | -28.08548 | 0.39 | 14.69 |            NO |         PSZ2 G286.98+32.90 |              |
| PSZ2 G273.59+63.27 | 180.10910 |   3.34847 | 0.13 |  5.54 |  SPLUS-n03n23 |                            |   ABELL 1437 |
| PSZ2 G288.27+39.97 | 180.82543 | -21.52479 | 0.20 |  7.16 |  SPLUS-n17s22 |                  Abell1451 |   ABELL 1451 |
| PSZ2 G284.41+52.45 | 181.56221 |  -8.78873 | 0.44 | 11.18 |  SPLUS-n08s23 |          MACS J1206.2-0847 |              |
| PSZ2 G304.91+45.43 | 194.31788 | -17.41082 | 0.05 |  3.69 |  SPLUS-n14s32 |                            |   ABELL 1644 |
| PSZ2 G304.44+32.48 | 194.34109 | -30.36693 | 0.06 |  3.45 |            NO |                            |   ABELL 3532 |
| PSZ2 G056.62+88.42 | 194.49226 |  27.75279 | 0.05 |  3.30 |            NO |                            |              |
| PSZ2 G306.66+61.06 | 194.66540 |  -1.74965 | 0.08 |  4.45 |  SPLUS-n02s33 |                  Abell1650 |   ABELL 1650 |
| PSZ2 G061.75+88.11 | 194.72700 |  28.02308 | 0.04 |  3.40 |            NO |                            |              |
| PSZ2 G306.77+58.61 | 194.86732 |  -4.20094 | 0.08 |  5.07 |  SPLUS-n04s33 |                  Abell1651 |   ABELL 1651 |
| PSZ2 G057.80+88.00 | 194.91180 |  27.95368 | 0.02 |  7.17 |            NO |                            | Coma Cluster |
| PSZ2 G313.33+61.13 | 197.86033 |  -1.33635 | 0.18 |  8.77 |  SPLUS-n02s36 |                  Abell1689 |   ABELL 1689 |
| PSZ2 G311.98+30.71 | 201.99320 | -31.51251 | 0.05 |  4.79 |            NO |                            |   ABELL 3558 |
| PSZ2 G316.31+28.53 | 206.87248 | -32.87471 | 0.04 |  4.63 |            NO |                            |   ABELL 3571 |
| PSZ2 G033.81+77.18 | 207.22205 |  26.59460 | 0.06 |  4.47 |            NO |                            |   ABELL 1795 |
| PSZ2 G340.36+60.58 | 210.25292 |   2.87076 | 0.25 |  9.75 |  SPLUS-n03n45 |                  Abell1835 |   ABELL 1835 |
| PSZ2 G340.94+35.07 | 224.89388 | -18.17281 | 0.24 |  7.80 |  SPLUS-n15s53 |                 AbellS0780 |  ABELL S0780 |
| PSZ2 G346.61+35.06 | 228.75242 | -15.35660 | 0.22 |  8.86 |            NO |           RXC J1514.9-1523 |              |
| PSZ2 G002.82+39.23 | 235.01518 |  -3.28514 | 0.15 |  5.74 |            NO |                            |   ABELL 2104 |
| PSZ2 G029.06+44.55 | 240.58675 |  16.09127 | 0.04 |  3.53 |            NO |                            |   ABELL 2147 |
