|               name |        ra |       dec |     z |  gal_l |  mass | complete | lowmass |        S-PLUS |                    CHANCES |       Abell |  CODEX |             ACT-DR5 |         LoVoCCS | HIFLUGCS |           MeerKAT |  m200 | c200 | r200 |  d200 |
| PSZ2 G092.16-66.01 |   0.78784 |  -6.07221 | 0.232 |  92.16 |  8.04 |    False |    True |               |                            |  ABELL 2697 |  59697 | ACT-CL J0003.2-0605 |                 |          |                   | 11.51 | 4.19 | 2.04 |  8.91 |
| PSZ2 G099.57-58.64 |   0.94506 |   2.05365 | 0.092 |  99.58 |  3.02 |    False |    True |               |                            |  ABELL 2700 |  55038 | ACT-CL J0003.8+0203 |                 |          |                   |  4.35 | 4.08 | 1.55 | 14.55 |
| PSZ2 G352.28-77.66 |   1.48968 | -34.70146 | 0.115 | 352.28 |  5.40 |    False |    True |  SPLUS-s27s02 |                            |  ABELL 2721 |  80599 | ACT-CL J0005.9-3443 |           A2721 |          |                   |  7.78 | 4.04 | 1.87 | 14.48 |
| PSZ2 G101.55-59.03 |   2.04218 |   2.03038 | 0.369 | 101.55 |  7.72 |    False |    True |               |                            |             |        | ACT-CL J0008.1+0201 |                 |          |                   | 10.98 | 4.31 | 1.91 |  6.02 |
| PSZ2 G346.36-77.71 |   2.48662 | -35.66487 | 0.120 | 346.37 |  3.32 |    False |    True |  SPLUS-s28s02 |                            |  ABELL 2730 |  80611 |                     |                 |          |                   |  4.79 | 4.05 | 1.59 | 11.82 |
| PSZ2 G082.88-75.10 |   2.98230 | -15.39868 | 0.378 |  82.89 |  6.83 |    False |    True |  SPLUS-s13s03 |                            |             |  68372 | ACT-CL J0011.7-1523 |                 |          |                   |  9.75 | 4.27 | 1.83 |  5.69 |
| PSZ2 G094.46-69.65 |   3.20298 |  -8.95052 | 0.352 |  94.46 |  7.35 |    False |    True |               |                            |             |        | ACT-CL J0012.8-0855 |                 |          |                   | 10.49 | 4.27 | 1.89 |  6.16 |
| PSZ2 G072.40-78.45 |   3.43054 | -19.48619 | 0.094 |  72.40 |  3.72 |    False |    True |  SPLUS-s15s03 |                            |  ABELL 0013 |        |                     |             A13 |          | MCXC J0013.6-1930 |  5.36 | 4.05 | 1.66 | 15.35 |
| PSZ2 G008.94-81.22 |   3.55906 | -30.38762 | 0.307 |   8.95 | 13.27 |     True |   False |  SPLUS-s24s03 |                  Abell2744 |  ABELL 2744 |  76737 | ACT-CL J0014.3-3022 |                 |          | MCXC J0014.3-3023 | 18.68 | 4.57 | 2.33 |  8.33 |
| PSZ2 G308.85-50.61 |   3.56817 | -66.08023 | 0.160 | 308.85 |  4.09 |    False |   False |               |                            |  ABELL 2746 |  99447 |                     |                 |          | MCXC J0014.3-6604 |  5.89 | 4.04 | 1.68 |  9.81 |
