|               name |         ra |       dec |     z |  gal_l |  mass | complete | lowmass |        S-PLUS |            CHANCES |       Abell |  CODEX |             ACT-DR5 |         LoVoCCS | HIFLUGCS |           MeerKAT |
| PSZ2 G092.16-66.01 |    0.78784 |  -6.07221 | 0.232 |  92.16 |  5.96 |    False |    True |               |                    |  ABELL 2697 |  59697 | ACT-CL J0003.2-0605 |                 |          |                   |
| PSZ2 G099.57-58.64 |    0.94506 |   2.05365 | 0.092 |  99.58 |  2.24 |    False |    True |               |                    |  ABELL 2700 |  55038 | ACT-CL J0003.8+0203 |                 |          |                   |
| PSZ2 G352.28-77.66 |    1.48968 | -34.70146 | 0.115 | 352.28 |  4.00 |    False |    True |  SPLUS-s27s02 |                    |  ABELL 2721 |  80599 | ACT-CL J0005.9-3443 |           A2721 |          |                   |
| PSZ2 G101.55-59.03 |    2.04218 |   2.03038 | 0.369 | 101.55 |  5.72 |    False |    True |               |                    |             |        | ACT-CL J0008.1+0201 |                 |          |                   |
| PSZ2 G346.36-77.71 |    2.48662 | -35.66487 | 0.120 | 346.37 |  2.46 |    False |   False |  SPLUS-s28s02 |                    |  ABELL 2730 |  80611 |                     |                 |          |                   |
| PSZ2 G082.88-75.10 |    2.98230 | -15.39868 | 0.378 |  82.89 |  5.06 |    False |    True |  SPLUS-s13s03 |                    |             |  68372 | ACT-CL J0011.7-1523 |                 |          |                   |
| PSZ2 G094.46-69.65 |    3.20298 |  -8.95052 | 0.352 |  94.46 |  5.45 |    False |    True |               |                    |             |        | ACT-CL J0012.8-0855 |                 |          |                   |
| PSZ2 G072.40-78.45 |    3.43054 | -19.48619 | 0.094 |  72.40 |  2.76 |    False |    True |  SPLUS-s15s03 |                    |  ABELL 0013 |        |                     |             A13 |          | MCXC J0013.6-1930 |
| PSZ2 G008.94-81.22 |    3.55906 | -30.38762 | 0.307 |   8.95 |  9.84 |     True |   False |  SPLUS-s24s03 |          Abell2744 |  ABELL 2744 |  76737 | ACT-CL J0014.3-3022 |                 |          | MCXC J0014.3-3023 |
| PSZ2 G308.85-50.61 |    3.56817 | -66.08023 | 0.160 | 308.85 |  3.03 |    False |   False |               |                    |  ABELL 2746 |  99447 |                     |                 |          | MCXC J0014.3-6604 |
