|     name |         Cluster Name |     z | d200 (arcmin) | N(<5r200) |                                                                                       Separations (arcmin) |                                                      Fraction of r200 included |                                                                                                   redshifts |                                                                                                                                        Names |
| 93241214 |                A3301 | 0.003 |        128.04 |        10 |                                                   28.8,40.0,42.5,381.7,386.8,431.3,514.5,514.9,623.0,633.3 |                                   33.6,27.1,29.9,13.7,11.8,6.1,4.0,4.6,0.8,0.3 |                                                 0.053,0.054,0.054,0.046,0.034,0.037,0.037,0.037,0.036,0.044 |                                                                   84901,84897,93241110,93231303,93251022,85141,81439,93231308,93221403,85077 |
| 93170802 |             93170802 | 0.003 |        205.65 |        16 |            172.3,177.3,337.1,502.7,503.7,608.2,617.8,638.1,639.9,683.3,697.6,816.6,885.1,914.4,928.0,991.6 |    24.4,28.2,44.0,24.6,21.9,19.0,20.2,12.2,23.5,13.0,13.9,12.4,4.9,3.9,2.3,0.4 |             0.022,0.021,0.067,0.038,0.038,0.043,0.043,0.015,0.042,0.020,0.033,0.057,0.037,0.017,0.013,0.005 |                93170801,93170702,51178,93170901,51187,55502,60104,93180606,93170608,93181003,93190806,64684,55691,93180503,93181005,93190519 |
| 93245005 |           ABELL 3968 | 0.003 |        114.21 |         3 |                                                                                          214.7,230.3,232.9 |                                                                  15.5,2.2,18.0 |                                                                                           0.028,0.004,0.057 |                                                                                                                      93245003,93254708,87774 |
| 93231006 |             93231006 | 0.003 |         95.63 |         1 |                                                                                                      124.5 |                                                                           17.0 |                                                                                                       0.060 |                                                                                                                                        77311 |
| 93250903 |           ABELL 3204 | 0.004 |        103.84 |         4 |                                                                                    218.2,286.6,335.0,498.6 |                                                              18.3,7.7,12.4,1.0 |                                                                                     0.070,0.016,0.070,0.034 |                                                                                                                88403,93250901,91751,93251022 |
| 93163401 |              NGC4636 | 0.004 |         151.4 |         7 |                                                                   68.1,492.7,579.9,587.2,595.3,734.7,740.6 |                                                   35.8,2.8,4.1,5.5,2.0,0.5,0.6 |                                                                   0.048,0.010,0.021,0.023,0.006,0.016,0.021 |                                                                                  57738,93183401,93173309,93163302,93183513,93193502,93173203 |
| 93254708 |          Abell S1101 | 0.004 |        155.24 |         8 |                                                             67.6,230.3,420.0,660.5,692.9,694.1,700.9,734.4 |                                              37.8,4.8,15.5,6.7,2.3,3.8,3.0,0.2 |                                                             0.057,0.003,0.028,0.057,0.049,0.034,0.050,0.005 |                                                                                  87774,93245005,93245003,84067,84070,93260109,80613,93254501 |
| 93190502 |             93190502 | 0.004 |         94.22 |         6 |                                                                        226.9,231.8,323.1,354.6,357.9,464.6 |                                                       3.0,14.7,5.1,4.9,4.0,0.2 |                                                                         0.005,0.040,0.017,0.040,0.041,0.041 |                                                                                              93190519,93190503,93180503,93190515,64466,64431 |
| 93190519 |             93190519 | 0.005 |         81.73 |         7 |                                                                  102.8,190.3,193.5,226.9,300.7,366.2,374.6 |                                                   10.6,9.1,7.5,1.9,6.6,1.3,1.7 |                                                                   0.017,0.040,0.041,0.004,0.040,0.015,0.043 |                                                                                     93180503,93190515,64466,93190502,93190503,93180606,60104 |
| 93254501 |             93254501 | 0.005 |         176.9 |        17 |      183.2,232.1,305.9,353.7,462.1,630.4,687.1,721.0,729.1,734.4,764.1,774.8,801.8,814.1,814.2,871.6,872.8 |       13.7,32.4,26.7,28.5,14.9,7.3,8.6,4.6,6.8,1.0,6.0,1.0,4.4,3.7,3.9,0.7,0.6 |       0.009,0.062,0.062,0.056,0.028,0.016,0.048,0.017,0.028,0.004,0.035,0.003,0.057,0.048,0.050,0.058,0.058 |       93264006,90951,90926,93944,90911,93254302,93263802,93254303,93245003,93254708,93273701,93245005,87774,93244601,93244637,93283002,99149 |
| 93211016 |           ABELL 3168 | 0.005 |         85.96 |         3 |                                                                                          101.8,216.8,324.7 |                                                                    4.5,2.5,6.4 |                                                                                           0.005,0.005,0.035 |                                                                                                                   93211010,93201001,93201002 |
| 93211010 |             93211010 | 0.005 |         73.57 |         3 |                                                                                          101.8,219.7,330.9 |                                                                    3.1,1.8,2.2 |                                                                                           0.005,0.005,0.035 |                                                                                                                   93211016,93201001,93201002 |
| 93163105 |   PSZ2 G257.51+57.54 | 0.005 |         93.82 |         3 |                                                                                            2.6,350.6,353.6 |                                                                   20.9,5.7,5.0 |                                                                                           0.049,0.040,0.039 |                                                                                                                         52808,93173009,57380 |
| 93201001 |              NGC1407 | 0.005 |         83.62 |         3 |                                                                                          111.9,216.8,219.7 |                                                                   18.5,2.3,2.7 |                                                                                           0.035,0.005,0.005 |                                                                                                                   93201002,93211016,93211010 |
| 93162805 |             93162805 | 0.006 |         70.25 |         5 |                                                                              216.6,216.7,272.2,331.6,340.3 |                                                            5.3,5.9,3.6,1.2,0.7 |                                                                               0.045,0.046,0.035,0.063,0.064 |                                                                                                          57263,93172809,57189,57284,93172804 |
| 93164021 |             93164021 | 0.006 |         69.17 |         4 |                                                                                    152.8,155.7,252.4,252.9 |                                                                5.9,5.0,3.7,1.0 |                                                                                     0.028,0.027,0.031,0.006 |                                                                                                             93164001,53529,93163901,93174103 |
| 93174103 |              NGC5846 | 0.006 |         91.34 |         4 |                                                                                    252.9,396.2,399.0,434.2 |                                                                2.9,1.8,1.5,1.0 |                                                                                     0.006,0.028,0.027,0.039 |                                                                                                             93164021,93164001,53529,93164212 |
| 93183513 |           ABELL 1634 | 0.006 |         79.23 |         4 |                                                                                    148.6,224.0,229.2,357.2 |                                                                5.4,4.6,1.8,2.2 |                                                                                     0.016,0.016,0.010,0.059 |                                                                                                             93193502,93193503,93183401,66739 |
| 93213405 |              NGC5084 | 0.007 |         64.01 |         6 |                                                                        227.1,233.3,235.2,261.1,283.3,306.5 |                                                        4.4,4.6,3.1,1.9,1.3,0.1 |                                                                         0.047,0.042,0.046,0.024,0.024,0.007 |                                                                                              93213501,75025,75150,93203611,93213307,93203508 |
| 93203508 |              NGC5044 | 0.007 |        120.18 |        18 | 75.0,112.5,266.1,266.4,267.8,306.5,310.3,329.8,362.8,376.8,380.4,406.0,458.1,484.8,523.4,534.4,542.4,592.5 | 11.6,15.9,9.8,11.0,17.5,4.6,13.8,6.4,13.4,10.4,4.3,6.9,6.1,3.1,3.7,2.5,1.3,0.5 | 0.009,0.024,0.046,0.048,0.042,0.007,0.045,0.015,0.059,0.043,0.016,0.024,0.035,0.016,0.047,0.046,0.016,0.034 | 93203505,93203611,70798,93203419,75025,93213405,70804,93203406,66739,70768,93193506,93213307,70916,93193503,93213501,75150,93193502,93203701 |
| 93223005 |             93223005 | 0.007 |         60.33 |         2 |                                                                                                131.6,196.7 |                                                                        8.8,3.8 |                                                                                                 0.068,0.029 |                                                                                                                               82560,93232809 |
| 93213901 |             93213901 | 0.008 |          61.9 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93264006 |          ABELL S0989 | 0.009 |         51.14 |         2 |                                                                                                183.2,211.8 |                                                                        0.4,2.4 |                                                                                                 0.005,0.056 |                                                                                                                               93254501,93944 |
| 93263719 |          ABELL S0851 | 0.009 |         78.67 |         6 |                                                                        260.5,260.8,265.8,283.4,345.9,393.3 |                                                        5.0,5.3,6.9,6.5,2.1,0.0 |                                                                         0.051,0.045,0.051,0.064,0.052,0.069 |                                                                                                       93844,93263701,93790,93841,96486,93796 |
| 93203505 |             93203505 | 0.009 |         45.48 |         2 |                                                                                                 75.0,105.0 |                                                                        1.3,4.0 |                                                                                                 0.007,0.024 |                                                                                                                            93203508,93203611 |
| 93242901 |             93242901 | 0.009 |         52.94 |         5 |                                                                              149.8,156.3,205.8,242.3,248.1 |                                                            1.6,1.0,2.6,0.9,0.7 |                                                                               0.012,0.011,0.051,0.050,0.051 |                                                                                                       93252706,93242801,86349,86315,93242911 |
| 93222510 |              NGC3078 |  0.01 |         45.75 |         2 |                                                                                                120.7,122.6 |                                                                        6.0,6.0 |                                                                                                 0.049,0.048 |                                                                                                                               74556,93212601 |
| 93183401 |             93183401 |  0.01 |         93.07 |         4 |                                                                                    229.2,302.4,362.0,438.5 |                                                                3.0,3.6,2.8,1.4 |                                                                                     0.006,0.016,0.016,0.048 |                                                                                                             93183513,93193502,93193503,57738 |
| 93201631 |           ABELL 0551 | 0.011 |         44.82 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93242801 |                A3526 | 0.011 |        105.21 |         8 |                                                            156.3,169.6,296.0,302.3,303.8,319.4,359.3,410.3 |                                                7.0,7.8,9.5,3.2,9.8,4.9,7.4,6.6 |                                                             0.009,0.013,0.050,0.012,0.051,0.012,0.051,0.046 |                                                                               93242901,93242821,86315,93252706,93242911,93242707,86349,86313 |
| 93252706 |             93252706 | 0.012 |         70.16 |         7 |                                                                  113.7,149.8,261.4,302.3,316.0,318.6,327.9 |                                                   10.5,3.8,4.2,0.5,1.4,1.4,1.3 |                                                                   0.051,0.009,0.052,0.011,0.050,0.051,0.046 |                                                                                           86349,93242901,86397,93242801,86315,93242911,86313 |
| 93213809 |             93213809 | 0.012 |         48.04 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93171208 |              NGC1550 | 0.012 |         74.77 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93160236 |             93160236 | 0.012 |         36.75 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93242707 |             93242707 | 0.012 |         42.27 |         1 |                                                                                                      150.4 |                                                                            1.3 |                                                                                                       0.013 |                                                                                                                                     93242821 |
| 93191415 |             93191415 | 0.013 |         37.16 |         1 |                                                                                                      184.4 |                                                                            0.0 |                                                                                                       0.013 |                                                                                                                                     93181403 |
| 93292811 |             93292811 | 0.013 |         39.16 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93242821 |             93242821 | 0.013 |         45.58 |         2 |                                                                                                150.4,169.6 |                                                                        1.8,0.6 |                                                                                                 0.012,0.011 |                                                                                                                            93242707,93242801 |
| 93175729 |              IIZW108 | 0.013 |         55.65 |         1 |                                                                                                        4.3 |                                                                           10.2 |                                                                                                       0.048 |                                                                                                                                        59097 |
| 93170229 |             93170229 | 0.013 |         30.75 |         1 |                                                                                                      136.8 |                                                                            0.7 |                                                                                                       0.017 |                                                                                                                                     93170201 |
| 93162401 |           ABELL 0732 | 0.013 |         41.96 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93301905 |             93301905 | 0.013 |         37.13 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93181403 |             93181403 | 0.013 |         35.79 |         1 |                                                                                                       14.6 |                                                                            9.3 |                                                                                                       0.068 |                                                                                                                                        60705 |
| 93181005 |             93181005 | 0.013 |          44.2 |         1 |                                                                                                      123.1 |                                                                            3.4 |                                                                                                       0.037 |                                                                                                                                        55691 |
| 93270904 |          ABELL S0520 | 0.014 |         43.78 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93181441 |           ABELL 0531 | 0.014 |         36.84 |         1 |                                                                                                      128.5 |                                                                            1.3 |                                                                                                       0.015 |                                                                                                                                     93181310 |
| 93171413 |             93171413 | 0.014 |         61.08 |         4 |                                                                                     49.8,104.8,238.1,272.3 |                                                                6.8,8.3,1.8,0.8 |                                                                                     0.016,0.030,0.014,0.015 |                                                                                                          93171419,93171313,93181441,93181310 |
| 93222625 |                Hydra | 0.014 |         74.83 |         1 |                                                                                                      163.9 |                                                                           12.3 |                                                                                                       0.052 |                                                                                                                                        78656 |
| 93192606 |   PSZ2 G244.12+26.12 | 0.014 |         31.27 |         2 |                                                                                                105.7,112.3 |                                                                        3.1,1.2 |                                                                                                 0.055,0.066 |                                                                                                                                  65983,65975 |
| 93202701 |          ABELL S0623 | 0.014 |         38.58 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93233312 |          ABELL S0753 | 0.015 |         48.55 |         1 |                                                                                                      109.8 |                                                                            5.7 |                                                                                                       0.039 |                                                                                                                                        82854 |
| 93203406 |               A1631a | 0.015 |         42.56 |         6 |                                                                         61.6,111.1,140.1,141.0,162.9,180.3 |                                                        7.0,2.0,2.1,2.4,2.8,1.5 |                                                                         0.043,0.016,0.046,0.048,0.059,0.045 |                                                                                                    70768,93193506,70798,93203419,66739,70804 |
| 93171301 |             93171301 | 0.015 |         55.44 |         2 |                                                                                                176.1,222.4 |                                                                        2.7,1.3 |                                                                                                 0.015,0.015 |                                                                                                                            93181313,93181310 |
| 93282601 |          ABELL S0805 | 0.015 |         46.67 |         2 |                                                                                                 66.3,142.4 |                                                                        3.5,2.2 |                                                                                                 0.015,0.016 |                                                                                                                            93282608,93282701 |
| 93181310 |             93181310 | 0.015 |          43.5 |         1 |                                                                                                      128.5 |                                                                            2.4 |                                                                                                       0.014 |                                                                                                                                     93181441 |
| 93282608 |             93282608 | 0.015 |         47.33 |         2 |                                                                                                 66.3,137.5 |                                                                        3.6,2.4 |                                                                                                 0.015,0.016 |                                                                                                                            93282601,93282701 |
| 93180606 |             93180606 | 0.015 |         31.95 |         1 |                                                                                                       59.4 |                                                                            4.9 |                                                                                                       0.043 |                                                                                                                                        60104 |
| 93181313 |           ABELL 0491 | 0.015 |         38.06 |         1 |                                                                                                      176.1 |                                                                            0.3 |                                                                                                       0.015 |                                                                                                                                     93171301 |
| 93193506 |             93193506 | 0.016 |         51.03 |         6 |                                                                          63.4,70.9,111.1,181.0,247.5,248.6 |                                                       8.9,10.4,3.4,2.0,0.2,0.2 |                                                                         0.043,0.059,0.015,0.016,0.046,0.048 |                                                                                                 70768,66739,93203406,93193503,70798,93203419 |
| 93254302 |           ABELL 3756 | 0.016 |         34.71 |         1 |                                                                                                      136.0 |                                                                            1.1 |                                                                                                       0.017 |                                                                                                                                     93254303 |
| 93193502 |           ABELL 1635 | 0.016 |         45.79 |         3 |                                                                                           75.6,148.6,212.5 |                                                                    4.1,1.0,0.9 |                                                                                           0.016,0.006,0.059 |                                                                                                                      93193503,93183513,66739 |
| 93193503 |             93193503 | 0.016 |         37.56 |         3 |                                                                                           75.6,139.4,181.0 |                                                                    2.4,2.7,0.1 |                                                                                           0.016,0.059,0.016 |                                                                                                                      93193502,66739,93193506 |
| 93282701 |             93282701 | 0.016 |         41.13 |         2 |                                                                                                137.5,142.4 |                                                                        1.4,1.4 |                                                                                                 0.015,0.015 |                                                                                                                            93282608,93282601 |
| 93223401 |           ABELL 3574 | 0.016 |         70.72 |         5 |                                                                              147.5,157.3,285.6,312.7,314.0 |                                                            8.2,9.4,1.4,0.6,0.9 |                                                                               0.048,0.049,0.015,0.022,0.023 |                                                                                                          79173,79172,93233312,79221,93223508 |
| 93170309 |             93170309 | 0.016 |         31.51 |         4 |                                                                                    117.4,122.8,123.0,154.2 |                                                                2.5,1.1,1.1,0.2 |                                                                                     0.044,0.043,0.044,0.044 |                                                                                                                   55251,93170301,55260,55264 |
| 93280853 |          ABELL S0524 | 0.016 |         38.39 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93171419 |             93171419 | 0.016 |         37.34 |         2 |                                                                                                 49.8,142.0 |                                                                        2.2,1.8 |                                                                                                 0.014,0.030 |                                                                                                                            93171413,93171313 |
| 93250901 |             93250901 | 0.016 |         30.26 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93254303 |          ABELL S0919 | 0.017 |         35.37 |         2 |                                                                                                136.0,138.1 |                                                                        1.2,2.0 |                                                                                                 0.016,0.048 |                                                                                                                            93254302,93244601 |
| 93202718 |             93202718 | 0.017 |         27.07 |         1 |                                                                                                       70.2 |                                                                            2.7 |                                                                                                       0.031 |                                                                                                                                     93202709 |
| 93170201 |             93170201 | 0.017 |         25.99 |         2 |                                                                                                123.0,127.9 |                                                                        0.3,0.1 |                                                                                                 0.057,0.065 |                                                                                                                               93170203,55182 |
| 93180503 |             93180503 | 0.017 |         28.97 |         1 |                                                                                                      102.8 |                                                                            0.5 |                                                                                                       0.005 |                                                                                                                                     93190519 |
| 93170401 |           ABELL 0194 | 0.017 |         40.32 |         5 |                                                                               60.4,189.8,191.5,192.0,192.4 |                                                            5.3,0.6,0.4,0.4,0.2 |                                                                               0.026,0.045,0.044,0.045,0.018 |                                                                                                       93170432,55327,93170421,55320,93170407 |
| 93170407 |           ABELL 0189 | 0.018 |         37.03 |         3 |                                                                                          174.7,182.9,183.6 |                                                                    0.4,0.1,0.1 |                                                                                           0.026,0.045,0.044 |                                                                                                                      93170432,55320,93170421 |
| 93311301 |    MCXC J1840.6-7709 | 0.018 |          46.4 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93244401 |             93244401 | 0.018 |         40.84 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93230304 |          ABELL S0141 | 0.018 |         36.94 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93300501 |   PSZ2 G287.96-32.99 | 0.019 |         46.35 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93192605 |             93192605 | 0.019 |         27.74 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93224901 |             93224901 | 0.019 |          34.3 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93244409 |           ABELL 3656 |  0.02 |         31.22 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93181003 |             93181003 |  0.02 |         26.62 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
